video_id,group_id,Question,Answer Options,Correct Answer
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-374095-390795_7719.png
OP01-R01-PastaSalad-390080-391350_7980.png
OP01-R01-PastaSalad-392245-402145_8144.png
OP01-R01-PastaSalad-403095-421695_8556.png
OP01-R01-PastaSalad-417230-418590_8844.png
OP01-R01-PastaSalad-423235-424745_8887.png
OP01-R01-PastaSalad-424610-429120_8975.png
OP01-R01-PastaSalad-431450-432740_9060.png
OP01-R01-PastaSalad-432970-448680_9306.png",Where is the cucumber slice I am currently looking at relative to the other slices on the plate?,"A: The cucumber slice is near the center of the plate, slightly below my current fixation point.
B: The cucumber slice is on the edge of the plate, directly in line with my current fixation point.
C: The cucumber slice is near the top left corner of the plate, above and to the left of my current fixation point.
D: The cucumber slice is near the bottom right corner of the plate, below and to the right of my current fixation point.
E: The cucumber slice is in the middle of the plate, aligned horizontally with my current fixation point.",A
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-343100-347660_6799.png
OP01-R01-PastaSalad-349555-354085_6932.png
OP01-R01-PastaSalad-352255-354095_7026.png
OP01-R01-PastaSalad-354120-358110_7111.png
OP01-R01-PastaSalad-359140-360950_7195.png
OP01-R01-PastaSalad-361310-363870_7259.png
OP01-R01-PastaSalad-364190-365310_7313.png
OP01-R01-PastaSalad-365315-369415_7390.png
OP01-R01-PastaSalad-370210-371140_7464.png",Where is the cucumber relative to your gaze direction when you take it from the fridge?,"A: The cucumber is on the middle shelf, slightly below and to the right of my current fixation.
B: The cucumber is on the top shelf, directly in line with my current fixation.
C: The cucumber is on the bottom shelf, to the left of my current fixation.
D: The cucumber is on the middle shelf, above and to the left of my current fixation.
E: The cucumber is on the middle shelf, slightly below and to the left of my current fixation.",A
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-301970-302720_6140.png
OP01-R02-TurkeySandwich-302830-303910_6168.png
OP01-R02-TurkeySandwich-303940-304830_6197.png
OP01-R02-TurkeySandwich-304850-305790_6225.png
OP01-R02-TurkeySandwich-305850-306660_6251.png
OP01-R02-TurkeySandwich-306710-307320_6273.png
OP01-R02-TurkeySandwich-307590-308110_6290.png
OP01-R02-TurkeySandwich-311670-312690_6313.png
OP01-R02-TurkeySandwich-312740-314320_6352.png",Where is the lettuce I am currently looking at relative to the sandwich and other objects on the plate?,"A: The lettuce I am looking at is on the right side of the plate, below the sandwich.
B: The lettuce I am looking at is on the left side of the plate, above the sandwich.
C: The lettuce I am looking at is in the center of the plate, between the two sandwiches.
D: The lettuce I am looking at is on the right side of the plate, next to the sandwich.
E: The lettuce I am looking at is on the left side of the plate, next to the sandwich.",D
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-165430-166100_2983.png
OP01-R02-TurkeySandwich-166100-169060_3036.png
OP01-R02-TurkeySandwich-169080-169720_3090.png
OP01-R02-TurkeySandwich-169720-170710_3115.png
OP01-R02-TurkeySandwich-170750-174790_3188.png
OP01-R02-TurkeySandwich-174880-184950_3391.png
OP01-R02-TurkeySandwich-184950-186030_3553.png
OP01-R02-TurkeySandwich-186350-189060_3608.png
OP01-R02-TurkeySandwich-189060-189690_3657.png",Where is the lettuce container relative to your gaze as you open it?,"A: The lettuce container is directly in front of my gaze, slightly to the left.
B: The lettuce container is on the countertop, to the right of my current fixation.
C: The lettuce container is near the edge of the countertop, behind my current fixation.
D: The lettuce container is on the countertop, in front of my current fixation and slightly to the right.
E: The lettuce container is near the edge of the countertop, to the left of the grocery bag and my current fixation.",D
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-43440-45790_34.png
OP01-R03-BaconAndEggs-47230-48130_82.png
OP01-R03-BaconAndEggs-48205-49435_115.png
OP01-R03-BaconAndEggs-51015-54435_184.png
OP01-R03-BaconAndEggs-54960-56725_260.png
OP01-R03-BaconAndEggs-56750-57900_302.png
OP01-R03-BaconAndEggs-58910-62030_364.png
OP01-R03-BaconAndEggs-69855-70965_426.png
OP01-R03-BaconAndEggs-70975-72045_459.png",Where is the oil container relative to your gaze when you pour it into the pan?,"A: The oil container is on the countertop, directly in front of my current fixation.
B: The oil container is near the edge of the countertop, slightly to the left of my current fixation.
C: The oil container is on the countertop, to the right of my current fixation and close to the stove.
D: The oil container is on the countertop, behind my current fixation and near the sink.
E: The oil container is on the countertop, to the left of the pan and my current fixation.",C
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-411529-414409_7126.png
OP01-R03-BaconAndEggs-414509-416229_7194.png
OP01-R03-BaconAndEggs-422930-424020_7236.png
OP01-R03-BaconAndEggs-422940-423770_7265.png
OP01-R03-BaconAndEggs-424400-426030_7302.png
OP01-R03-BaconAndEggs-426410-430780_7390.png
OP01-R03-BaconAndEggs-430860-433750_7496.png
OP01-R03-BaconAndEggs-433760-434890_7555.png
OP01-R03-BaconAndEggs-433840-437080_7618.png",Where is the juice container relative to your gaze when you pour the juice into the cup?,"A: The juice container is on the countertop, directly in front of my current fixation.
B: The juice container is on the countertop, slightly to the left of my current fixation.
C: The juice container is on the countertop, slightly to the right of my current fixation.
D: The juice container is on the countertop, behind my current fixation.
E: The juice container is on the countertop, to the far right of my current fixation.",B
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-295830-296530_5529.png
OP01-R04-ContinentalBreakfast-296535-297255_5552.png
OP01-R04-ContinentalBreakfast-297230-299230_5594.png
OP01-R04-ContinentalBreakfast-299385-300325_5638.png
OP01-R04-ContinentalBreakfast-300460-301010_5660.png
OP01-R04-ContinentalBreakfast-301160-302980_5696.png
OP01-R04-ContinentalBreakfast-302995-303865_5736.png
OP01-R04-ContinentalBreakfast-303865-305745_5777.png
OP01-R04-ContinentalBreakfast-324410-326780_5839.png",Where is the knife relative to the object you focused on while taking the eating utensil?,"A: The knife is on the plate, directly in front of the object I focused on.
B: The knife is on the countertop, to the left of the object I focused on.
C: The knife is on the plate, to the right of the object I focused on.
D: The knife is on the plate, behind the object I focused on.
E: The knife is on the countertop, in front of the object I focused on.",C
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-210280-216660_3303.png
OP01-R04-ContinentalBreakfast-217290-218270_3411.png
OP01-R04-ContinentalBreakfast-220255-222115_3453.png
OP01-R04-ContinentalBreakfast-220740-225500_3549.png
OP01-R04-ContinentalBreakfast-228380-240150_3788.png
OP01-R04-ContinentalBreakfast-241065-241845_3970.png
OP01-R04-ContinentalBreakfast-242360-251730_4118.png
OP01-R04-ContinentalBreakfast-252200-253190_4269.png
OP01-R04-ContinentalBreakfast-253329-255896_4322.png",Where is the bowl relative to the object you focused on while transferring the condiment?,"A: The bowl is on the countertop, to the left of the object you looked at for the longest time.
B: The bowl is on the countertop, in front of the object you looked at for the longest time.
C: The bowl is on the countertop, behind the object you looked at for the longest time.
D: The bowl is on the countertop, to the right of the object you looked at for the longest time.
E: The bowl is on the countertop, next to the object you looked at for the longest time.",D
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-211940-214370_3561.png
OP01-R05-Cheeseburger-215300-217780_3633.png
OP01-R05-Cheeseburger-219290-222600_3719.png
OP01-R05-Cheeseburger-225000-226090_3784.png
OP01-R05-Cheeseburger-226340-227360_3815.png
OP01-R05-Cheeseburger-227440-231340_3887.png
OP01-R05-Cheeseburger-231490-232840_3964.png
OP01-R05-Cheeseburger-233640-235950_4018.png
OP01-R05-Cheeseburger-252510-257830_4128.png","Where is the tomato relative to your gaze when you are cutting it, and how does its position compare to the cooking utensil you took afterward?","A: The tomato is on the countertop, slightly below and to the left of my current fixation while cutting. The cooking utensil I took afterward is positioned above and to the right of where the tomato was.
B: The tomato is on the countertop, directly in front of my current fixation while cutting. The cooking utensil I took afterward is positioned below and to the left of where the tomato was.
C: The tomato is on the countertop, slightly above and to the right of my current fixation while cutting. The cooking utensil I took afterward is positioned below and to the right of where the tomato was.
D: The tomato is on the countertop, slightly below and to the right of my current fixation while cutting. The cooking utensil I took afterward is positioned above and to the left of where the tomato was.
E: The tomato is on the countertop, slightly below and to the left of my current fixation while cutting. The cooking utensil I took afterward is positioned below and to the right of where the tomato was.",A
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-145260-147930_2247.png
OP01-R05-Cheeseburger-148670-151230_2323.png
OP01-R05-Cheeseburger-151850-152820_2375.png
OP01-R05-Cheeseburger-153630-155340_2415.png
OP01-R05-Cheeseburger-162440-163040_2450.png
OP01-R05-Cheeseburger-163050-170960_2574.png
OP01-R05-Cheeseburger-176670-192250_2913.png
OP01-R05-Cheeseburger-194460-201130_3235.png
OP01-R05-Cheeseburger-204110-210720_3428.png",Where is the tomato I am currently cutting located relative to my gaze and other objects on the countertop?,"A: The tomato is on the plate, directly under my current gaze, with bread slices to its left.
B: The tomato is on the plate, slightly to the right of my current gaze, with a knife positioned above it.
C: The tomato is on the plate, to the left of my current gaze, with a bowl in front of it.
D: The tomato is on the plate, below my current gaze, with a bottle of oil to its right.
E: The tomato is on the plate, to the right of my current gaze, with a container of lettuce behind it.",A
