frame,gaze
138.jpg,"(0.65, 0.70)"
258.jpg,"(0.35, 0.78)"
278.jpg,"(0.30, 0.75)"
526.jpg,"(0.45, 0.55)"
771.jpg,"(0.45, 0.60)"
830.jpg,"(0.45, 0.55)"
894.jpg,"(0.45, 0.75)"
920.jpg,"(0.52, 0.76)"
1044.jpg,"(0.55, 0.45)"
1122.jpg,"(0.35, 0.45)"
1339.jpg,"(0.25, 0.70)"
1365.jpg,"(0.25, 0.75)"
1418.jpg,"(0.25, 0.30)"
1463.jpg,"(0.35, 0.65)"
1476.jpg,"(0.58, 0.69)"
1523.jpg,"(0.52, 0.74)"
1600.jpg,"(0.55, 0.70)"
1662.jpg,"(0.58, 0.65)"
1730.jpg,"(0.45, 0.65)"
2062.jpg,"(0.50, 0.48)"
2082.jpg,"(0.50, 0.45)"
2267.jpg,"(0.52, 0.75)"
2906.jpg,"(0.35, 0.65)"
2975.jpg,"(0.25, 0.30)"
3054.jpg,"(0.55, 0.35)"
3269.jpg,"(0.85, 0.45)"
3357.jpg,"(0.75, 0.35)"
3723.jpg,"(0.25, 0.75)"
3755.jpg,"(0.52, 0.74)"
4004.jpg,"(0.50, 0.45)"
4085.jpg,"(0.35, 0.45)"
4109.jpg,"(0.58, 0.79)"
4162.jpg,"(0.35, 0.78)"
4263.jpg,"(0.65, 0.80)"
4348.jpg,"(0.45, 0.60)"
4502.jpg,"(0.35, 0.45)"
4716.jpg,"(0.58, 0.79)"
4807.jpg,"(0.58, 0.42)"
4880.jpg,"(0.65, 0.55)"
4975.jpg,"(0.35, 0.42)"
5052.jpg,"(0.50, 0.70)"
5069.jpg,"(0.35, 0.45)"
5267.jpg,"(0.45, 0.80)"
5567.jpg,"(0.50, 0.60)"
5582.jpg,"(0.65, 0.70)"
5596.jpg,"(0.50, 0.45)"
5636.jpg,"(0.45, 0.75)"
5685.jpg,"(0.50, 0.75)"
5809.jpg,"(0.52, 0.81)"
5918.jpg,"(0.60, 0.75)"
5986.jpg,"(0.45, 0.78)"
6062.jpg,"(0.52, 0.84)"
6091.jpg,"(0.54, 0.79)"
6117.jpg,"(0.45, 0.70)"
6155.jpg,"(0.62, 0.78)"
6164.jpg,"(0.65, 0.78)"
6258.jpg,"(0.54, 0.83)"
6495.jpg,"(0.35, 0.45)"
6811.jpg,"(0.50, 0.60)"
7028.jpg,"(0.45, 0.60)"
7042.jpg,"(0.50, 0.70)"
7089.jpg,"(0.65, 0.75)"
7120.jpg,"(0.50, 0.60)"
7248.jpg,"(0.58, 0.76)"
7273.jpg,"(0.52, 0.84)"
7415.jpg,"(0.50, 0.60)"
7526.jpg,"(0.50, 0.60)"
7583.jpg,"(0.45, 0.65)"
7770.jpg,"(0.35, 0.45)"
7855.jpg,"(0.52, 0.48)"
7894.jpg,"(0.35, 0.45)"
7934.jpg,"(0.25, 0.45)"
8039.jpg,"(0.75, 0.65)"
8151.jpg,"(0.50, 0.60)"
8199.jpg,"(0.75, 0.45)"
8266.jpg,"(0.50, 0.45)"
8315.jpg,"(0.50, 0.60)"
8333.jpg,"(0.50, 0.60)"
8348.jpg,"(0.45, 0.65)"
8430.jpg,"(0.58, 0.62)"
8441.jpg,"(0.58, 0.62)"
8527.jpg,"(0.35, 0.45)"
8607.jpg,"(0.25, 0.75)"
8683.jpg,"(0.35, 0.65)"
8786.jpg,"(0.50, 0.60)"
8800.jpg,"(0.50, 0.70)"
8802.jpg,"(0.50, 0.40)"
8830.jpg,"(0.45, 0.55)"
8881.jpg,"(0.35, 0.65)"
8884.jpg,"(0.58, 0.35)"
8922.jpg,"(0.35, 0.45)"
9023.jpg,"(0.50, 0.45)"
9064.jpg,"(0.35, 0.65)"
9092.jpg,"(0.45, 0.35)"
9097.jpg,"(0.35, 0.25)"
9098.jpg,"(0.95, 0.45)"
9225.jpg,"(0.35, 0.45)"
9550.jpg,"(0.50, 0.45)"
9710.jpg,"(0.45, 0.65)"
9803.jpg,"(0.45, 0.65)"
10343.jpg,"(0.45, 0.35)"
10549.jpg,"(0.65, 0.70)"
10630.jpg,"(0.50, 0.60)"
10958.jpg,"(0.45, 0.60)"
11152.jpg,"(0.45, 0.65)"
11500.jpg,"(0.65, 0.65)"
11605.jpg,"(0.65, 0.60)"
12620.jpg,"(0.45, 0.65)"
12668.jpg,"(0.50, 0.60)"
12680.jpg,"(0.45, 0.65)"
12696.jpg,"(0.45, 0.65)"
12740.jpg,"(0.65, 0.70)"
12903.jpg,"(0.35, 0.45)"
12989.jpg,"(0.50, 0.60)"
13060.jpg,"(0.35, 0.45)"
13094.jpg,"(0.45, 0.65)"
13163.jpg,"(0.35, 0.65)"
13210.jpg,"(0.35, 0.45)"
13250.jpg,"(0.75, 0.60)"
13420.jpg,"(0.45, 0.65)"
13461.jpg,"(0.65, 0.70)"
13507.jpg,"(0.35, 0.45)"
13519.jpg,"(0.35, 0.65)"
13552.jpg,"(0.45, 0.65)"
13613.jpg,"(0.35, 0.45)"
13656.jpg,"(0.45, 0.65)"
13672.jpg,"(0.45, 0.65)"
13693.jpg,"(0.35, 0.45)"
13694.jpg,"(0.35, 0.45)"
13813.jpg,"(0.75, 0.45)"
13906.jpg,"(0.50, 0.60)"
14043.jpg,"(0.65, 0.70)"
14069.jpg,"(0.45, 0.60)"
14120.jpg,"(0.55, 0.65)"
14139.jpg,"(0.35, 0.65)"
14168.jpg,"(0.45, 0.35)"
14317.jpg,"(0.45, 0.65)"
14384.jpg,"(0.45, 0.65)"
14470.jpg,"(0.35, 0.45)"
14549.jpg,"(0.52, 0.68)"
14553.jpg,"(0.45, 0.65)"
14979.jpg,"(0.45, 0.50)"
15156.jpg,"(0.35, 0.45)"
15192.jpg,"(0.65, 0.75)"
15447.jpg,"(0.35, 0.45)"
15732.jpg,"(0.50, 0.60)"
15813.jpg,"(0.65, 0.45)"
15841.jpg,"(0.65, 0.45)"
15897.jpg,"(0.45, 0.35)"
15910.jpg,"(0.45, 0.35)"
15920.jpg,"(0.52, 0.48)"
15988.jpg,"(0.52, 0.48)"
16035.jpg,"(0.35, 0.45)"
16210.jpg,"(0.35, 0.45)"
16267.jpg,"(0.55, 0.65)"
16373.jpg,"(0.15, 0.45)"
16417.jpg,"(0.52, 0.48)"
16646.jpg,"(0.65, 0.75)"
16700.jpg,"(0.75, 0.80)"
16909.jpg,"(0.75, 0.75)"
17178.jpg,"(0.65, 0.65)"
17914.jpg,"(0.58, 0.70)"
