frame,gaze
8.jpg,"(0.60, 0.65)"
93.jpg,"(0.65, 0.70)"
227.jpg,"(0.50, 0.70)"
246.jpg,"(0.50, 0.60)"
407.jpg,"(0.15, 0.45)"
504.jpg,"(0.50, 0.80)"
515.jpg,"(0.50, 0.70)"
573.jpg,"(0.35, 0.45)"
632.jpg,"(0.50, 0.80)"
716.jpg,"(0.45, 0.65)"
824.jpg,"(0.45, 0.52)"
860.jpg,"(0.45, 0.75)"
916.jpg,"(0.58, 0.48)"
1025.jpg,"(0.45, 0.65)"
1044.jpg,"(0.45, 0.45)"
1397.jpg,"(0.48, 0.75)"
1474.jpg,"(0.50, 0.60)"
1502.jpg,"(0.45, 0.65)"
1828.jpg,"(0.50, 0.60)"
1857.jpg,"(0.45, 0.65)"
1914.jpg,"(0.50, 0.75)"
1963.jpg,"(0.50, 0.60)"
1978.jpg,"(0.52, 0.65)"
2012.jpg,"(0.52, 0.68)"
2104.jpg,"(0.45, 0.65)"
2166.jpg,"(0.50, 0.60)"
2181.jpg,"(0.45, 0.60)"
2274.jpg,"(0.50, 0.60)"
2389.jpg,"(0.52, 0.68)"
2477.jpg,"(0.45, 0.35)"
2589.jpg,"(0.52, 0.65)"
2750.jpg,"(0.52, 0.68)"
2834.jpg,"(0.45, 0.65)"
2856.jpg,"(0.45, 0.65)"
2883.jpg,"(0.50, 0.60)"
2926.jpg,"(0.52, 0.65)"
2977.jpg,"(0.52, 0.65)"
3014.jpg,"(0.50, 0.60)"
3067.jpg,"(0.45, 0.60)"
3163.jpg,"(0.52, 0.65)"
3477.jpg,"(0.52, 0.74)"
3610.jpg,"(0.50, 0.70)"
3657.jpg,"(0.45, 0.68)"
3702.jpg,"(0.52, 0.84)"
3780.jpg,"(0.65, 0.75)"
3854.jpg,"(0.52, 0.78)"
4008.jpg,"(0.45, 0.75)"
4166.jpg,"(0.25, 0.75)"
4250.jpg,"(0.25, 0.75)"
4288.jpg,"(0.45, 0.70)"
4344.jpg,"(0.25, 0.75)"
4393.jpg,"(0.25, 0.80)"
4436.jpg,"(0.45, 0.65)"
4489.jpg,"(0.50, 0.60)"
4526.jpg,"(0.48, 0.56)"
4647.jpg,"(0.45, 0.65)"
4749.jpg,"(0.58, 0.54)"
4847.jpg,"(0.52, 0.68)"
4985.jpg,"(0.45, 0.65)"
5000.jpg,"(0.45, 0.65)"
5122.jpg,"(0.45, 0.68)"
5158.jpg,"(0.52, 0.68)"
5262.jpg,"(0.58, 0.64)"
5290.jpg,"(0.50, 0.60)"
5423.jpg,"(0.50, 0.75)"
5457.jpg,"(0.52, 0.60)"
5529.jpg,"(0.50, 0.60)"
5551.jpg,"(0.52, 0.68)"
5683.jpg,"(0.50, 0.70)"
5721.jpg,"(0.50, 0.70)"
5855.jpg,"(0.52, 0.68)"
5886.jpg,"(0.45, 0.75)"
5966.jpg,"(0.45, 0.65)"
6013.jpg,"(0.45, 0.65)"
6217.jpg,"(0.52, 0.65)"
6330.jpg,"(0.45, 0.65)"
6382.jpg,"(0.58, 0.52)"
6407.jpg,"(0.52, 0.48)"
6451.jpg,"(0.50, 0.45)"
6697.jpg,"(0.52, 0.78)"
6734.jpg,"(0.52, 0.45)"
7133.jpg,"(0.52, 0.38)"
7187.jpg,"(0.50, 0.45)"
7289.jpg,"(0.50, 0.80)"
7345.jpg,"(0.52, 0.68)"
7383.jpg,"(0.52, 0.48)"
7412.jpg,"(0.52, 0.84)"
7501.jpg,"(0.50, 0.60)"
7796.jpg,"(0.52, 0.78)"
7863.jpg,"(0.50, 0.70)"
8055.jpg,"(0.45, 0.52)"
8144.jpg,"(0.25, 0.75)"
8211.jpg,"(0.52, 0.64)"
8242.jpg,"(0.45, 0.50)"
8278.jpg,"(0.52, 0.48)"
8594.jpg,"(0.52, 0.48)"
9255.jpg,"(0.50, 0.60)"
9277.jpg,"(0.50, 0.60)"
9348.jpg,"(0.25, 0.85)"
9504.jpg,"(0.52, 0.48)"
9658.jpg,"(0.50, 0.80)"
9697.jpg,"(0.50, 0.60)"
9806.jpg,"(0.50, 0.45)"
9867.jpg,"(0.50, 0.60)"
10408.jpg,"(0.25, 0.85)"
10462.jpg,"(0.50, 0.45)"
10506.jpg,"(0.52, 0.63)"
10583.jpg,"(0.52, 0.68)"
10757.jpg,"(0.50, 0.90)"
11046.jpg,"(0.52, 0.48)"
11091.jpg,"(0.48, 0.76)"
11242.jpg,"(0.50, 0.30)"
11431.jpg,"(0.50, 0.80)"
11512.jpg,"(0.50, 0.70)"
11642.jpg,"(0.25, 0.35)"
11661.jpg,"(0.25, 0.55)"
11705.jpg,"(0.45, 0.75)"
11798.jpg,"(0.52, 0.68)"
11847.jpg,"(0.50, 0.60)"
11908.jpg,"(0.52, 0.68)"
11976.jpg,"(0.52, 0.38)"
12176.jpg,"(0.45, 0.65)"
12206.jpg,"(0.52, 0.86)"
12234.jpg,"(0.45, 0.25)"
12292.jpg,"(0.58, 0.79)"
12344.jpg,"(0.50, 0.80)"
12374.jpg,"(0.52, 0.60)"
12438.jpg,"(0.48, 0.76)"
12536.jpg,"(0.52, 0.58)"
12631.jpg,"(0.50, 0.80)"
12708.jpg,"(0.25, 0.85)"
13081.jpg,"(0.50, 0.30)"
13148.jpg,"(0.45, 0.75)"
13254.jpg,"(0.45, 0.65)"
13326.jpg,"(0.35, 0.45)"
13442.jpg,"(0.52, 0.65)"
13492.jpg,"(0.35, 0.65)"
13626.jpg,"(0.45, 0.35)"
13678.jpg,"(0.58, 0.76)"
13774.jpg,"(0.35, 0.85)"
13796.jpg,"(0.45, 0.60)"
13846.jpg,"(0.35, 0.45)"
13917.jpg,"(0.52, 0.48)"
13940.jpg,"(0.50, 0.45)"
14074.jpg,"(0.58, 0.45)"
14112.jpg,"(0.52, 0.48)"
14178.jpg,"(0.52, 0.84)"
14249.jpg,"(0.45, 0.75)"
14317.jpg,"(0.58, 0.79)"
14372.jpg,"(0.58, 0.86)"
14390.jpg,"(0.58, 0.79)"
14419.jpg,"(0.65, 0.85)"
14505.jpg,"(0.52, 0.48)"
14548.jpg,"(0.50, 0.45)"
14646.jpg,"(0.65, 0.90)"
14688.jpg,"(0.52, 0.64)"
14828.jpg,"(0.45, 0.35)"
14865.jpg,"(0.52, 0.45)"
15069.jpg,"(0.58, 0.67)"
15123.jpg,"(0.52, 0.64)"
15146.jpg,"(0.45, 0.35)"
15180.jpg,"(0.50, 0.70)"
15366.jpg,"(0.65, 0.70)"
15400.jpg,"(0.45, 0.65)"
15454.jpg,"(0.50, 0.30)"
15485.jpg,"(0.50, 0.45)"
15548.jpg,"(0.52, 0.48)"
15624.jpg,"(0.56, 0.82)"
15663.jpg,"(0.52, 0.89)"
15737.jpg,"(0.54, 0.69)"
15813.jpg,"(0.45, 0.55)"
15837.jpg,"(0.50, 0.65)"
15896.jpg,"(0.50, 0.35)"
15980.jpg,"(0.45, 0.65)"
16035.jpg,"(0.50, 0.60)"
16094.jpg,"(0.55, 0.90)"
16136.jpg,"(0.65, 0.85)"
16166.jpg,"(0.52, 0.35)"
16192.jpg,"(0.50, 0.45)"
16227.jpg,"(0.50, 0.80)"
16274.jpg,"(0.50, 0.60)"
16324.jpg,"(0.58, 0.67)"
16408.jpg,"(0.25, 0.90)"
16432.jpg,"(0.52, 0.48)"
16531.jpg,"(0.50, 0.45)"
16573.jpg,"(0.52, 0.63)"
16622.jpg,"(0.52, 0.48)"
16752.jpg,"(0.58, 0.92)"
16933.jpg,"(0.75, 0.75)"
16987.jpg,"(0.52, 0.68)"
17010.jpg,"(0.45, 0.70)"
17057.jpg,"(0.52, 0.58)"
17118.jpg,"(0.50, 0.60)"
17160.jpg,"(0.52, 0.48)"
17186.jpg,"(0.55, 0.48)"
17237.jpg,"(0.52, 0.48)"
17392.jpg,"(0.35, 0.85)"
17573.jpg,"(0.50, 0.45)"
17593.jpg,"(0.50, 0.40)"
17657.jpg,"(0.50, 0.50)"
17726.jpg,"(0.25, 0.45)"
17985.jpg,"(0.55, 0.65)"
