frame,gaze
0.jpg,"(0.75, 0.75)"
185.jpg,"(0.50, 0.45)"
298.jpg,"(0.55, 0.60)"
523.jpg,"(0.50, 0.60)"
639.jpg,"(0.45, 0.65)"
659.jpg,"(0.45, 0.65)"
693.jpg,"(0.50, 0.60)"
736.jpg,"(0.50, 0.60)"
788.jpg,"(0.45, 0.65)"
1084.jpg,"(0.50, 0.60)"
1168.jpg,"(0.45, 0.75)"
1302.jpg,"(0.45, 0.65)"
1511.jpg,"(0.50, 0.50)"
1766.jpg,"(0.45, 0.65)"
1856.jpg,"(0.75, 0.35)"
1947.jpg,"(0.50, 0.50)"
1997.jpg,"(0.50, 0.60)"
2064.jpg,"(0.45, 0.50)"
2101.jpg,"(0.45, 0.65)"
2237.jpg,"(0.65, 0.70)"
2357.jpg,"(0.45, 0.60)"
2689.jpg,"(0.50, 0.65)"
2759.jpg,"(0.75, 0.65)"
2869.jpg,"(0.75, 0.25)"
3547.jpg,"(0.52, 0.60)"
3678.jpg,"(0.45, 0.75)"
3843.jpg,"(0.50, 0.60)"
3893.jpg,"(0.45, 0.65)"
4001.jpg,"(0.45, 0.65)"
4029.jpg,"(0.52, 0.63)"
4135.jpg,"(0.65, 0.65)"
4248.jpg,"(0.52, 0.60)"
4391.jpg,"(0.45, 0.75)"
4653.jpg,"(0.50, 0.70)"
4930.jpg,"(0.75, 0.35)"
5053.jpg,"(0.75, 0.60)"
5221.jpg,"(0.45, 0.65)"
5584.jpg,"(0.65, 0.45)"
5887.jpg,"(0.65, 0.75)"
5925.jpg,"(0.52, 0.78)"
6328.jpg,"(0.35, 0.65)"
6402.jpg,"(0.45, 0.65)"
6444.jpg,"(0.50, 0.60)"
6478.jpg,"(0.45, 0.65)"
6627.jpg,"(0.45, 0.70)"
6680.jpg,"(0.35, 0.45)"
6827.jpg,"(0.45, 0.70)"
6963.jpg,"(0.50, 0.65)"
7190.jpg,"(0.50, 0.60)"
7290.jpg,"(0.45, 0.65)"
7404.jpg,"(0.50, 0.60)"
7552.jpg,"(0.50, 0.70)"
7949.jpg,"(0.45, 0.70)"
8075.jpg,"(0.65, 0.45)"
8103.jpg,"(0.35, 0.65)"
8180.jpg,"(0.45, 0.75)"
8304.jpg,"(0.65, 0.85)"
8470.jpg,"(0.45, 0.70)"
8597.jpg,"(0.45, 0.65)"
8789.jpg,"(0.85, 0.80)"
8829.jpg,"(0.52, 0.78)"
8882.jpg,"(0.45, 0.65)"
8946.jpg,"(0.45, 0.70)"
9213.jpg,"(0.45, 0.65)"
9282.jpg,"(0.45, 0.60)"
9487.jpg,"(0.45, 0.65)"
9607.jpg,"(0.50, 0.60)"
9691.jpg,"(0.55, 0.65)"
9769.jpg,"(0.50, 0.45)"
9834.jpg,"(0.45, 0.62)"
9893.jpg,"(0.52, 0.63)"
9980.jpg,"(0.45, 0.60)"
10110.jpg,"(0.52, 0.63)"
10168.jpg,"(0.50, 0.50)"
10239.jpg,"(0.50, 0.60)"
10343.jpg,"(0.52, 0.64)"
10522.jpg,"(0.52, 0.68)"
10740.jpg,"(0.55, 0.60)"
10802.jpg,"(0.52, 0.63)"
10827.jpg,"(0.52, 0.65)"
10905.jpg,"(0.35, 0.45)"
10979.jpg,"(0.35, 0.45)"
11056.jpg,"(0.52, 0.65)"
11264.jpg,"(0.50, 0.60)"
11394.jpg,"(0.65, 0.70)"
11463.jpg,"(0.50, 0.60)"
11577.jpg,"(0.50, 0.45)"
11638.jpg,"(0.45, 0.60)"
11711.jpg,"(0.50, 0.50)"
11762.jpg,"(0.45, 0.35)"
11814.jpg,"(0.50, 0.60)"
11938.jpg,"(0.45, 0.65)"
11976.jpg,"(0.50, 0.60)"
12058.jpg,"(0.35, 0.45)"
12215.jpg,"(0.35, 0.65)"
12268.jpg,"(0.50, 0.60)"
12310.jpg,"(0.45, 0.25)"
12394.jpg,"(0.50, 0.60)"
12476.jpg,"(0.65, 0.45)"
12672.jpg,"(0.45, 0.75)"
12739.jpg,"(0.45, 0.65)"
12804.jpg,"(0.45, 0.65)"
12842.jpg,"(0.35, 0.70)"
12951.jpg,"(0.45, 0.55)"
13052.jpg,"(0.50, 0.60)"
13118.jpg,"(0.50, 0.45)"
13173.jpg,"(0.65, 0.45)"
13274.jpg,"(0.45, 0.75)"
13398.jpg,"(0.85, 0.65)"
13457.jpg,"(0.75, 0.35)"
13533.jpg,"(0.35, 0.45)"
13611.jpg,"(0.45, 0.65)"
13669.jpg,"(0.35, 0.75)"
13757.jpg,"(0.45, 0.65)"
13864.jpg,"(0.50, 0.45)"
14144.jpg,"(0.58, 0.47)"
14403.jpg,"(0.50, 0.60)"
14436.jpg,"(0.65, 0.75)"
14641.jpg,"(0.52, 0.64)"
14748.jpg,"(0.35, 0.45)"
14791.jpg,"(0.35, 0.45)"
14917.jpg,"(0.50, 0.60)"
14976.jpg,"(0.50, 0.50)"
15060.jpg,"(0.52, 0.78)"
15159.jpg,"(0.50, 0.60)"
15244.jpg,"(0.50, 0.50)"
15347.jpg,"(0.35, 0.65)"
15371.jpg,"(0.35, 0.45)"
15409.jpg,"(0.50, 0.70)"
15468.jpg,"(0.50, 0.60)"
15676.jpg,"(0.50, 0.60)"
15830.jpg,"(0.52, 0.63)"
16047.jpg,"(0.55, 0.65)"
16305.jpg,"(0.52, 0.60)"
16353.jpg,"(0.45, 0.65)"
16420.jpg,"(0.52, 0.63)"
16488.jpg,"(0.85, 0.75)"
16663.jpg,"(0.50, 0.70)"
16714.jpg,"(0.50, 0.30)"
16804.jpg,"(0.58, 0.42)"
16859.jpg,"(0.45, 0.65)"
16960.jpg,"(0.75, 0.60)"
17069.jpg,"(0.45, 0.65)"
17277.jpg,"(0.35, 0.65)"
17428.jpg,"(0.50, 0.70)"
17571.jpg,"(0.45, 0.55)"
17622.jpg,"(0.55, 0.60)"
17708.jpg,"(0.50, 0.70)"
17767.jpg,"(0.45, 0.45)"
