frame,gaze
95.jpg,"(0.65, 0.42)"
231.jpg,"(0.15, 0.10)"
252.jpg,"(0.35, 0.15)"
281.jpg,"(0.35, 0.10)"
373.jpg,"(0.45, 0.70)"
433.jpg,"(0.52, 0.78)"
509.jpg,"(0.52, 0.65)"
554.jpg,"(0.35, 0.65)"
585.jpg,"(0.50, 0.10)"
633.jpg,"(0.50, 0.70)"
736.jpg,"(0.45, 0.55)"
764.jpg,"(0.65, 0.75)"
807.jpg,"(0.50, 0.20)"
818.jpg,"(0.25, 0.45)"
838.jpg,"(0.58, 0.72)"
858.jpg,"(0.35, 0.65)"
909.jpg,"(0.15, 0.10)"
1034.jpg,"(0.50, 0.30)"
1165.jpg,"(0.35, 0.10)"
1302.jpg,"(0.60, 0.50)"
1435.jpg,"(0.35, 0.70)"
1565.jpg,"(0.35, 0.62)"
1629.jpg,"(0.75, 0.80)"
1668.jpg,"(0.45, 0.55)"
2045.jpg,"(0.65, 0.70)"
2346.jpg,"(0.55, 0.48)"
2553.jpg,"(0.15, 0.10)"
2598.jpg,"(0.65, 0.75)"
2652.jpg,"(0.50, 0.70)"
2677.jpg,"(0.55, 0.65)"
2698.jpg,"(0.58, 0.62)"
2711.jpg,"(0.35, 0.60)"
2743.jpg,"(0.50, 0.60)"
2765.jpg,"(0.50, 0.60)"
2791.jpg,"(0.58, 0.62)"
2846.jpg,"(0.50, 0.60)"
2886.jpg,"(0.45, 0.05)"
2920.jpg,"(0.45, 0.58)"
2990.jpg,"(0.35, 0.48)"
3016.jpg,"(0.50, 0.45)"
3055.jpg,"(0.45, 0.65)"
3101.jpg,"(0.50, 0.75)"
3349.jpg,"(0.50, 0.55)"
3437.jpg,"(0.50, 0.55)"
3598.jpg,"(0.52, 0.58)"
3843.jpg,"(0.45, 0.60)"
3984.jpg,"(0.50, 0.60)"
4082.jpg,"(0.52, 0.60)"
5568.jpg,"(0.15, 0.10)"
5728.jpg,"(0.52, 0.65)"
6154.jpg,"(0.25, 0.10)"
6368.jpg,"(0.35, 0.55)"
6524.jpg,"(0.35, 0.45)"
6548.jpg,"(0.45, 0.75)"
6564.jpg,"(0.35, 0.75)"
6574.jpg,"(0.50, 0.65)"
6585.jpg,"(0.45, 0.65)"
