frame,gaze
0.jpg,"(0.50, 0.75)"
176.jpg,"(0.25, 0.40)"
498.jpg,"(0.50, 0.65)"
698.jpg,"(0.50, 0.60)"
730.jpg,"(0.45, 0.55)"
872.jpg,"(0.35, 0.60)"
950.jpg,"(0.65, 0.45)"
1347.jpg,"(0.35, 0.25)"
1413.jpg,"(0.50, 0.60)"
1500.jpg,"(0.35, 0.65)"
1725.jpg,"(0.65, 0.75)"
1752.jpg,"(0.65, 0.70)"
1826.jpg,"(0.35, 0.45)"
1950.jpg,"(0.75, 0.30)"
1988.jpg,"(0.45, 0.70)"
2073.jpg,"(0.50, 0.60)"
2223.jpg,"(0.52, 0.60)"
3308.jpg,"(0.55, 0.48)"
4116.jpg,"(0.45, 0.65)"
4188.jpg,"(0.50, 0.70)"
4337.jpg,"(0.50, 0.45)"
4793.jpg,"(0.15, 0.50)"
5040.jpg,"(0.50, 0.45)"
7637.jpg,"(0.25, 0.30)"
7708.jpg,"(0.45, 0.30)"
7804.jpg,"(0.50, 0.65)"
7864.jpg,"(0.85, 0.80)"
7914.jpg,"(0.50, 0.60)"
7978.jpg,"(0.45, 0.65)"
8124.jpg,"(0.50, 0.60)"
8905.jpg,"(0.75, 0.65)"
8928.jpg,"(0.50, 0.80)"
9005.jpg,"(0.45, 0.60)"
9680.jpg,"(0.50, 0.70)"
9817.jpg,"(0.50, 0.60)"
9937.jpg,"(0.50, 0.60)"
9975.jpg,"(0.45, 0.70)"
10059.jpg,"(0.50, 0.60)"
11667.jpg,"(0.50, 0.30)"
11831.jpg,"(0.50, 0.60)"
11973.jpg,"(0.50, 0.60)"
12101.jpg,"(0.45, 0.60)"
12211.jpg,"(0.55, 0.48)"
13177.jpg,"(0.35, 0.25)"
13412.jpg,"(0.75, 0.65)"
16088.jpg,"(0.50, 0.80)"
16113.jpg,"(0.50, 0.70)"
16633.jpg,"(0.50, 0.60)"
16800.jpg,"(0.45, 0.80)"
16898.jpg,"(0.50, 0.60)"
