frame,gaze
21.jpg,"(0.35, 0.45)"
92.jpg,"(0.35, 0.45)"
320.jpg,"(0.20, 0.15)"
414.jpg,"(0.15, 0.25)"
439.jpg,"(0.35, 0.65)"
540.jpg,"(0.35, 0.15)"
767.jpg,"(0.35, 0.28)"
889.jpg,"(0.45, 0.50)"
1104.jpg,"(0.50, 0.45)"
1171.jpg,"(0.35, 0.45)"
1262.jpg,"(0.35, 0.65)"
1278.jpg,"(0.50, 0.45)"
1470.jpg,"(0.35, 0.65)"
1554.jpg,"(0.35, 0.90)"
1707.jpg,"(0.15, 0.20)"
1972.jpg,"(0.50, 0.45)"
2070.jpg,"(0.50, 0.48)"
2238.jpg,"(0.15, 0.75)"
2248.jpg,"(0.25, 0.45)"
2364.jpg,"(0.25, 0.60)"
2664.jpg,"(0.15, 0.20)"
2732.jpg,"(0.35, 0.45)"
2969.jpg,"(0.35, 0.55)"
3001.jpg,"(0.35, 0.78)"
3241.jpg,"(0.45, 0.60)"
3339.jpg,"(0.25, 0.50)"
3482.jpg,"(0.50, 0.65)"
3534.jpg,"(0.45, 0.65)"
3727.jpg,"(0.50, 0.65)"
3797.jpg,"(0.50, 0.65)"
4012.jpg,"(0.50, 0.65)"
4073.jpg,"(0.45, 0.65)"
4248.jpg,"(0.50, 0.70)"
4458.jpg,"(0.50, 0.45)"
4580.jpg,"(0.52, 0.65)"
4674.jpg,"(0.52, 0.65)"
5073.jpg,"(0.25, 0.30)"
5315.jpg,"(0.45, 0.60)"
6713.jpg,"(0.58, 0.62)"
6723.jpg,"(0.50, 0.60)"
6834.jpg,"(0.45, 0.65)"
7276.jpg,"(0.35, 0.45)"
7714.jpg,"(0.50, 0.70)"
8047.jpg,"(0.50, 0.70)"
8155.jpg,"(0.25, 0.65)"
8221.jpg,"(0.25, 0.75)"
8351.jpg,"(0.35, 0.45)"
8536.jpg,"(0.45, 0.65)"
8579.jpg,"(0.35, 0.85)"
8900.jpg,"(0.50, 0.70)"
10552.jpg,"(0.35, 0.65)"
10677.jpg,"(0.65, 0.45)"
10754.jpg,"(0.35, 0.45)"
10876.jpg,"(0.52, 0.56)"
11014.jpg,"(0.35, 0.25)"
11120.jpg,"(0.45, 0.35)"
11283.jpg,"(0.45, 0.65)"
11391.jpg,"(0.50, 0.60)"
11544.jpg,"(0.52, 0.34)"
11879.jpg,"(0.58, 0.67)"
11977.jpg,"(0.75, 0.60)"
12037.jpg,"(0.50, 0.75)"
12504.jpg,"(0.50, 0.50)"
12649.jpg,"(0.52, 0.65)"
12725.jpg,"(0.35, 0.45)"
12911.jpg,"(0.50, 0.60)"
13167.jpg,"(0.50, 0.60)"
13670.jpg,"(0.50, 0.60)"
14018.jpg,"(0.35, 0.65)"
14296.jpg,"(0.15, 0.60)"
14419.jpg,"(0.50, 0.40)"
14494.jpg,"(0.50, 0.60)"
14551.jpg,"(0.45, 0.60)"
14691.jpg,"(0.45, 0.65)"
14876.jpg,"(0.35, 0.25)"
15201.jpg,"(0.35, 0.15)"
15328.jpg,"(0.50, 0.60)"
15502.jpg,"(0.45, 0.58)"
15566.jpg,"(0.15, 0.70)"
15678.jpg,"(0.50, 0.60)"
15723.jpg,"(0.52, 0.60)"
15764.jpg,"(0.52, 0.56)"
15848.jpg,"(0.52, 0.60)"
15927.jpg,"(0.35, 0.20)"
16031.jpg,"(0.55, 0.65)"
16101.jpg,"(0.15, 0.20)"
16231.jpg,"(0.25, 0.15)"
16310.jpg,"(0.50, 0.60)"
16328.jpg,"(0.35, 0.18)"
16473.jpg,"(0.15, 0.20)"
16619.jpg,"(0.25, 0.75)"
16740.jpg,"(0.25, 0.70)"
16810.jpg,"(0.50, 0.60)"
16871.jpg,"(0.50, 0.60)"
16947.jpg,"(0.35, 0.45)"
17028.jpg,"(0.35, 0.70)"
17073.jpg,"(0.58, 0.62)"
17224.jpg,"(0.54, 0.56)"
17370.jpg,"(0.45, 0.70)"
17585.jpg,"(0.52, 0.48)"
17664.jpg,"(0.50, 0.45)"
17800.jpg,"(0.52, 0.54)"
17930.jpg,"(0.45, 0.65)"
