frame,gaze
0.jpg,"(0.50, 0.40)"
12.jpg,"(0.45, 0.45)"
48.jpg,"(0.45, 0.60)"
90.jpg,"(0.50, 0.60)"
145.jpg,"(0.55, 0.56)"
224.jpg,"(0.55, 0.50)"
292.jpg,"(0.52, 0.58)"
381.jpg,"(0.55, 0.76)"
430.jpg,"(0.52, 0.60)"
594.jpg,"(0.25, 0.45)"
604.jpg,"(0.15, 0.75)"
681.jpg,"(0.45, 0.60)"
766.jpg,"(0.15, 0.75)"
816.jpg,"(0.15, 0.65)"
859.jpg,"(0.35, 0.65)"
901.jpg,"(0.50, 0.30)"
919.jpg,"(0.45, 0.85)"
966.jpg,"(0.50, 0.60)"
989.jpg,"(0.50, 0.45)"
1050.jpg,"(0.45, 0.35)"
1087.jpg,"(0.35, 0.45)"
1103.jpg,"(0.52, 0.80)"
1137.jpg,"(0.52, 0.48)"
1168.jpg,"(0.45, 0.80)"
1182.jpg,"(0.45, 0.85)"
1268.jpg,"(0.50, 0.70)"
1295.jpg,"(0.50, 0.70)"
1354.jpg,"(0.35, 0.65)"
1369.jpg,"(0.50, 0.30)"
1390.jpg,"(0.50, 0.45)"
1548.jpg,"(0.25, 0.70)"
1569.jpg,"(0.45, 0.70)"
1600.jpg,"(0.45, 0.65)"
1645.jpg,"(0.45, 0.65)"
1699.jpg,"(0.45, 0.35)"
1735.jpg,"(0.45, 0.35)"
1761.jpg,"(0.45, 0.38)"
1892.jpg,"(0.45, 0.65)"
1927.jpg,"(0.75, 0.65)"
1989.jpg,"(0.50, 0.45)"
2042.jpg,"(0.50, 0.40)"
2113.jpg,"(0.45, 0.45)"
2310.jpg,"(0.45, 0.65)"
2341.jpg,"(0.45, 0.65)"
2407.jpg,"(0.45, 0.65)"
2519.jpg,"(0.45, 0.75)"
2568.jpg,"(0.45, 0.70)"
2627.jpg,"(0.35, 0.75)"
2682.jpg,"(0.45, 0.75)"
2969.jpg,"(0.65, 0.85)"
3053.jpg,"(0.45, 0.65)"
3143.jpg,"(0.45, 0.70)"
3169.jpg,"(0.50, 0.60)"
3194.jpg,"(0.65, 0.70)"
3211.jpg,"(0.35, 0.45)"
3274.jpg,"(0.45, 0.75)"
3332.jpg,"(0.50, 0.60)"
3342.jpg,"(0.50, 0.35)"
3420.jpg,"(0.45, 0.65)"
3461.jpg,"(0.45, 0.60)"
3534.jpg,"(0.45, 0.75)"
3554.jpg,"(0.45, 0.68)"
3588.jpg,"(0.50, 0.45)"
3674.jpg,"(0.50, 0.45)"
3744.jpg,"(0.45, 0.55)"
3786.jpg,"(0.52, 0.74)"
3804.jpg,"(0.45, 0.70)"
3811.jpg,"(0.45, 0.35)"
3892.jpg,"(0.35, 0.78)"
3930.jpg,"(0.52, 0.68)"
3959.jpg,"(0.50, 0.70)"
3985.jpg,"(0.50, 0.45)"
4002.jpg,"(0.50, 0.45)"
4021.jpg,"(0.45, 0.50)"
4052.jpg,"(0.35, 0.85)"
4075.jpg,"(0.35, 0.70)"
4099.jpg,"(0.52, 0.78)"
4137.jpg,"(0.50, 0.60)"
4146.jpg,"(0.50, 0.25)"
4182.jpg,"(0.52, 0.71)"
4213.jpg,"(0.52, 0.74)"
4278.jpg,"(0.50, 0.45)"
4330.jpg,"(0.50, 0.45)"
4393.jpg,"(0.45, 0.75)"
4784.jpg,"(0.52, 0.78)"
4801.jpg,"(0.15, 0.20)"
4873.jpg,"(0.15, 0.85)"
5110.jpg,"(0.50, 0.45)"
5147.jpg,"(0.45, 0.65)"
5213.jpg,"(0.45, 0.70)"
5266.jpg,"(0.45, 0.75)"
5297.jpg,"(0.45, 0.75)"
5311.jpg,"(0.45, 0.65)"
5344.jpg,"(0.45, 0.70)"
5400.jpg,"(0.45, 0.65)"
5545.jpg,"(0.50, 0.30)"
5572.jpg,"(0.45, 0.60)"
5591.jpg,"(0.45, 0.65)"
5642.jpg,"(0.45, 0.65)"
5739.jpg,"(0.35, 0.70)"
5803.jpg,"(0.45, 0.65)"
5942.jpg,"(0.35, 0.45)"
5961.jpg,"(0.45, 0.70)"
5981.jpg,"(0.35, 0.75)"
6041.jpg,"(0.35, 0.65)"
6063.jpg,"(0.45, 0.70)"
6116.jpg,"(0.30, 0.65)"
6185.jpg,"(0.45, 0.70)"
6242.jpg,"(0.15, 0.75)"
6259.jpg,"(0.45, 0.65)"
6325.jpg,"(0.45, 0.65)"
6374.jpg,"(0.50, 0.35)"
6458.jpg,"(0.45, 0.70)"
6495.jpg,"(0.52, 0.65)"
6564.jpg,"(0.50, 0.70)"
6823.jpg,"(0.45, 0.38)"
6950.jpg,"(0.35, 0.45)"
7004.jpg,"(0.35, 0.55)"
7143.jpg,"(0.50, 0.70)"
7177.jpg,"(0.45, 0.65)"
7240.jpg,"(0.50, 0.25)"
7396.jpg,"(0.45, 0.50)"
7511.jpg,"(0.48, 0.35)"
7585.jpg,"(0.48, 0.39)"
7632.jpg,"(0.54, 0.72)"
7688.jpg,"(0.35, 0.65)"
7753.jpg,"(0.50, 0.45)"
7818.jpg,"(0.48, 0.52)"
7885.jpg,"(0.45, 0.48)"
7977.jpg,"(0.48, 0.25)"
8194.jpg,"(0.50, 0.60)"
8214.jpg,"(0.45, 0.38)"
8416.jpg,"(0.15, 0.45)"
8442.jpg,"(0.50, 0.45)"
8513.jpg,"(0.35, 0.50)"
8557.jpg,"(0.35, 0.45)"
8569.jpg,"(0.35, 0.85)"
8580.jpg,"(0.35, 0.85)"
8633.jpg,"(0.52, 0.86)"
8661.jpg,"(0.48, 0.88)"
8760.jpg,"(0.45, 0.65)"
8800.jpg,"(0.58, 0.49)"
8859.jpg,"(0.50, 0.60)"
9296.jpg,"(0.45, 0.65)"
9436.jpg,"(0.35, 0.90)"
9540.jpg,"(0.45, 0.65)"
9568.jpg,"(0.56, 0.48)"
9843.jpg,"(0.45, 0.68)"
9927.jpg,"(0.15, 0.20)"
9990.jpg,"(0.35, 0.42)"
10205.jpg,"(0.35, 0.45)"
10318.jpg,"(0.25, 0.30)"
10358.jpg,"(0.50, 0.50)"
10634.jpg,"(0.50, 0.30)"
10651.jpg,"(0.50, 0.40)"
10667.jpg,"(0.35, 0.90)"
10874.jpg,"(0.45, 0.35)"
10917.jpg,"(0.35, 0.45)"
10966.jpg,"(0.50, 0.45)"
11030.jpg,"(0.50, 0.60)"
11069.jpg,"(0.25, 0.40)"
11113.jpg,"(0.35, 0.75)"
11170.jpg,"(0.15, 0.45)"
11181.jpg,"(0.25, 0.30)"
11270.jpg,"(0.15, 0.20)"
11337.jpg,"(0.45, 0.75)"
11356.jpg,"(0.35, 0.70)"
11382.jpg,"(0.45, 0.75)"
11426.jpg,"(0.15, 0.08)"
11441.jpg,"(0.50, 0.45)"
11493.jpg,"(0.15, 0.30)"
11512.jpg,"(0.50, 0.50)"
11558.jpg,"(0.50, 0.40)"
11617.jpg,"(0.15, 0.32)"
11624.jpg,"(0.15, 0.32)"
11650.jpg,"(0.50, 0.70)"
11771.jpg,"(0.45, 0.65)"
11818.jpg,"(0.35, 0.45)"
11863.jpg,"(0.15, 0.20)"
11916.jpg,"(0.35, 0.15)"
12016.jpg,"(0.45, 0.65)"
12039.jpg,"(0.25, 0.95)"
12070.jpg,"(0.25, 0.95)"
12081.jpg,"(0.45, 0.55)"
12192.jpg,"(0.45, 0.35)"
12222.jpg,"(0.45, 0.35)"
12294.jpg,"(0.35, 0.45)"
12316.jpg,"(0.50, 0.70)"
12331.jpg,"(0.50, 0.60)"
12455.jpg,"(0.50, 0.60)"
12465.jpg,"(0.35, 0.45)"
12519.jpg,"(0.35, 0.45)"
12899.jpg,"(0.45, 0.35)"
13051.jpg,"(0.52, 0.60)"
13058.jpg,"(0.45, 0.60)"
13074.jpg,"(0.50, 0.60)"
13082.jpg,"(0.52, 0.60)"
13141.jpg,"(0.50, 0.60)"
13208.jpg,"(0.45, 0.50)"
13257.jpg,"(0.52, 0.48)"
13353.jpg,"(0.52, 0.48)"
13467.jpg,"(0.45, 0.65)"
13701.jpg,"(0.25, 0.75)"
13730.jpg,"(0.50, 0.70)"
13761.jpg,"(0.45, 0.65)"
13877.jpg,"(0.45, 0.65)"
13885.jpg,"(0.45, 0.65)"
