frame,gaze
36.jpg,"(0.55, 0.48)"
66.jpg,"(0.65, 0.85)"
167.jpg,"(0.50, 0.40)"
278.jpg,"(0.50, 0.40)"
364.jpg,"(0.45, 0.35)"
422.jpg,"(0.50, 0.30)"
2024.jpg,"(0.35, 0.20)"
2086.jpg,"(0.50, 0.35)"
3303.jpg,"(0.35, 0.45)"
3677.jpg,"(0.45, 0.25)"
3785.jpg,"(0.50, 0.20)"
3812.jpg,"(0.50, 0.10)"
7674.jpg,"(0.50, 0.25)"
7677.jpg,"(0.50, 0.40)"
8170.jpg,"(0.35, 0.45)"
8350.jpg,"(0.50, 0.40)"
8380.jpg,"(0.50, 0.40)"
8557.jpg,"(0.50, 0.40)"
8667.jpg,"(0.50, 0.30)"
9239.jpg,"(0.50, 0.30)"
10284.jpg,"(0.50, 0.20)"
12687.jpg,"(0.50, 0.20)"
13003.jpg,"(0.45, 0.35)"
13093.jpg,"(0.50, 0.40)"
13536.jpg,"(0.50, 0.60)"
13710.jpg,"(0.50, 0.20)"
15825.jpg,"(0.35, 0.45)"
15877.jpg,"(0.50, 0.40)"
16200.jpg,"(0.45, 0.25)"
16340.jpg,"(0.25, 0.45)"
16351.jpg,"(0.35, 0.15)"
16422.jpg,"(0.50, 0.35)"
