frame,gaze
77.jpg,"(0.75, 0.60)"
330.jpg,"(0.35, 0.60)"
578.jpg,"(0.52, 0.78)"
633.jpg,"(0.50, 0.40)"
776.jpg,"(0.50, 0.80)"
978.jpg,"(0.50, 0.30)"
1010.jpg,"(0.50, 0.40)"
1105.jpg,"(0.95, 0.50)"
1501.jpg,"(0.35, 0.45)"
1570.jpg,"(0.50, 0.50)"
1623.jpg,"(0.50, 0.30)"
1699.jpg,"(0.50, 0.60)"
1890.jpg,"(0.35, 0.45)"
1952.jpg,"(0.45, 0.90)"
2135.jpg,"(0.50, 0.45)"
2241.jpg,"(0.50, 0.30)"
2601.jpg,"(0.75, 0.50)"
2711.jpg,"(0.50, 0.40)"
3005.jpg,"(0.45, 0.50)"
3213.jpg,"(0.50, 0.30)"
3497.jpg,"(0.50, 0.40)"
4117.jpg,"(0.15, 0.20)"
4311.jpg,"(0.50, 0.80)"
4649.jpg,"(0.45, 0.35)"
4874.jpg,"(0.50, 0.30)"
4956.jpg,"(0.50, 0.80)"
5064.jpg,"(0.45, 0.30)"
5312.jpg,"(0.50, 0.30)"
5349.jpg,"(0.35, 0.78)"
5527.jpg,"(0.50, 0.45)"
5768.jpg,"(0.50, 0.45)"
5952.jpg,"(0.50, 0.60)"
6399.jpg,"(0.45, 0.45)"
6744.jpg,"(0.50, 0.70)"
7147.jpg,"(0.45, 0.68)"
7172.jpg,"(0.45, 0.65)"
7371.jpg,"(0.35, 0.60)"
7456.jpg,"(0.58, 0.47)"
7512.jpg,"(0.50, 0.90)"
8054.jpg,"(0.35, 0.70)"
8172.jpg,"(0.50, 0.60)"
8339.jpg,"(0.35, 0.45)"
8561.jpg,"(0.45, 0.65)"
9027.jpg,"(0.50, 0.45)"
9142.jpg,"(0.45, 0.65)"
9168.jpg,"(0.35, 0.85)"
9500.jpg,"(0.50, 0.65)"
9622.jpg,"(0.52, 0.68)"
10443.jpg,"(0.50, 0.60)"
10547.jpg,"(0.50, 0.45)"
11024.jpg,"(0.85, 0.85)"
11250.jpg,"(0.50, 0.30)"
11586.jpg,"(0.50, 0.50)"
11655.jpg,"(0.50, 0.50)"
11810.jpg,"(0.45, 0.70)"
11846.jpg,"(0.45, 0.65)"
11958.jpg,"(0.50, 0.60)"
12262.jpg,"(0.45, 0.80)"
12548.jpg,"(0.50, 0.60)"
12641.jpg,"(0.50, 0.40)"
12792.jpg,"(0.50, 0.70)"
12853.jpg,"(0.45, 0.65)"
13001.jpg,"(0.35, 0.60)"
13086.jpg,"(0.45, 0.60)"
13308.jpg,"(0.52, 0.48)"
13412.jpg,"(0.20, 0.30)"
13470.jpg,"(0.45, 0.68)"
13624.jpg,"(0.47, 0.91)"
13675.jpg,"(0.25, 0.75)"
13737.jpg,"(0.50, 0.60)"
14115.jpg,"(0.50, 0.45)"
14218.jpg,"(0.48, 0.55)"
14287.jpg,"(0.45, 0.80)"
14358.jpg,"(0.45, 0.70)"
14420.jpg,"(0.50, 0.60)"
14447.jpg,"(0.85, 0.75)"
14531.jpg,"(0.50, 0.40)"
14637.jpg,"(0.50, 0.45)"
14752.jpg,"(0.50, 0.60)"
14982.jpg,"(0.45, 0.65)"
15017.jpg,"(0.45, 0.80)"
15157.jpg,"(0.50, 0.45)"
15390.jpg,"(0.42, 0.65)"
15514.jpg,"(0.45, 0.65)"
15528.jpg,"(0.50, 0.25)"
15639.jpg,"(0.50, 0.80)"
15694.jpg,"(0.50, 0.60)"
15767.jpg,"(0.45, 0.85)"
16305.jpg,"(0.45, 0.35)"
16384.jpg,"(0.42, 0.63)"
16566.jpg,"(0.42, 0.71)"
16630.jpg,"(0.50, 0.40)"
16831.jpg,"(0.45, 0.65)"
16895.jpg,"(0.45, 0.65)"
16951.jpg,"(0.45, 0.75)"
17042.jpg,"(0.48, 0.53)"
17303.jpg,"(0.45, 0.85)"
17360.jpg,"(0.45, 0.60)"
17490.jpg,"(0.35, 0.75)"
17755.jpg,"(0.45, 0.60)"
17862.jpg,"(0.50, 0.45)"
