frame,gaze
8.jpg,"(0.65, 0.75)"
12.jpg,"(0.50, 0.70)"
195.jpg,"(0.58, 0.76)"
248.jpg,"(0.50, 0.45)"
315.jpg,"(0.85, 0.15)"
353.jpg,"(0.45, 0.38)"
440.jpg,"(0.60, 0.70)"
486.jpg,"(0.55, 0.48)"
519.jpg,"(0.50, 0.45)"
547.jpg,"(0.15, 0.85)"
704.jpg,"(0.45, 0.65)"
1007.jpg,"(0.45, 0.65)"
1067.jpg,"(0.15, 0.60)"
1130.jpg,"(0.35, 0.65)"
1217.jpg,"(0.35, 0.65)"
1260.jpg,"(0.50, 0.60)"
1286.jpg,"(0.35, 0.65)"
1431.jpg,"(0.45, 0.65)"
1496.jpg,"(0.85, 0.65)"
1589.jpg,"(0.35, 0.65)"
1798.jpg,"(0.35, 0.60)"
1886.jpg,"(0.35, 0.60)"
1962.jpg,"(0.45, 0.65)"
2192.jpg,"(0.50, 0.70)"
2227.jpg,"(0.52, 0.63)"
2325.jpg,"(0.35, 0.65)"
2414.jpg,"(0.45, 0.70)"
2456.jpg,"(0.45, 0.65)"
2580.jpg,"(0.35, 0.45)"
2789.jpg,"(0.35, 0.45)"
2970.jpg,"(0.45, 0.48)"
3022.jpg,"(0.25, 0.60)"
3088.jpg,"(0.52, 0.78)"
3130.jpg,"(0.50, 0.45)"
3226.jpg,"(0.58, 0.47)"
3338.jpg,"(0.45, 0.65)"
3430.jpg,"(0.85, 0.90)"
3496.jpg,"(0.45, 0.65)"
3520.jpg,"(0.50, 0.60)"
3559.jpg,"(0.50, 0.50)"
3639.jpg,"(0.35, 0.65)"
3815.jpg,"(0.50, 0.45)"
3882.jpg,"(0.52, 0.50)"
3946.jpg,"(0.25, 0.50)"
4045.jpg,"(0.55, 0.72)"
4143.jpg,"(0.45, 0.60)"
4312.jpg,"(0.45, 0.55)"
4527.jpg,"(0.35, 0.65)"
4631.jpg,"(0.45, 0.60)"
4790.jpg,"(0.50, 0.50)"
4891.jpg,"(0.50, 0.60)"
4952.jpg,"(0.50, 0.70)"
5031.jpg,"(0.65, 0.45)"
5305.jpg,"(0.45, 0.55)"
5516.jpg,"(0.45, 0.65)"
5641.jpg,"(0.15, 0.45)"
5721.jpg,"(0.65, 0.48)"
5948.jpg,"(0.35, 0.50)"
6194.jpg,"(0.35, 0.65)"
6363.jpg,"(0.50, 0.70)"
6534.jpg,"(0.45, 0.65)"
6676.jpg,"(0.45, 0.65)"
6842.jpg,"(0.45, 0.60)"
6911.jpg,"(0.58, 0.64)"
6963.jpg,"(0.55, 0.65)"
7002.jpg,"(0.35, 0.65)"
7055.jpg,"(0.65, 0.65)"
7076.jpg,"(0.65, 0.65)"
7191.jpg,"(0.35, 0.65)"
7369.jpg,"(0.45, 0.60)"
7476.jpg,"(0.25, 0.60)"
7607.jpg,"(0.35, 0.48)"
7674.jpg,"(0.45, 0.65)"
7882.jpg,"(0.50, 0.60)"
7992.jpg,"(0.50, 0.60)"
8046.jpg,"(0.45, 0.60)"
8107.jpg,"(0.52, 0.68)"
8136.jpg,"(0.45, 0.65)"
8357.jpg,"(0.45, 0.65)"
8369.jpg,"(0.50, 0.45)"
8394.jpg,"(0.45, 0.60)"
8456.jpg,"(0.85, 0.45)"
8520.jpg,"(0.45, 0.65)"
8560.jpg,"(0.50, 0.60)"
8577.jpg,"(0.45, 0.60)"
8600.jpg,"(0.75, 0.45)"
8704.jpg,"(0.05, 0.45)"
8734.jpg,"(0.50, 0.60)"
8760.jpg,"(0.15, 0.70)"
8847.jpg,"(0.50, 0.35)"
9023.jpg,"(0.35, 0.45)"
9066.jpg,"(0.50, 0.60)"
9099.jpg,"(0.35, 0.45)"
9135.jpg,"(0.35, 0.55)"
9236.jpg,"(0.45, 0.65)"
9281.jpg,"(0.52, 0.65)"
9443.jpg,"(0.52, 0.63)"
9472.jpg,"(0.35, 0.45)"
9518.jpg,"(0.52, 0.48)"
9622.jpg,"(0.45, 0.65)"
9875.jpg,"(0.45, 0.55)"
10117.jpg,"(0.45, 0.65)"
10265.jpg,"(0.65, 0.70)"
10479.jpg,"(0.65, 0.52)"
10603.jpg,"(0.52, 0.64)"
10680.jpg,"(0.65, 0.45)"
10891.jpg,"(0.35, 0.60)"
10934.jpg,"(0.45, 0.65)"
10968.jpg,"(0.45, 0.65)"
11328.jpg,"(0.50, 0.60)"
11583.jpg,"(0.58, 0.65)"
11616.jpg,"(0.52, 0.63)"
11752.jpg,"(0.45, 0.60)"
11787.jpg,"(0.45, 0.60)"
11837.jpg,"(0.45, 0.65)"
11931.jpg,"(0.52, 0.68)"
12143.jpg,"(0.45, 0.65)"
12613.jpg,"(0.52, 0.64)"
13676.jpg,"(0.35, 0.60)"
14647.jpg,"(0.75, 0.45)"
15681.jpg,"(0.52, 0.74)"
16118.jpg,"(0.45, 0.70)"
16342.jpg,"(0.58, 0.62)"
16700.jpg,"(0.58, 0.47)"
16821.jpg,"(0.52, 0.48)"
17072.jpg,"(0.55, 0.60)"
17147.jpg,"(0.42, 0.45)"
17678.jpg,"(0.58, 0.49)"
