frame,gaze
103.jpg,"(0.50, 0.70)"
402.jpg,"(0.45, 0.60)"
421.jpg,"(0.52, 0.60)"
3802.jpg,"(0.65, 0.65)"
3835.jpg,"(0.50, 0.45)"
3859.jpg,"(0.50, 0.60)"
3881.jpg,"(0.45, 0.65)"
3887.jpg,"(0.45, 0.45)"
3895.jpg,"(0.65, 0.45)"
3969.jpg,"(0.75, 0.60)"
4297.jpg,"(0.75, 0.45)"
4487.jpg,"(0.35, 0.45)"
4519.jpg,"(0.25, 0.30)"
4533.jpg,"(0.35, 0.45)"
4562.jpg,"(0.25, 0.30)"
4665.jpg,"(0.55, 0.62)"
4686.jpg,"(0.50, 0.50)"
4837.jpg,"(0.65, 0.60)"
5522.jpg,"(0.75, 0.50)"
5627.jpg,"(0.55, 0.65)"
5648.jpg,"(0.58, 0.62)"
5666.jpg,"(0.50, 0.60)"
5690.jpg,"(0.50, 0.45)"
5709.jpg,"(0.50, 0.60)"
5857.jpg,"(0.65, 0.65)"
5892.jpg,"(0.50, 0.60)"
5931.jpg,"(0.52, 0.60)"
5940.jpg,"(0.45, 0.60)"
5955.jpg,"(0.35, 0.55)"
5978.jpg,"(0.35, 0.60)"
5987.jpg,"(0.45, 0.60)"
5995.jpg,"(0.50, 0.60)"
6032.jpg,"(0.50, 0.60)"
6044.jpg,"(0.35, 0.45)"
6095.jpg,"(0.50, 0.45)"
6120.jpg,"(0.35, 0.60)"
6256.jpg,"(0.50, 0.60)"
6413.jpg,"(0.65, 0.48)"
6582.jpg,"(0.50, 0.45)"
6854.jpg,"(0.45, 0.60)"
6871.jpg,"(0.65, 0.45)"
6882.jpg,"(0.35, 0.45)"
6928.jpg,"(0.35, 0.65)"
6985.jpg,"(0.15, 0.60)"
7069.jpg,"(0.35, 0.45)"
7080.jpg,"(0.35, 0.45)"
7108.jpg,"(0.35, 0.45)"
7169.jpg,"(0.35, 0.25)"
7373.jpg,"(0.25, 0.75)"
7402.jpg,"(0.35, 0.45)"
7470.jpg,"(0.35, 0.45)"
7540.jpg,"(0.15, 0.20)"
7592.jpg,"(0.25, 0.45)"
7726.jpg,"(0.52, 0.58)"
7765.jpg,"(0.35, 0.45)"
7850.jpg,"(0.35, 0.45)"
7933.jpg,"(0.50, 0.50)"
8067.jpg,"(0.45, 0.65)"
8147.jpg,"(0.15, 0.70)"
8223.jpg,"(0.55, 0.60)"
8238.jpg,"(0.50, 0.45)"
8683.jpg,"(0.25, 0.65)"
8783.jpg,"(0.25, 0.80)"
8899.jpg,"(0.35, 0.65)"
8921.jpg,"(0.55, 0.70)"
8956.jpg,"(0.15, 0.75)"
9033.jpg,"(0.65, 0.65)"
9037.jpg,"(0.60, 0.55)"
9054.jpg,"(0.35, 0.60)"
9144.jpg,"(0.35, 0.45)"
9204.jpg,"(0.50, 0.60)"
9222.jpg,"(0.50, 0.50)"
9281.jpg,"(0.52, 0.38)"
9479.jpg,"(0.50, 0.40)"
