frame,gaze
0.jpg,"(0.52, 0.63)"
57.jpg,"(0.15, 0.48)"
85.jpg,"(0.50, 0.60)"
144.jpg,"(0.50, 0.70)"
176.jpg,"(0.58, 0.60)"
227.jpg,"(0.50, 0.45)"
314.jpg,"(0.52, 0.65)"
552.jpg,"(0.45, 0.30)"
616.jpg,"(0.45, 0.35)"
655.jpg,"(0.45, 0.65)"
2314.jpg,"(0.45, 0.65)"
2672.jpg,"(0.52, 0.65)"
3191.jpg,"(0.52, 0.60)"
4360.jpg,"(0.52, 0.48)"
4519.jpg,"(0.45, 0.60)"
4956.jpg,"(0.45, 0.45)"
5045.jpg,"(0.45, 0.65)"
5109.jpg,"(0.45, 0.50)"
5170.jpg,"(0.50, 0.60)"
5206.jpg,"(0.45, 0.45)"
5563.jpg,"(0.52, 0.45)"
5717.jpg,"(0.85, 0.45)"
6634.jpg,"(0.25, 0.75)"
6809.jpg,"(0.52, 0.45)"
7034.jpg,"(0.45, 0.65)"
7073.jpg,"(0.52, 0.61)"
7544.jpg,"(0.45, 0.35)"
7589.jpg,"(0.52, 0.54)"
7614.jpg,"(0.58, 0.62)"
7638.jpg,"(0.52, 0.68)"
7654.jpg,"(0.45, 0.75)"
7709.jpg,"(0.52, 0.51)"
7913.jpg,"(0.52, 0.45)"
9036.jpg,"(0.58, 0.62)"
10127.jpg,"(0.55, 0.65)"
10151.jpg,"(0.52, 0.68)"
10189.jpg,"(0.45, 0.65)"
10281.jpg,"(0.52, 0.60)"
10485.jpg,"(0.45, 0.65)"
10568.jpg,"(0.45, 0.35)"
10649.jpg,"(0.45, 0.65)"
10703.jpg,"(0.45, 0.65)"
10854.jpg,"(0.58, 0.30)"
11038.jpg,"(0.65, 0.75)"
11079.jpg,"(0.65, 0.30)"
11335.jpg,"(0.52, 0.71)"
11406.jpg,"(0.52, 0.60)"
11478.jpg,"(0.58, 0.42)"
12072.jpg,"(0.35, 0.45)"
12093.jpg,"(0.35, 0.45)"
12237.jpg,"(0.65, 0.35)"
12420.jpg,"(0.50, 0.45)"
12513.jpg,"(0.52, 0.48)"
12610.jpg,"(0.58, 0.35)"
12686.jpg,"(0.35, 0.52)"
12767.jpg,"(0.50, 0.30)"
13528.jpg,"(0.45, 0.65)"
13609.jpg,"(0.52, 0.38)"
13747.jpg,"(0.52, 0.45)"
13860.jpg,"(0.52, 0.65)"
13868.jpg,"(0.45, 0.70)"
13932.jpg,"(0.65, 0.45)"
14144.jpg,"(0.52, 0.45)"
14218.jpg,"(0.52, 0.74)"
14370.jpg,"(0.52, 0.78)"
14522.jpg,"(0.50, 0.60)"
14927.jpg,"(0.52, 0.68)"
15038.jpg,"(0.52, 0.68)"
15091.jpg,"(0.58, 0.39)"
15138.jpg,"(0.65, 0.38)"
15139.jpg,"(0.65, 0.38)"
15202.jpg,"(0.45, 0.65)"
15240.jpg,"(0.65, 0.35)"
15316.jpg,"(0.58, 0.42)"
15353.jpg,"(0.60, 0.35)"
16032.jpg,"(0.35, 0.80)"
16206.jpg,"(0.45, 0.60)"
16597.jpg,"(0.75, 0.45)"
16917.jpg,"(0.45, 0.60)"
16951.jpg,"(0.65, 0.55)"
16997.jpg,"(0.65, 0.40)"
17036.jpg,"(0.65, 0.35)"
17154.jpg,"(0.45, 0.60)"
17186.jpg,"(0.65, 0.35)"
17239.jpg,"(0.65, 0.40)"
17268.jpg,"(0.75, 0.35)"
17488.jpg,"(0.58, 0.72)"
17519.jpg,"(0.65, 0.35)"
17568.jpg,"(0.58, 0.35)"
17636.jpg,"(0.65, 0.35)"
17892.jpg,"(0.35, 0.65)"
17940.jpg,"(0.35, 0.45)"
