frame,gaze
24.jpg,"(0.58, 0.32)"
95.jpg,"(0.35, 0.45)"
159.jpg,"(0.35, 0.45)"
441.jpg,"(0.58, 0.62)"
491.jpg,"(0.75, 0.45)"
540.jpg,"(0.35, 0.10)"
585.jpg,"(0.35, 0.45)"
737.jpg,"(0.55, 0.60)"
799.jpg,"(0.65, 0.70)"
830.jpg,"(0.58, 0.64)"
835.jpg,"(0.58, 0.70)"
1073.jpg,"(0.45, 0.60)"
1148.jpg,"(0.45, 0.60)"
1613.jpg,"(0.50, 0.50)"
1707.jpg,"(0.50, 0.60)"
1772.jpg,"(0.45, 0.65)"
1837.jpg,"(0.35, 0.65)"
2147.jpg,"(0.58, 0.72)"
2179.jpg,"(0.58, 0.65)"
2273.jpg,"(0.35, 0.45)"
2306.jpg,"(0.35, 0.65)"
2347.jpg,"(0.65, 0.35)"
2461.jpg,"(0.45, 0.60)"
2524.jpg,"(0.58, 0.30)"
2599.jpg,"(0.35, 0.65)"
2700.jpg,"(0.45, 0.70)"
2883.jpg,"(0.55, 0.80)"
2948.jpg,"(0.58, 0.52)"
3516.jpg,"(0.35, 0.45)"
3693.jpg,"(0.45, 0.80)"
3793.jpg,"(0.52, 0.90)"
3933.jpg,"(0.45, 0.60)"
4070.jpg,"(0.65, 0.75)"
4095.jpg,"(0.52, 0.74)"
4352.jpg,"(0.45, 0.60)"
4484.jpg,"(0.50, 0.60)"
4774.jpg,"(0.45, 0.75)"
5595.jpg,"(0.45, 0.30)"
5620.jpg,"(0.50, 0.70)"
6247.jpg,"(0.35, 0.65)"
6462.jpg,"(0.65, 0.35)"
6786.jpg,"(0.45, 0.60)"
6864.jpg,"(0.45, 0.60)"
6924.jpg,"(0.52, 0.60)"
9017.jpg,"(0.45, 0.70)"
9989.jpg,"(0.45, 0.75)"
10028.jpg,"(0.45, 0.70)"
10437.jpg,"(0.35, 0.45)"
10514.jpg,"(0.35, 0.65)"
10541.jpg,"(0.55, 0.85)"
10867.jpg,"(0.52, 0.78)"
11173.jpg,"(0.35, 0.45)"
11258.jpg,"(0.52, 0.48)"
11515.jpg,"(0.35, 0.50)"
11598.jpg,"(0.65, 0.52)"
11807.jpg,"(0.42, 0.75)"
12203.jpg,"(0.50, 0.70)"
12291.jpg,"(0.15, 0.45)"
12774.jpg,"(0.52, 0.70)"
12942.jpg,"(0.52, 0.67)"
12978.jpg,"(0.25, 0.65)"
13645.jpg,"(0.25, 0.85)"
13895.jpg,"(0.15, 0.35)"
14323.jpg,"(0.58, 0.64)"
15578.jpg,"(0.35, 0.92)"
15952.jpg,"(0.35, 0.55)"
15991.jpg,"(0.25, 0.65)"
16361.jpg,"(0.35, 0.75)"
16849.jpg,"(0.60, 0.70)"
16885.jpg,"(0.58, 0.63)"
17255.jpg,"(0.35, 0.70)"
17412.jpg,"(0.58, 0.72)"
17448.jpg,"(0.50, 0.40)"
17717.jpg,"(0.35, 0.65)"
