frame,gaze
0.jpg,"(0.15, 0.20)"
68.jpg,"(0.50, 0.35)"
72.jpg,"(0.45, 0.65)"
195.jpg,"(0.25, 0.30)"
226.jpg,"(0.35, 0.60)"
288.jpg,"(0.35, 0.45)"
314.jpg,"(0.45, 0.65)"
348.jpg,"(0.35, 0.45)"
366.jpg,"(0.54, 0.63)"
421.jpg,"(0.35, 0.45)"
424.jpg,"(0.35, 0.65)"
513.jpg,"(0.50, 0.60)"
514.jpg,"(0.50, 0.60)"
520.jpg,"(0.52, 0.64)"
570.jpg,"(0.52, 0.64)"
591.jpg,"(0.35, 0.45)"
618.jpg,"(0.50, 0.60)"
635.jpg,"(0.50, 0.60)"
665.jpg,"(0.52, 0.63)"
670.jpg,"(0.52, 0.63)"
686.jpg,"(0.52, 0.60)"
746.jpg,"(0.49, 0.42)"
789.jpg,"(0.45, 0.50)"
912.jpg,"(0.50, 0.45)"
984.jpg,"(0.45, 0.65)"
1076.jpg,"(0.50, 0.75)"
1085.jpg,"(0.50, 0.60)"
1140.jpg,"(0.50, 0.60)"
1381.jpg,"(0.50, 0.40)"
1386.jpg,"(0.50, 0.60)"
1420.jpg,"(0.75, 0.85)"
1468.jpg,"(0.50, 0.60)"
1492.jpg,"(0.50, 0.50)"
1527.jpg,"(0.58, 0.79)"
1783.jpg,"(0.45, 0.60)"
1866.jpg,"(0.50, 0.70)"
1981.jpg,"(0.45, 0.65)"
2059.jpg,"(0.35, 0.45)"
2142.jpg,"(0.45, 0.35)"
2267.jpg,"(0.45, 0.55)"
2333.jpg,"(0.35, 0.45)"
2392.jpg,"(0.75, 0.60)"
2411.jpg,"(0.50, 0.60)"
2426.jpg,"(0.45, 0.55)"
2552.jpg,"(0.45, 0.60)"
2568.jpg,"(0.50, 0.60)"
2601.jpg,"(0.50, 0.60)"
2662.jpg,"(0.50, 0.60)"
2685.jpg,"(0.45, 0.60)"
2733.jpg,"(0.45, 0.65)"
2735.jpg,"(0.45, 0.45)"
2765.jpg,"(0.45, 0.45)"
2772.jpg,"(0.45, 0.45)"
2815.jpg,"(0.50, 0.45)"
2862.jpg,"(0.45, 0.48)"
3103.jpg,"(0.35, 0.45)"
3119.jpg,"(0.45, 0.65)"
3158.jpg,"(0.35, 0.42)"
3159.jpg,"(0.95, 0.10)"
3198.jpg,"(0.55, 0.60)"
3277.jpg,"(0.52, 0.60)"
3355.jpg,"(0.50, 0.60)"
3382.jpg,"(0.45, 0.48)"
3576.jpg,"(0.35, 0.40)"
3629.jpg,"(0.45, 0.45)"
4573.jpg,"(0.50, 0.35)"
4618.jpg,"(0.58, 0.42)"
4665.jpg,"(0.45, 0.38)"
4703.jpg,"(0.58, 0.36)"
4749.jpg,"(0.35, 0.45)"
4999.jpg,"(0.50, 0.40)"
5020.jpg,"(0.35, 0.40)"
5044.jpg,"(0.52, 0.45)"
5067.jpg,"(0.35, 0.45)"
5097.jpg,"(0.56, 0.48)"
5139.jpg,"(0.52, 0.45)"
5429.jpg,"(0.50, 0.60)"
5473.jpg,"(0.45, 0.55)"
5515.jpg,"(0.45, 0.60)"
5604.jpg,"(0.45, 0.45)"
6172.jpg,"(0.35, 0.45)"
6214.jpg,"(0.50, 0.50)"
6228.jpg,"(0.35, 0.55)"
6237.jpg,"(0.45, 0.65)"
6305.jpg,"(0.45, 0.60)"
6424.jpg,"(0.35, 0.45)"
6674.jpg,"(0.35, 0.45)"
6722.jpg,"(0.45, 0.55)"
6745.jpg,"(0.50, 0.60)"
6760.jpg,"(0.50, 0.60)"
6799.jpg,"(0.52, 0.63)"
6809.jpg,"(0.50, 0.60)"
6848.jpg,"(0.35, 0.45)"
6864.jpg,"(0.45, 0.75)"
6881.jpg,"(0.45, 0.65)"
6905.jpg,"(0.45, 0.65)"
7012.jpg,"(0.50, 0.75)"
7059.jpg,"(0.50, 0.60)"
7150.jpg,"(0.50, 0.60)"
7276.jpg,"(0.35, 0.65)"
7314.jpg,"(0.50, 0.70)"
7556.jpg,"(0.50, 0.60)"
7797.jpg,"(0.45, 0.60)"
7875.jpg,"(0.45, 0.60)"
7901.jpg,"(0.50, 0.60)"
7914.jpg,"(0.45, 0.65)"
8070.jpg,"(0.45, 0.65)"
8105.jpg,"(0.35, 0.45)"
8124.jpg,"(0.35, 0.25)"
8133.jpg,"(0.25, 0.15)"
8195.jpg,"(0.45, 0.65)"
8253.jpg,"(0.52, 0.68)"
8322.jpg,"(0.50, 0.40)"
8571.jpg,"(0.50, 0.60)"
8576.jpg,"(0.50, 0.60)"
8676.jpg,"(0.50, 0.60)"
8766.jpg,"(0.45, 0.65)"
8872.jpg,"(0.50, 0.45)"
8947.jpg,"(0.50, 0.40)"
8958.jpg,"(0.50, 0.45)"
8972.jpg,"(0.50, 0.45)"
9000.jpg,"(0.50, 0.60)"
9015.jpg,"(0.50, 0.60)"
9037.jpg,"(0.75, 0.65)"
9038.jpg,"(0.50, 0.60)"
9070.jpg,"(0.45, 0.70)"
9122.jpg,"(0.50, 0.60)"
9378.jpg,"(0.50, 0.60)"
9766.jpg,"(0.45, 0.60)"
9795.jpg,"(0.45, 0.50)"
9823.jpg,"(0.45, 0.65)"
9978.jpg,"(0.45, 0.60)"
10003.jpg,"(0.45, 0.60)"
10015.jpg,"(0.45, 0.55)"
10025.jpg,"(0.45, 0.50)"
10026.jpg,"(0.45, 0.55)"
10037.jpg,"(0.45, 0.55)"
10057.jpg,"(0.45, 0.50)"
10083.jpg,"(0.45, 0.60)"
10117.jpg,"(0.45, 0.60)"
10139.jpg,"(0.50, 0.60)"
10150.jpg,"(0.45, 0.50)"
10166.jpg,"(0.50, 0.60)"
10213.jpg,"(0.50, 0.60)"
10231.jpg,"(0.45, 0.50)"
10267.jpg,"(0.45, 0.50)"
10272.jpg,"(0.50, 0.60)"
10292.jpg,"(0.50, 0.60)"
10358.jpg,"(0.45, 0.75)"
10372.jpg,"(0.50, 0.70)"
10548.jpg,"(0.52, 0.48)"
10556.jpg,"(0.52, 0.48)"
10590.jpg,"(0.58, 0.46)"
10619.jpg,"(0.45, 0.65)"
10687.jpg,"(0.45, 0.65)"
10852.jpg,"(0.85, 0.45)"
11156.jpg,"(0.45, 0.60)"
11181.jpg,"(0.45, 0.60)"
11220.jpg,"(0.50, 0.60)"
11294.jpg,"(0.45, 0.55)"
11305.jpg,"(0.45, 0.60)"
11428.jpg,"(0.45, 0.60)"
11433.jpg,"(0.45, 0.60)"
11514.jpg,"(0.45, 0.60)"
11523.jpg,"(0.45, 0.60)"
11549.jpg,"(0.50, 0.60)"
11559.jpg,"(0.50, 0.60)"
11839.jpg,"(0.35, 0.45)"
11855.jpg,"(0.50, 0.60)"
11885.jpg,"(0.50, 0.60)"
11932.jpg,"(0.50, 0.60)"
11952.jpg,"(0.50, 0.60)"
11979.jpg,"(0.50, 0.60)"
12010.jpg,"(0.35, 0.45)"
12071.jpg,"(0.50, 0.60)"
12074.jpg,"(0.50, 0.30)"
12102.jpg,"(0.50, 0.60)"
12116.jpg,"(0.50, 0.60)"
12267.jpg,"(0.15, 0.35)"
12289.jpg,"(0.50, 0.65)"
12300.jpg,"(0.50, 0.65)"
12312.jpg,"(0.52, 0.60)"
12327.jpg,"(0.50, 0.60)"
12351.jpg,"(0.52, 0.48)"
12352.jpg,"(0.52, 0.48)"
12355.jpg,"(0.52, 0.56)"
12384.jpg,"(0.54, 0.48)"
12409.jpg,"(0.65, 0.70)"
12412.jpg,"(0.50, 0.70)"
12671.jpg,"(0.52, 0.48)"
12709.jpg,"(0.50, 0.48)"
12818.jpg,"(0.50, 0.48)"
12860.jpg,"(0.52, 0.48)"
12884.jpg,"(0.52, 0.48)"
12901.jpg,"(0.52, 0.48)"
12909.jpg,"(0.52, 0.48)"
12972.jpg,"(0.52, 0.48)"
13105.jpg,"(0.50, 0.48)"
13242.jpg,"(0.52, 0.60)"
13266.jpg,"(0.52, 0.60)"
13301.jpg,"(0.52, 0.54)"
13329.jpg,"(0.52, 0.54)"
13367.jpg,"(0.52, 0.54)"
13469.jpg,"(0.52, 0.50)"
13595.jpg,"(0.52, 0.54)"
13621.jpg,"(0.52, 0.50)"
13713.jpg,"(0.52, 0.54)"
13733.jpg,"(0.52, 0.54)"
13758.jpg,"(0.52, 0.54)"
13866.jpg,"(0.52, 0.54)"
13883.jpg,"(0.52, 0.54)"
13891.jpg,"(0.52, 0.54)"
13910.jpg,"(0.52, 0.49)"
