frame,gaze
17.jpg,"(0.50, 0.45)"
107.jpg,"(0.65, 0.85)"
145.jpg,"(0.50, 0.80)"
243.jpg,"(0.50, 0.75)"
270.jpg,"(0.15, 0.10)"
357.jpg,"(0.65, 0.85)"
402.jpg,"(0.25, 0.15)"
486.jpg,"(0.58, 0.90)"
532.jpg,"(0.45, 0.75)"
592.jpg,"(0.52, 0.78)"
672.jpg,"(0.58, 0.64)"
747.jpg,"(0.50, 0.70)"
812.jpg,"(0.55, 0.65)"
832.jpg,"(0.65, 0.60)"
888.jpg,"(0.45, 0.60)"
983.jpg,"(0.50, 0.60)"
1137.jpg,"(0.65, 0.45)"
1195.jpg,"(0.55, 0.65)"
1218.jpg,"(0.55, 0.60)"
1414.jpg,"(0.35, 0.65)"
1450.jpg,"(0.35, 0.65)"
1510.jpg,"(0.50, 0.30)"
1564.jpg,"(0.35, 0.45)"
1610.jpg,"(0.45, 0.35)"
1621.jpg,"(0.35, 0.65)"
1652.jpg,"(0.45, 0.80)"
1693.jpg,"(0.65, 0.55)"
1743.jpg,"(0.45, 0.65)"
1864.jpg,"(0.52, 0.63)"
1926.jpg,"(0.60, 0.55)"
1930.jpg,"(0.65, 0.55)"
1976.jpg,"(0.75, 0.35)"
2072.jpg,"(0.50, 0.70)"
2147.jpg,"(0.65, 0.75)"
2179.jpg,"(0.45, 0.75)"
2200.jpg,"(0.25, 0.60)"
2216.jpg,"(0.35, 0.60)"
2241.jpg,"(0.55, 0.48)"
2276.jpg,"(0.52, 0.49)"
2348.jpg,"(0.75, 0.48)"
2390.jpg,"(0.45, 0.70)"
2475.jpg,"(0.65, 0.52)"
2560.jpg,"(0.50, 0.60)"
2653.jpg,"(0.65, 0.55)"
2721.jpg,"(0.75, 0.75)"
3045.jpg,"(0.35, 0.90)"
3113.jpg,"(0.50, 0.60)"
3164.jpg,"(0.50, 0.45)"
3480.jpg,"(0.55, 0.78)"
3594.jpg,"(0.52, 0.78)"
3663.jpg,"(0.55, 0.75)"
3732.jpg,"(0.45, 0.70)"
3775.jpg,"(0.45, 0.75)"
3827.jpg,"(0.60, 0.52)"
3854.jpg,"(0.35, 0.75)"
3900.jpg,"(0.58, 0.64)"
3905.jpg,"(0.65, 0.55)"
3986.jpg,"(0.65, 0.75)"
4020.jpg,"(0.58, 0.64)"
4107.jpg,"(0.52, 0.64)"
4128.jpg,"(0.75, 0.58)"
4256.jpg,"(0.52, 0.64)"
4285.jpg,"(0.65, 0.55)"
4321.jpg,"(0.65, 0.58)"
4545.jpg,"(0.65, 0.65)"
4585.jpg,"(0.45, 0.60)"
4608.jpg,"(0.52, 0.68)"
4633.jpg,"(0.52, 0.65)"
4664.jpg,"(0.65, 0.60)"
4694.jpg,"(0.58, 0.69)"
4756.jpg,"(0.58, 0.64)"
4799.jpg,"(0.58, 0.67)"
4819.jpg,"(0.45, 0.65)"
4845.jpg,"(0.65, 0.70)"
4895.jpg,"(0.45, 0.65)"
4922.jpg,"(0.58, 0.62)"
4938.jpg,"(0.52, 0.68)"
4992.jpg,"(0.58, 0.62)"
5004.jpg,"(0.58, 0.62)"
5063.jpg,"(0.52, 0.68)"
5087.jpg,"(0.52, 0.64)"
5364.jpg,"(0.48, 0.65)"
5385.jpg,"(0.45, 0.60)"
5582.jpg,"(0.45, 0.75)"
5609.jpg,"(0.52, 0.65)"
5631.jpg,"(0.75, 0.45)"
5747.jpg,"(0.65, 0.75)"
5943.jpg,"(0.45, 0.65)"
5967.jpg,"(0.50, 0.65)"
6013.jpg,"(0.52, 0.60)"
6074.jpg,"(0.48, 0.59)"
6239.jpg,"(0.65, 0.75)"
6311.jpg,"(0.58, 0.62)"
6377.jpg,"(0.52, 0.60)"
6577.jpg,"(0.50, 0.60)"
6642.jpg,"(0.50, 0.65)"
6732.jpg,"(0.50, 0.70)"
6786.jpg,"(0.75, 0.65)"
6976.jpg,"(0.52, 0.64)"
7023.jpg,"(0.50, 0.60)"
7092.jpg,"(0.52, 0.65)"
7136.jpg,"(0.65, 0.75)"
7194.jpg,"(0.50, 0.60)"
7265.jpg,"(0.45, 0.65)"
7372.jpg,"(0.50, 0.65)"
7478.jpg,"(0.50, 0.65)"
7592.jpg,"(0.50, 0.65)"
7773.jpg,"(0.50, 0.60)"
7863.jpg,"(0.50, 0.65)"
7934.jpg,"(0.50, 0.65)"
8023.jpg,"(0.50, 0.45)"
8155.jpg,"(0.50, 0.50)"
8184.jpg,"(0.50, 0.50)"
8260.jpg,"(0.50, 0.60)"
8311.jpg,"(0.50, 0.70)"
8381.jpg,"(0.50, 0.45)"
8525.jpg,"(0.50, 0.70)"
8746.jpg,"(0.85, 0.79)"
8794.jpg,"(0.55, 0.65)"
8993.jpg,"(0.50, 0.65)"
9088.jpg,"(0.50, 0.65)"
9329.jpg,"(0.50, 0.50)"
9380.jpg,"(0.85, 0.85)"
9416.jpg,"(0.95, 0.87)"
9469.jpg,"(0.85, 0.97)"
9718.jpg,"(0.65, 0.75)"
9748.jpg,"(0.50, 0.60)"
9774.jpg,"(0.45, 0.65)"
9891.jpg,"(0.50, 0.75)"
9948.jpg,"(0.50, 0.60)"
10115.jpg,"(0.50, 0.65)"
10179.jpg,"(0.65, 0.85)"
10219.jpg,"(0.50, 0.60)"
10283.jpg,"(0.58, 0.72)"
10336.jpg,"(0.58, 0.86)"
10366.jpg,"(0.65, 0.55)"
10400.jpg,"(0.50, 0.45)"
10458.jpg,"(0.50, 0.45)"
10488.jpg,"(0.65, 0.45)"
10544.jpg,"(0.65, 0.75)"
10647.jpg,"(0.65, 0.80)"
10681.jpg,"(0.58, 0.64)"
10819.jpg,"(0.55, 0.64)"
10883.jpg,"(0.58, 0.60)"
10925.jpg,"(0.15, 0.85)"
10985.jpg,"(0.65, 0.75)"
11259.jpg,"(0.50, 0.45)"
11310.jpg,"(0.40, 0.60)"
11362.jpg,"(0.45, 0.85)"
11405.jpg,"(0.65, 0.75)"
11437.jpg,"(0.50, 0.60)"
11474.jpg,"(0.65, 0.75)"
11592.jpg,"(0.65, 0.90)"
11704.jpg,"(0.50, 0.60)"
11959.jpg,"(0.50, 0.60)"
11999.jpg,"(0.35, 0.25)"
12032.jpg,"(0.35, 0.25)"
12034.jpg,"(0.45, 0.60)"
12164.jpg,"(0.35, 0.25)"
12222.jpg,"(0.50, 0.45)"
12325.jpg,"(0.65, 0.90)"
12374.jpg,"(0.50, 0.60)"
12434.jpg,"(0.50, 0.45)"
12464.jpg,"(0.50, 0.60)"
12555.jpg,"(0.65, 0.80)"
12625.jpg,"(0.85, 0.85)"
12718.jpg,"(0.65, 0.75)"
12736.jpg,"(0.65, 0.92)"
12795.jpg,"(0.50, 0.45)"
12831.jpg,"(0.50, 0.45)"
12853.jpg,"(0.58, 0.64)"
12857.jpg,"(0.50, 0.45)"
12885.jpg,"(0.75, 0.45)"
12888.jpg,"(0.75, 0.45)"
12974.jpg,"(0.65, 0.45)"
13007.jpg,"(0.50, 0.45)"
13055.jpg,"(0.50, 0.70)"
13106.jpg,"(0.58, 0.60)"
13139.jpg,"(0.58, 0.56)"
13401.jpg,"(0.65, 0.85)"
13461.jpg,"(0.50, 0.45)"
13509.jpg,"(0.50, 0.70)"
13642.jpg,"(0.65, 0.70)"
13681.jpg,"(0.35, 0.45)"
13724.jpg,"(0.50, 0.40)"
13781.jpg,"(0.58, 0.65)"
13838.jpg,"(0.50, 0.45)"
13896.jpg,"(0.45, 0.65)"
13971.jpg,"(0.65, 0.80)"
14058.jpg,"(0.50, 0.45)"
14080.jpg,"(0.30, 0.60)"
14121.jpg,"(0.50, 0.60)"
14175.jpg,"(0.65, 0.85)"
14217.jpg,"(0.50, 0.70)"
14267.jpg,"(0.50, 0.60)"
14300.jpg,"(0.50, 0.60)"
14350.jpg,"(0.65, 0.68)"
14449.jpg,"(0.15, 0.70)"
14497.jpg,"(0.65, 0.45)"
14580.jpg,"(0.50, 0.45)"
14610.jpg,"(0.50, 0.60)"
14712.jpg,"(0.50, 0.45)"
14793.jpg,"(0.45, 0.35)"
14817.jpg,"(0.65, 0.75)"
14842.jpg,"(0.75, 0.55)"
14859.jpg,"(0.65, 0.75)"
14906.jpg,"(0.65, 0.75)"
14962.jpg,"(0.50, 0.90)"
15035.jpg,"(0.35, 0.65)"
15222.jpg,"(0.35, 0.45)"
15242.jpg,"(0.50, 0.50)"
15287.jpg,"(0.65, 0.75)"
15307.jpg,"(0.75, 0.65)"
15357.jpg,"(0.65, 0.90)"
15365.jpg,"(0.60, 0.50)"
15389.jpg,"(0.25, 0.45)"
15479.jpg,"(0.50, 0.45)"
15548.jpg,"(0.75, 0.65)"
15623.jpg,"(0.65, 0.75)"
15718.jpg,"(0.45, 0.65)"
15764.jpg,"(0.35, 0.40)"
15858.jpg,"(0.65, 0.75)"
15889.jpg,"(0.60, 0.65)"
15913.jpg,"(0.50, 0.60)"
16139.jpg,"(0.75, 0.60)"
16192.jpg,"(0.50, 0.45)"
16575.jpg,"(0.50, 0.45)"
16611.jpg,"(0.58, 0.72)"
16674.jpg,"(0.65, 0.75)"
16823.jpg,"(0.75, 0.80)"
17029.jpg,"(0.65, 0.85)"
17049.jpg,"(0.58, 0.64)"
17121.jpg,"(0.60, 0.55)"
17208.jpg,"(0.65, 0.80)"
17234.jpg,"(0.35, 0.40)"
17260.jpg,"(0.65, 0.55)"
17341.jpg,"(0.75, 0.60)"
17381.jpg,"(0.75, 0.45)"
17438.jpg,"(0.60, 0.60)"
17469.jpg,"(0.65, 0.55)"
17502.jpg,"(0.58, 0.67)"
17598.jpg,"(0.50, 0.45)"
17640.jpg,"(0.45, 0.60)"
17862.jpg,"(0.50, 0.60)"
17898.jpg,"(0.65, 0.70)"
17936.jpg,"(0.58, 0.59)"
