frame,gaze
255.jpg,"(0.58, 0.64)"
342.jpg,"(0.35, 0.45)"
441.jpg,"(0.50, 0.45)"
520.jpg,"(0.15, 0.30)"
559.jpg,"(0.15, 0.30)"
652.jpg,"(0.35, 0.45)"
708.jpg,"(0.50, 0.60)"
765.jpg,"(0.52, 0.65)"
1228.jpg,"(0.45, 0.50)"
1291.jpg,"(0.50, 0.60)"
1902.jpg,"(0.35, 0.45)"
1923.jpg,"(0.35, 0.50)"
2149.jpg,"(0.50, 0.45)"
2183.jpg,"(0.25, 0.65)"
2236.jpg,"(0.15, 0.25)"
2322.jpg,"(0.15, 0.48)"
2541.jpg,"(0.65, 0.65)"
2703.jpg,"(0.25, 0.45)"
4109.jpg,"(0.35, 0.55)"
4169.jpg,"(0.25, 0.45)"
4292.jpg,"(0.35, 0.50)"
4407.jpg,"(0.15, 0.40)"
5791.jpg,"(0.25, 0.45)"
5852.jpg,"(0.10, 0.40)"
6787.jpg,"(0.20, 0.45)"
6879.jpg,"(0.45, 0.60)"
7603.jpg,"(0.25, 0.45)"
7854.jpg,"(0.15, 0.40)"
8711.jpg,"(0.15, 0.25)"
8862.jpg,"(0.15, 0.35)"
8887.jpg,"(0.15, 0.45)"
9762.jpg,"(0.15, 0.30)"
9831.jpg,"(0.15, 0.45)"
9906.jpg,"(0.35, 0.45)"
10230.jpg,"(0.25, 0.45)"
10295.jpg,"(0.45, 0.45)"
10319.jpg,"(0.30, 0.45)"
10393.jpg,"(0.45, 0.45)"
10459.jpg,"(0.15, 0.45)"
10495.jpg,"(0.15, 0.45)"
11555.jpg,"(0.25, 0.55)"
11714.jpg,"(0.35, 0.42)"
11730.jpg,"(0.15, 0.35)"
14354.jpg,"(0.15, 0.35)"
14525.jpg,"(0.45, 0.35)"
14552.jpg,"(0.45, 0.48)"
14587.jpg,"(0.45, 0.65)"
14656.jpg,"(0.50, 0.40)"
14741.jpg,"(0.35, 0.45)"
14846.jpg,"(0.45, 0.55)"
14889.jpg,"(0.65, 0.35)"
15118.jpg,"(0.45, 0.35)"
15219.jpg,"(0.52, 0.45)"
15261.jpg,"(0.35, 0.45)"
15392.jpg,"(0.45, 0.50)"
15516.jpg,"(0.50, 0.30)"
15577.jpg,"(0.15, 0.30)"
15984.jpg,"(0.35, 0.45)"
16119.jpg,"(0.50, 0.40)"
16567.jpg,"(0.25, 0.45)"
17162.jpg,"(0.45, 0.50)"
17265.jpg,"(0.45, 0.60)"
17290.jpg,"(0.50, 0.60)"
17547.jpg,"(0.35, 0.45)"
17657.jpg,"(0.25, 0.40)"
