frame,gaze
-1.jpg,"(0.50, 0.45)"
31.jpg,"(0.35, 0.45)"
73.jpg,"(0.45, 0.65)"
76.jpg,"(0.45, 0.65)"
172.jpg,"(0.45, 0.65)"
180.jpg,"(0.45, 0.75)"
204.jpg,"(0.35, 0.45)"
261.jpg,"(0.50, 0.60)"
366.jpg,"(0.50, 0.40)"
430.jpg,"(0.25, 0.40)"
480.jpg,"(0.35, 0.60)"
490.jpg,"(0.35, 0.65)"
580.jpg,"(0.35, 0.60)"
588.jpg,"(0.25, 0.45)"
631.jpg,"(0.50, 0.60)"
663.jpg,"(0.50, 0.70)"
665.jpg,"(0.50, 0.60)"
669.jpg,"(0.35, 0.45)"
699.jpg,"(0.50, 0.60)"
728.jpg,"(0.35, 0.65)"
744.jpg,"(0.35, 0.60)"
760.jpg,"(0.58, 0.62)"
830.jpg,"(0.50, 0.60)"
892.jpg,"(0.50, 0.40)"
918.jpg,"(0.50, 0.45)"
1066.jpg,"(0.45, 0.50)"
1076.jpg,"(0.45, 0.52)"
1087.jpg,"(0.50, 0.60)"
1113.jpg,"(0.45, 0.50)"
1126.jpg,"(0.45, 0.60)"
1127.jpg,"(0.45, 0.60)"
1145.jpg,"(0.35, 0.45)"
1167.jpg,"(0.50, 0.45)"
1169.jpg,"(0.45, 0.45)"
1264.jpg,"(0.45, 0.35)"
1301.jpg,"(0.35, 0.75)"
1339.jpg,"(0.50, 0.60)"
1362.jpg,"(0.50, 0.60)"
1410.jpg,"(0.35, 0.45)"
1415.jpg,"(0.25, 0.35)"
1420.jpg,"(0.35, 0.45)"
1440.jpg,"(0.50, 0.45)"
1441.jpg,"(0.50, 0.45)"
1444.jpg,"(0.45, 0.35)"
1455.jpg,"(0.50, 0.60)"
1470.jpg,"(0.35, 0.65)"
1482.jpg,"(0.85, 0.45)"
1483.jpg,"(0.75, 0.45)"
1487.jpg,"(0.50, 0.60)"
1493.jpg,"(0.50, 0.60)"
1500.jpg,"(0.50, 0.60)"
1516.jpg,"(0.35, 0.45)"
1527.jpg,"(0.50, 0.45)"
1541.jpg,"(0.52, 0.48)"
1567.jpg,"(0.50, 0.60)"
1599.jpg,"(0.35, 0.65)"
1600.jpg,"(0.35, 0.65)"
1632.jpg,"(0.65, 0.70)"
1638.jpg,"(0.58, 0.64)"
1661.jpg,"(0.50, 0.60)"
1704.jpg,"(0.50, 0.45)"
1732.jpg,"(0.45, 0.65)"
1743.jpg,"(0.50, 0.45)"
1774.jpg,"(0.52, 0.48)"
1792.jpg,"(0.50, 0.45)"
1820.jpg,"(0.50, 0.45)"
1864.jpg,"(0.50, 0.45)"
1897.jpg,"(0.45, 0.65)"
1968.jpg,"(0.50, 0.60)"
2009.jpg,"(0.50, 0.50)"
2040.jpg,"(0.35, 0.45)"
2065.jpg,"(0.50, 0.60)"
2140.jpg,"(0.35, 0.45)"
2247.jpg,"(0.50, 0.60)"
2476.jpg,"(0.50, 0.75)"
2568.jpg,"(0.35, 0.45)"
2576.jpg,"(0.35, 0.45)"
2791.jpg,"(0.35, 0.60)"
2803.jpg,"(0.52, 0.64)"
2922.jpg,"(0.50, 0.50)"
2928.jpg,"(0.50, 0.45)"
2930.jpg,"(0.50, 0.60)"
2971.jpg,"(0.50, 0.60)"
2989.jpg,"(0.35, 0.71)"
3205.jpg,"(0.35, 0.45)"
3237.jpg,"(0.58, 0.62)"
3280.jpg,"(0.35, 0.45)"
3287.jpg,"(0.50, 0.60)"
3305.jpg,"(0.45, 0.65)"
3313.jpg,"(0.50, 0.60)"
3353.jpg,"(0.50, 0.60)"
3366.jpg,"(0.50, 0.60)"
3384.jpg,"(0.50, 0.50)"
3396.jpg,"(0.50, 0.60)"
3425.jpg,"(0.50, 0.60)"
3435.jpg,"(0.45, 0.65)"
3452.jpg,"(0.50, 0.70)"
3477.jpg,"(0.50, 0.60)"
3481.jpg,"(0.50, 0.60)"
3513.jpg,"(0.50, 0.60)"
3524.jpg,"(0.52, 0.60)"
3554.jpg,"(0.50, 0.60)"
3684.jpg,"(0.45, 0.65)"
3732.jpg,"(0.50, 0.60)"
3740.jpg,"(0.50, 0.60)"
4559.jpg,"(0.45, 0.70)"
4637.jpg,"(0.45, 0.35)"
4710.jpg,"(0.35, 0.45)"
5153.jpg,"(0.35, 0.25)"
5273.jpg,"(0.45, 0.75)"
5481.jpg,"(0.45, 0.85)"
6445.jpg,"(0.50, 0.70)"
6494.jpg,"(0.50, 0.70)"
6972.jpg,"(0.45, 0.65)"
6998.jpg,"(0.50, 0.60)"
7022.jpg,"(0.50, 0.60)"
7024.jpg,"(0.50, 0.60)"
7029.jpg,"(0.50, 0.60)"
7109.jpg,"(0.50, 0.60)"
7114.jpg,"(0.50, 0.60)"
7122.jpg,"(0.50, 0.60)"
7131.jpg,"(0.50, 0.60)"
7134.jpg,"(0.50, 0.60)"
7151.jpg,"(0.50, 0.60)"
7162.jpg,"(0.45, 0.65)"
7182.jpg,"(0.50, 0.70)"
7212.jpg,"(0.45, 0.48)"
7215.jpg,"(0.75, 0.45)"
7275.jpg,"(0.45, 0.35)"
7312.jpg,"(0.35, 0.45)"
7360.jpg,"(0.50, 0.60)"
7376.jpg,"(0.50, 0.60)"
7418.jpg,"(0.45, 0.60)"
7537.jpg,"(0.45, 0.65)"
7576.jpg,"(0.45, 0.35)"
7629.jpg,"(0.50, 0.60)"
7653.jpg,"(0.50, 0.60)"
7711.jpg,"(0.50, 0.60)"
7742.jpg,"(0.50, 0.60)"
7803.jpg,"(0.50, 0.60)"
7808.jpg,"(0.50, 0.60)"
7823.jpg,"(0.45, 0.65)"
7876.jpg,"(0.50, 0.60)"
7910.jpg,"(0.52, 0.68)"
7944.jpg,"(0.52, 0.68)"
7995.jpg,"(0.52, 0.68)"
7996.jpg,"(0.45, 0.60)"
8000.jpg,"(0.45, 0.60)"
8013.jpg,"(0.45, 0.65)"
8029.jpg,"(0.50, 0.60)"
8076.jpg,"(0.45, 0.75)"
8110.jpg,"(0.45, 0.60)"
8202.jpg,"(0.50, 0.60)"
8219.jpg,"(0.45, 0.60)"
8267.jpg,"(0.45, 0.60)"
9046.jpg,"(0.45, 0.65)"
9073.jpg,"(0.58, 0.72)"
9219.jpg,"(0.50, 0.60)"
9308.jpg,"(0.50, 0.60)"
9442.jpg,"(0.45, 0.65)"
9458.jpg,"(0.45, 0.60)"
9481.jpg,"(0.52, 0.64)"
9506.jpg,"(0.50, 0.60)"
9516.jpg,"(0.50, 0.60)"
9576.jpg,"(0.45, 0.65)"
9595.jpg,"(0.58, 0.65)"
9969.jpg,"(0.45, 0.65)"
10030.jpg,"(0.45, 0.65)"
10114.jpg,"(0.45, 0.70)"
10133.jpg,"(0.52, 0.74)"
10169.jpg,"(0.45, 0.65)"
10271.jpg,"(0.45, 0.65)"
10299.jpg,"(0.45, 0.65)"
10314.jpg,"(0.45, 0.65)"
10362.jpg,"(0.45, 0.65)"
10506.jpg,"(0.45, 0.65)"
10822.jpg,"(0.45, 0.65)"
10887.jpg,"(0.45, 0.60)"
10904.jpg,"(0.45, 0.65)"
10958.jpg,"(0.52, 0.68)"
10994.jpg,"(0.52, 0.64)"
11051.jpg,"(0.45, 0.65)"
11087.jpg,"(0.50, 0.60)"
11101.jpg,"(0.45, 0.65)"
11295.jpg,"(0.45, 0.65)"
11309.jpg,"(0.45, 0.65)"
11483.jpg,"(0.95, 0.45)"
11649.jpg,"(0.45, 0.65)"
11725.jpg,"(0.50, 0.50)"
11945.jpg,"(0.58, 0.64)"
13410.jpg,"(0.52, 0.68)"
13447.jpg,"(0.52, 0.68)"
13556.jpg,"(0.52, 0.78)"
13627.jpg,"(0.52, 0.68)"
13842.jpg,"(0.54, 0.68)"
13974.jpg,"(0.54, 0.68)"
14047.jpg,"(0.58, 0.69)"
14062.jpg,"(0.58, 0.67)"
14146.jpg,"(0.52, 0.65)"
14178.jpg,"(0.50, 0.45)"
14271.jpg,"(0.45, 0.75)"
14298.jpg,"(0.45, 0.65)"
14383.jpg,"(0.35, 0.45)"
14608.jpg,"(0.45, 0.60)"
14972.jpg,"(0.52, 0.68)"
14986.jpg,"(0.54, 0.68)"
15018.jpg,"(0.58, 0.64)"
15105.jpg,"(0.35, 0.45)"
15144.jpg,"(0.50, 0.60)"
15153.jpg,"(0.50, 0.60)"
15191.jpg,"(0.45, 0.60)"
15198.jpg,"(0.45, 0.55)"
15301.jpg,"(0.50, 0.60)"
15380.jpg,"(0.45, 0.65)"
15668.jpg,"(0.45, 0.60)"
15771.jpg,"(0.35, 0.65)"
15787.jpg,"(0.48, 0.65)"
15788.jpg,"(0.45, 0.65)"
15842.jpg,"(0.35, 0.60)"
15973.jpg,"(0.52, 0.64)"
15986.jpg,"(0.35, 0.45)"
16036.jpg,"(0.52, 0.64)"
16081.jpg,"(0.45, 0.60)"
16118.jpg,"(0.45, 0.65)"
16140.jpg,"(0.45, 0.60)"
16191.jpg,"(0.65, 0.65)"
16228.jpg,"(0.65, 0.63)"
16240.jpg,"(0.58, 0.64)"
16258.jpg,"(0.50, 0.60)"
16374.jpg,"(0.25, 0.30)"
16412.jpg,"(0.35, 0.45)"
16420.jpg,"(0.45, 0.60)"
16459.jpg,"(0.45, 0.60)"
16541.jpg,"(0.45, 0.60)"
16566.jpg,"(0.45, 0.65)"
16604.jpg,"(0.45, 0.60)"
16627.jpg,"(0.52, 0.65)"
16657.jpg,"(0.35, 0.45)"
16707.jpg,"(0.35, 0.45)"
16753.jpg,"(0.35, 0.45)"
16804.jpg,"(0.50, 0.60)"
16855.jpg,"(0.35, 0.45)"
17081.jpg,"(0.50, 0.60)"
17117.jpg,"(0.50, 0.60)"
17155.jpg,"(0.45, 0.35)"
17599.jpg,"(0.54, 0.68)"
17648.jpg,"(0.52, 0.68)"
17673.jpg,"(0.50, 0.60)"
17797.jpg,"(0.45, 0.65)"
17802.jpg,"(0.35, 0.60)"
17898.jpg,"(0.50, 0.60)"
