frame,gaze
0.jpg,"(0.50, 0.60)"
53.jpg,"(0.65, 0.55)"
126.jpg,"(0.15, 0.20)"
230.jpg,"(0.45, 0.40)"
240.jpg,"(0.45, 0.40)"
473.jpg,"(0.35, 0.45)"
525.jpg,"(0.75, 0.45)"
573.jpg,"(0.50, 0.50)"
591.jpg,"(0.25, 0.35)"
1190.jpg,"(0.25, 0.35)"
1434.jpg,"(0.25, 0.30)"
1502.jpg,"(0.25, 0.35)"
1579.jpg,"(0.15, 0.25)"
1746.jpg,"(0.50, 0.45)"
2416.jpg,"(0.15, 0.25)"
2650.jpg,"(0.25, 0.15)"
2892.jpg,"(0.35, 0.45)"
2899.jpg,"(0.65, 0.45)"
2918.jpg,"(0.35, 0.45)"
2972.jpg,"(0.35, 0.60)"
3509.jpg,"(0.15, 0.35)"
3578.jpg,"(0.35, 0.45)"
3643.jpg,"(0.25, 0.15)"
3728.jpg,"(0.45, 0.65)"
3754.jpg,"(0.35, 0.45)"
4435.jpg,"(0.50, 0.50)"
4656.jpg,"(0.85, 0.30)"
6168.jpg,"(0.35, 0.45)"
6199.jpg,"(0.50, 0.20)"
8140.jpg,"(0.35, 0.45)"
8255.jpg,"(0.52, 0.58)"
8484.jpg,"(0.50, 0.60)"
8700.jpg,"(0.75, 0.20)"
8766.jpg,"(0.75, 0.35)"
9966.jpg,"(0.35, 0.45)"
9993.jpg,"(0.95, 0.90)"
10020.jpg,"(0.35, 0.45)"
10078.jpg,"(0.35, 0.45)"
10198.jpg,"(0.35, 0.25)"
10307.jpg,"(0.35, 0.28)"
10418.jpg,"(0.50, 0.50)"
10589.jpg,"(0.35, 0.45)"
11146.jpg,"(0.35, 0.28)"
11407.jpg,"(0.25, 0.10)"
11567.jpg,"(0.35, 0.55)"
11782.jpg,"(0.50, 0.40)"
11998.jpg,"(0.50, 0.50)"
12304.jpg,"(0.45, 0.55)"
12797.jpg,"(0.35, 0.45)"
12910.jpg,"(0.50, 0.45)"
13013.jpg,"(0.55, 0.75)"
13522.jpg,"(0.50, 0.30)"
13633.jpg,"(0.50, 0.20)"
14033.jpg,"(0.50, 0.30)"
14950.jpg,"(0.50, 0.40)"
15425.jpg,"(0.85, 0.45)"
15543.jpg,"(0.35, 0.40)"
15613.jpg,"(0.50, 0.45)"
15663.jpg,"(0.50, 0.50)"
16295.jpg,"(0.50, 0.50)"
16712.jpg,"(0.50, 0.50)"
17045.jpg,"(0.50, 0.45)"
17241.jpg,"(0.35, 0.25)"
17321.jpg,"(0.15, 0.30)"
17342.jpg,"(0.50, 0.60)"
17349.jpg,"(0.75, 0.65)"
17352.jpg,"(0.35, 0.65)"
17480.jpg,"(0.15, 0.45)"
17589.jpg,"(0.15, 0.45)"
17651.jpg,"(0.85, 0.45)"
17719.jpg,"(0.90, 0.50)"
17722.jpg,"(0.50, 0.50)"
17734.jpg,"(0.15, 0.45)"
17785.jpg,"(0.25, 0.90)"
