frame,gaze
0.jpg,"(0.35, 0.50)"
583.jpg,"(0.35, 0.75)"
737.jpg,"(0.45, 0.75)"
862.jpg,"(0.52, 0.68)"
979.jpg,"(0.45, 0.75)"
1329.jpg,"(0.25, 0.75)"
1537.jpg,"(0.35, 0.65)"
2001.jpg,"(0.15, 0.20)"
2029.jpg,"(0.35, 0.45)"
2102.jpg,"(0.85, 0.45)"
2122.jpg,"(0.35, 0.45)"
2330.jpg,"(0.55, 0.45)"
2563.jpg,"(0.45, 0.30)"
2589.jpg,"(0.50, 0.35)"
2610.jpg,"(0.75, 0.60)"
2626.jpg,"(0.55, 0.60)"
2636.jpg,"(0.45, 0.60)"
2667.jpg,"(0.45, 0.60)"
2819.jpg,"(0.25, 0.60)"
2877.jpg,"(0.15, 0.60)"
2896.jpg,"(0.45, 0.60)"
2906.jpg,"(0.45, 0.60)"
3066.jpg,"(0.45, 0.50)"
3294.jpg,"(0.35, 0.60)"
3306.jpg,"(0.35, 0.60)"
3421.jpg,"(0.25, 0.65)"
3584.jpg,"(0.35, 0.60)"
3603.jpg,"(0.35, 0.65)"
3859.jpg,"(0.25, 0.10)"
4072.jpg,"(0.35, 0.28)"
4415.jpg,"(0.35, 0.55)"
4456.jpg,"(0.45, 0.60)"
4513.jpg,"(0.45, 0.60)"
4792.jpg,"(0.35, 0.60)"
4943.jpg,"(0.45, 0.60)"
5074.jpg,"(0.15, 0.30)"
5170.jpg,"(0.45, 0.30)"
5219.jpg,"(0.45, 0.32)"
5267.jpg,"(0.45, 0.60)"
5372.jpg,"(0.35, 0.60)"
5706.jpg,"(0.45, 0.65)"
5723.jpg,"(0.52, 0.60)"
5757.jpg,"(0.45, 0.60)"
5847.jpg,"(0.50, 0.60)"
5865.jpg,"(0.58, 0.62)"
6437.jpg,"(0.45, 0.60)"
6468.jpg,"(0.50, 0.45)"
6507.jpg,"(0.45, 0.60)"
6771.jpg,"(0.45, 0.60)"
7064.jpg,"(0.35, 0.45)"
7485.jpg,"(0.55, 0.70)"
7911.jpg,"(0.58, 0.56)"
8044.jpg,"(0.58, 0.54)"
8160.jpg,"(0.45, 0.65)"
8219.jpg,"(0.58, 0.62)"
8644.jpg,"(0.65, 0.55)"
8663.jpg,"(0.52, 0.60)"
8790.jpg,"(0.45, 0.60)"
10282.jpg,"(0.45, 0.65)"
10328.jpg,"(0.50, 0.60)"
10342.jpg,"(0.50, 0.60)"
10395.jpg,"(0.45, 0.60)"
10428.jpg,"(0.52, 0.64)"
10512.jpg,"(0.65, 0.70)"
10647.jpg,"(0.35, 0.45)"
10708.jpg,"(0.55, 0.65)"
10727.jpg,"(0.65, 0.75)"
10766.jpg,"(0.35, 0.45)"
10824.jpg,"(0.45, 0.60)"
10851.jpg,"(0.35, 0.62)"
10946.jpg,"(0.45, 0.65)"
10967.jpg,"(0.55, 0.65)"
11349.jpg,"(0.50, 0.40)"
11474.jpg,"(0.58, 0.42)"
11632.jpg,"(0.45, 0.60)"
12037.jpg,"(0.35, 0.60)"
12189.jpg,"(0.45, 0.65)"
12223.jpg,"(0.35, 0.65)"
12370.jpg,"(0.35, 0.75)"
12721.jpg,"(0.50, 0.40)"
12911.jpg,"(0.50, 0.45)"
13760.jpg,"(0.45, 0.38)"
13827.jpg,"(0.45, 0.60)"
14075.jpg,"(0.58, 0.65)"
14190.jpg,"(0.65, 0.75)"
14225.jpg,"(0.50, 0.50)"
14459.jpg,"(0.50, 0.70)"
14503.jpg,"(0.52, 0.56)"
14552.jpg,"(0.58, 0.52)"
14670.jpg,"(0.58, 0.48)"
14885.jpg,"(0.50, 0.60)"
14979.jpg,"(0.58, 0.49)"
15052.jpg,"(0.58, 0.48)"
15297.jpg,"(0.35, 0.28)"
15333.jpg,"(0.58, 0.56)"
15352.jpg,"(0.58, 0.45)"
15409.jpg,"(0.50, 0.60)"
15912.jpg,"(0.45, 0.40)"
15943.jpg,"(0.52, 0.56)"
16142.jpg,"(0.52, 0.45)"
16246.jpg,"(0.50, 0.40)"
16378.jpg,"(0.58, 0.54)"
16425.jpg,"(0.50, 0.60)"
16434.jpg,"(0.52, 0.48)"
16447.jpg,"(0.50, 0.60)"
16756.jpg,"(0.55, 0.60)"
16780.jpg,"(0.50, 0.60)"
16823.jpg,"(0.58, 0.47)"
17004.jpg,"(0.50, 0.40)"
17047.jpg,"(0.58, 0.42)"
17306.jpg,"(0.35, 0.45)"
17363.jpg,"(0.52, 0.60)"
17525.jpg,"(0.45, 0.60)"
17675.jpg,"(0.50, 0.60)"
