frame,gaze
0.jpg,"(0.50, 0.60)"
38.jpg,"(0.15, 0.05)"
78.jpg,"(0.50, 0.40)"
82.jpg,"(0.52, 0.43)"
105.jpg,"(0.15, 0.20)"
116.jpg,"(0.55, 0.72)"
256.jpg,"(0.52, 0.70)"
285.jpg,"(0.55, 0.70)"
304.jpg,"(0.50, 0.60)"
333.jpg,"(0.35, 0.45)"
391.jpg,"(0.75, 0.30)"
434.jpg,"(0.15, 0.67)"
444.jpg,"(0.35, 0.60)"
456.jpg,"(0.15, 0.63)"
484.jpg,"(0.35, 0.65)"
557.jpg,"(0.35, 0.60)"
595.jpg,"(0.25, 0.30)"
626.jpg,"(0.50, 0.60)"
697.jpg,"(0.75, 0.70)"
811.jpg,"(0.55, 0.45)"
877.jpg,"(0.35, 0.65)"
915.jpg,"(0.35, 0.45)"
932.jpg,"(0.65, 0.75)"
967.jpg,"(0.35, 0.65)"
985.jpg,"(0.52, 0.64)"
1079.jpg,"(0.55, 0.65)"
1081.jpg,"(0.65, 0.75)"
1120.jpg,"(0.35, 0.65)"
1124.jpg,"(0.35, 0.65)"
1173.jpg,"(0.35, 0.45)"
1178.jpg,"(0.35, 0.65)"
1222.jpg,"(0.25, 0.45)"
1290.jpg,"(0.45, 0.70)"
1314.jpg,"(0.50, 0.60)"
1334.jpg,"(0.55, 0.75)"
1402.jpg,"(0.65, 0.85)"
1428.jpg,"(0.35, 0.45)"
1487.jpg,"(0.50, 0.60)"
1494.jpg,"(0.50, 0.45)"
1598.jpg,"(0.50, 0.65)"
1628.jpg,"(0.50, 0.70)"
1700.jpg,"(0.50, 0.60)"
1911.jpg,"(0.25, 0.65)"
1920.jpg,"(0.25, 0.65)"
1948.jpg,"(0.25, 0.65)"
2187.jpg,"(0.20, 0.65)"
2351.jpg,"(0.15, 0.65)"
2406.jpg,"(0.25, 0.65)"
2571.jpg,"(0.25, 0.70)"
2597.jpg,"(0.25, 0.70)"
2660.jpg,"(0.25, 0.65)"
2664.jpg,"(0.25, 0.65)"
2703.jpg,"(0.25, 0.65)"
3027.jpg,"(0.45, 0.65)"
3062.jpg,"(0.45, 0.65)"
3154.jpg,"(0.50, 0.65)"
3196.jpg,"(0.65, 0.70)"
3203.jpg,"(0.75, 0.65)"
3241.jpg,"(0.65, 0.75)"
3282.jpg,"(0.75, 0.60)"
3336.jpg,"(0.25, 0.65)"
3371.jpg,"(0.25, 0.70)"
3442.jpg,"(0.50, 0.70)"
3491.jpg,"(0.25, 0.70)"
3552.jpg,"(0.25, 0.70)"
3592.jpg,"(0.35, 0.75)"
3599.jpg,"(0.35, 0.75)"
3612.jpg,"(0.65, 0.75)"
3774.jpg,"(0.50, 0.60)"
3827.jpg,"(0.50, 0.60)"
3834.jpg,"(0.50, 0.60)"
3861.jpg,"(0.45, 0.60)"
3867.jpg,"(0.45, 0.65)"
3886.jpg,"(0.45, 0.60)"
3961.jpg,"(0.50, 0.60)"
3997.jpg,"(0.15, 0.65)"
4084.jpg,"(0.35, 0.65)"
4129.jpg,"(0.55, 0.75)"
4181.jpg,"(0.55, 0.75)"
4186.jpg,"(0.55, 0.75)"
4343.jpg,"(0.55, 0.75)"
4427.jpg,"(0.45, 0.65)"
4473.jpg,"(0.55, 0.65)"
4498.jpg,"(0.55, 0.65)"
4801.jpg,"(0.45, 0.65)"
5202.jpg,"(0.45, 0.65)"
5321.jpg,"(0.50, 0.70)"
5350.jpg,"(0.55, 0.75)"
5543.jpg,"(0.35, 0.65)"
5620.jpg,"(0.50, 0.70)"
5634.jpg,"(0.55, 0.65)"
5653.jpg,"(0.55, 0.65)"
5744.jpg,"(0.55, 0.70)"
5776.jpg,"(0.50, 0.60)"
5836.jpg,"(0.50, 0.60)"
5964.jpg,"(0.45, 0.60)"
6001.jpg,"(0.52, 0.75)"
6072.jpg,"(0.50, 0.60)"
6087.jpg,"(0.45, 0.60)"
6115.jpg,"(0.35, 0.65)"
6215.jpg,"(0.50, 0.45)"
6229.jpg,"(0.52, 0.45)"
6231.jpg,"(0.52, 0.45)"
6266.jpg,"(0.50, 0.45)"
6417.jpg,"(0.55, 0.60)"
6979.jpg,"(0.50, 0.60)"
7074.jpg,"(0.55, 0.75)"
7181.jpg,"(0.55, 0.65)"
7237.jpg,"(0.75, 0.65)"
7397.jpg,"(0.55, 0.65)"
7439.jpg,"(0.55, 0.65)"
7491.jpg,"(0.50, 0.60)"
7506.jpg,"(0.45, 0.60)"
7830.jpg,"(0.50, 0.60)"
7981.jpg,"(0.45, 0.65)"
8205.jpg,"(0.55, 0.65)"
8501.jpg,"(0.50, 0.60)"
8547.jpg,"(0.45, 0.55)"
8596.jpg,"(0.50, 0.60)"
8640.jpg,"(0.50, 0.70)"
8722.jpg,"(0.55, 0.60)"
8733.jpg,"(0.55, 0.60)"
8789.jpg,"(0.65, 0.70)"
8829.jpg,"(0.65, 0.70)"
9238.jpg,"(0.35, 0.75)"
9293.jpg,"(0.55, 0.80)"
9305.jpg,"(0.55, 0.75)"
9454.jpg,"(0.55, 0.75)"
9711.jpg,"(0.65, 0.75)"
9775.jpg,"(0.65, 0.75)"
9934.jpg,"(0.35, 0.65)"
9955.jpg,"(0.75, 0.75)"
10020.jpg,"(0.65, 0.75)"
10111.jpg,"(0.25, 0.75)"
10224.jpg,"(0.65, 0.75)"
10226.jpg,"(0.65, 0.80)"
11090.jpg,"(0.45, 0.65)"
11154.jpg,"(0.65, 0.75)"
11198.jpg,"(0.50, 0.75)"
11377.jpg,"(0.35, 0.65)"
11415.jpg,"(0.35, 0.78)"
11433.jpg,"(0.50, 0.70)"
11635.jpg,"(0.15, 0.70)"
11693.jpg,"(0.35, 0.45)"
11847.jpg,"(0.65, 0.75)"
12045.jpg,"(0.15, 0.25)"
12107.jpg,"(0.45, 0.35)"
12117.jpg,"(0.45, 0.65)"
12451.jpg,"(0.45, 0.75)"
12905.jpg,"(0.65, 0.75)"
13060.jpg,"(0.45, 0.65)"
13074.jpg,"(0.45, 0.65)"
13078.jpg,"(0.45, 0.65)"
13131.jpg,"(0.45, 0.65)"
13138.jpg,"(0.35, 0.65)"
13174.jpg,"(0.35, 0.65)"
13219.jpg,"(0.45, 0.48)"
