frame,gaze
24.jpg,"(0.50, 0.25)"
122.jpg,"(0.75, 0.30)"
139.jpg,"(0.35, 0.45)"
211.jpg,"(0.25, 0.45)"
348.jpg,"(0.35, 0.45)"
484.jpg,"(0.15, 0.25)"
701.jpg,"(0.65, 0.65)"
712.jpg,"(0.65, 0.65)"
780.jpg,"(0.50, 0.60)"
847.jpg,"(0.45, 0.65)"
872.jpg,"(0.45, 0.60)"
885.jpg,"(0.50, 0.45)"
928.jpg,"(0.45, 0.75)"
1017.jpg,"(0.45, 0.75)"
1256.jpg,"(0.45, 0.75)"
1298.jpg,"(0.50, 0.60)"
1599.jpg,"(0.45, 0.65)"
1676.jpg,"(0.25, 0.30)"
1813.jpg,"(0.50, 0.45)"
1848.jpg,"(0.45, 0.65)"
1905.jpg,"(0.45, 0.65)"
1921.jpg,"(0.75, 0.65)"
1942.jpg,"(0.85, 0.75)"
2027.jpg,"(0.25, 0.30)"
2033.jpg,"(0.15, 0.20)"
2046.jpg,"(0.15, 0.30)"
2307.jpg,"(0.58, 0.72)"
2312.jpg,"(0.50, 0.40)"
2342.jpg,"(0.65, 0.75)"
2394.jpg,"(0.45, 0.65)"
2413.jpg,"(0.45, 0.75)"
2429.jpg,"(0.45, 0.65)"
2460.jpg,"(0.65, 0.85)"
2468.jpg,"(0.75, 0.65)"
2483.jpg,"(0.50, 0.60)"
2510.jpg,"(0.50, 0.30)"
2516.jpg,"(0.50, 0.60)"
2525.jpg,"(0.45, 0.65)"
2536.jpg,"(0.50, 0.30)"
2546.jpg,"(0.35, 0.45)"
2650.jpg,"(0.50, 0.30)"
2663.jpg,"(0.50, 0.60)"
2725.jpg,"(0.45, 0.65)"
2792.jpg,"(0.50, 0.50)"
2839.jpg,"(0.55, 0.65)"
2854.jpg,"(0.55, 0.65)"
2914.jpg,"(0.45, 0.65)"
2979.jpg,"(0.45, 0.45)"
3126.jpg,"(0.45, 0.35)"
3321.jpg,"(0.50, 0.40)"
3416.jpg,"(0.45, 0.35)"
3426.jpg,"(0.45, 0.35)"
3441.jpg,"(0.45, 0.65)"
3606.jpg,"(0.65, 0.85)"
3615.jpg,"(0.50, 0.50)"
3731.jpg,"(0.35, 0.65)"
3748.jpg,"(0.45, 0.65)"
3764.jpg,"(0.45, 0.65)"
3789.jpg,"(0.45, 0.60)"
3799.jpg,"(0.25, 0.45)"
3912.jpg,"(0.45, 0.65)"
4117.jpg,"(0.25, 0.30)"
4256.jpg,"(0.35, 0.78)"
4264.jpg,"(0.35, 0.75)"
4343.jpg,"(0.25, 0.15)"
4429.jpg,"(0.25, 0.45)"
4579.jpg,"(0.45, 0.60)"
4640.jpg,"(0.52, 0.71)"
5011.jpg,"(0.25, 0.85)"
5060.jpg,"(0.45, 0.85)"
5077.jpg,"(0.35, 0.75)"
5118.jpg,"(0.35, 0.65)"
5165.jpg,"(0.45, 0.35)"
5192.jpg,"(0.35, 0.20)"
5220.jpg,"(0.50, 0.45)"
5576.jpg,"(0.52, 0.68)"
5582.jpg,"(0.52, 0.60)"
5608.jpg,"(0.50, 0.60)"
5627.jpg,"(0.45, 0.65)"
5640.jpg,"(0.45, 0.65)"
5686.jpg,"(0.75, 0.65)"
5750.jpg,"(0.65, 0.70)"
5794.jpg,"(0.50, 0.45)"
5921.jpg,"(0.52, 0.65)"
6355.jpg,"(0.35, 0.45)"
6438.jpg,"(0.50, 0.45)"
6485.jpg,"(0.35, 0.25)"
6499.jpg,"(0.25, 0.65)"
6614.jpg,"(0.35, 0.65)"
6636.jpg,"(0.35, 0.45)"
6826.jpg,"(0.50, 0.30)"
6887.jpg,"(0.50, 0.60)"
6903.jpg,"(0.35, 0.45)"
6965.jpg,"(0.35, 0.42)"
7027.jpg,"(0.50, 0.30)"
7310.jpg,"(0.35, 0.45)"
7743.jpg,"(0.45, 0.75)"
7888.jpg,"(0.45, 0.60)"
7997.jpg,"(0.52, 0.63)"
8058.jpg,"(0.35, 0.45)"
8499.jpg,"(0.85, 0.75)"
9377.jpg,"(0.25, 0.70)"
9390.jpg,"(0.25, 0.65)"
9734.jpg,"(0.65, 0.72)"
9804.jpg,"(0.75, 0.65)"
9947.jpg,"(0.52, 0.78)"
10125.jpg,"(0.52, 0.78)"
10233.jpg,"(0.35, 0.75)"
10477.jpg,"(0.25, 0.80)"
10607.jpg,"(0.35, 0.75)"
10687.jpg,"(0.35, 0.65)"
11056.jpg,"(0.55, 0.70)"
11312.jpg,"(0.52, 0.65)"
11850.jpg,"(0.35, 0.65)"
11880.jpg,"(0.35, 0.85)"
11945.jpg,"(0.35, 0.70)"
12026.jpg,"(0.50, 0.60)"
12074.jpg,"(0.65, 0.75)"
12076.jpg,"(0.65, 0.75)"
12219.jpg,"(0.45, 0.65)"
12265.jpg,"(0.15, 0.35)"
12327.jpg,"(0.35, 0.85)"
13292.jpg,"(0.15, 0.75)"
13498.jpg,"(0.65, 0.70)"
13612.jpg,"(0.15, 0.30)"
13652.jpg,"(0.50, 0.60)"
13693.jpg,"(0.50, 0.60)"
13928.jpg,"(0.75, 0.75)"
14029.jpg,"(0.52, 0.63)"
14314.jpg,"(0.52, 0.60)"
14397.jpg,"(0.75, 0.80)"
14511.jpg,"(0.52, 0.63)"
14725.jpg,"(0.50, 0.45)"
14817.jpg,"(0.50, 0.75)"
14893.jpg,"(0.50, 0.60)"
15135.jpg,"(0.52, 0.60)"
15203.jpg,"(0.35, 0.45)"
15252.jpg,"(0.55, 0.60)"
15756.jpg,"(0.45, 0.65)"
15987.jpg,"(0.65, 0.75)"
16090.jpg,"(0.55, 0.65)"
16227.jpg,"(0.52, 0.68)"
16272.jpg,"(0.45, 0.35)"
16295.jpg,"(0.58, 0.65)"
16609.jpg,"(0.52, 0.48)"
16650.jpg,"(0.50, 0.45)"
16846.jpg,"(0.50, 0.60)"
16921.jpg,"(0.52, 0.64)"
17191.jpg,"(0.50, 0.60)"
17289.jpg,"(0.52, 0.61)"
17366.jpg,"(0.50, 0.70)"
17683.jpg,"(0.75, 0.80)"
