frame,gaze
6.jpg,"(0.50, 0.45)"
31.jpg,"(0.50, 0.40)"
36.jpg,"(0.95, 0.20)"
62.jpg,"(0.35, 0.28)"
83.jpg,"(0.45, 0.55)"
122.jpg,"(0.25, 0.35)"
180.jpg,"(0.50, 0.60)"
354.jpg,"(0.75, 0.45)"
356.jpg,"(0.75, 0.35)"
406.jpg,"(0.50, 0.50)"
461.jpg,"(0.65, 0.45)"
490.jpg,"(0.65, 0.45)"
501.jpg,"(0.65, 0.45)"
595.jpg,"(0.45, 0.65)"
667.jpg,"(0.65, 0.45)"
874.jpg,"(0.65, 0.75)"
1150.jpg,"(0.50, 0.70)"
1242.jpg,"(0.65, 0.75)"
1401.jpg,"(0.52, 0.48)"
1490.jpg,"(0.95, 0.65)"
1696.jpg,"(0.45, 0.65)"
1744.jpg,"(0.50, 0.60)"
1826.jpg,"(0.35, 0.45)"
2075.jpg,"(0.50, 0.60)"
2078.jpg,"(0.45, 0.65)"
2107.jpg,"(0.35, 0.45)"
2138.jpg,"(0.50, 0.40)"
2355.jpg,"(0.50, 0.50)"
2383.jpg,"(0.50, 0.50)"
2427.jpg,"(0.35, 0.45)"
2461.jpg,"(0.50, 0.50)"
2495.jpg,"(0.75, 0.45)"
2580.jpg,"(0.50, 0.60)"
2712.jpg,"(0.25, 0.75)"
2785.jpg,"(0.25, 0.25)"
2950.jpg,"(0.45, 0.65)"
3012.jpg,"(0.50, 0.60)"
3051.jpg,"(0.50, 0.60)"
3127.jpg,"(0.25, 0.65)"
3140.jpg,"(0.35, 0.45)"
3184.jpg,"(0.45, 0.80)"
3275.jpg,"(0.58, 0.72)"
3387.jpg,"(0.65, 0.80)"
3451.jpg,"(0.65, 0.75)"
3469.jpg,"(0.65, 0.78)"
3492.jpg,"(0.65, 0.75)"
3642.jpg,"(0.50, 0.65)"
3736.jpg,"(0.58, 0.72)"
3998.jpg,"(0.50, 0.50)"
4048.jpg,"(0.50, 0.45)"
4092.jpg,"(0.50, 0.50)"
4217.jpg,"(0.65, 0.80)"
4376.jpg,"(0.50, 0.40)"
4918.jpg,"(0.50, 0.60)"
4999.jpg,"(0.50, 0.60)"
5041.jpg,"(0.52, 0.65)"
5054.jpg,"(0.65, 0.45)"
5128.jpg,"(0.35, 0.45)"
5151.jpg,"(0.35, 0.45)"
5293.jpg,"(0.50, 0.90)"
5302.jpg,"(0.50, 0.60)"
5344.jpg,"(0.52, 0.38)"
5411.jpg,"(0.45, 0.35)"
5591.jpg,"(0.45, 0.35)"
5677.jpg,"(0.50, 0.60)"
5769.jpg,"(0.50, 0.50)"
5798.jpg,"(0.50, 0.60)"
5915.jpg,"(0.45, 0.75)"
5948.jpg,"(0.50, 0.70)"
5995.jpg,"(0.45, 0.65)"
6027.jpg,"(0.50, 0.45)"
6035.jpg,"(0.50, 0.70)"
6068.jpg,"(0.35, 0.45)"
6260.jpg,"(0.50, 0.40)"
6457.jpg,"(0.52, 0.65)"
6465.jpg,"(0.65, 0.45)"
6827.jpg,"(0.45, 0.55)"
6837.jpg,"(0.50, 0.55)"
6969.jpg,"(0.15, 0.35)"
7098.jpg,"(0.45, 0.55)"
7258.jpg,"(0.50, 0.60)"
7364.jpg,"(0.45, 0.50)"
7385.jpg,"(0.45, 0.42)"
7410.jpg,"(0.45, 0.35)"
7499.jpg,"(0.52, 0.48)"
7548.jpg,"(0.50, 0.60)"
7741.jpg,"(0.35, 0.45)"
7871.jpg,"(0.50, 0.60)"
7992.jpg,"(0.48, 0.56)"
8038.jpg,"(0.52, 0.60)"
8083.jpg,"(0.35, 0.80)"
8180.jpg,"(0.45, 0.55)"
8239.jpg,"(0.45, 0.65)"
8290.jpg,"(0.45, 0.60)"
8390.jpg,"(0.35, 0.60)"
8429.jpg,"(0.45, 0.35)"
8469.jpg,"(0.52, 0.65)"
8511.jpg,"(0.45, 0.55)"
8707.jpg,"(0.50, 0.50)"
8743.jpg,"(0.75, 0.60)"
9176.jpg,"(0.50, 0.60)"
9586.jpg,"(0.75, 0.80)"
12552.jpg,"(0.50, 0.50)"
14947.jpg,"(0.50, 0.60)"
16973.jpg,"(0.50, 0.50)"
17395.jpg,"(0.52, 0.64)"
