frame,gaze
16.jpg,"(0.15, 0.25)"
24.jpg,"(0.15, 0.25)"
58.jpg,"(0.65, 0.60)"
97.jpg,"(0.25, 0.45)"
148.jpg,"(0.45, 0.35)"
183.jpg,"(0.50, 0.30)"
210.jpg,"(0.50, 0.50)"
239.jpg,"(0.50, 0.30)"
333.jpg,"(0.65, 0.45)"
438.jpg,"(0.35, 0.65)"
461.jpg,"(0.45, 0.65)"
495.jpg,"(0.45, 0.86)"
547.jpg,"(0.75, 0.65)"
606.jpg,"(0.50, 0.50)"
634.jpg,"(0.50, 0.45)"
691.jpg,"(0.35, 0.45)"
873.jpg,"(0.25, 0.45)"
920.jpg,"(0.25, 0.45)"
944.jpg,"(0.35, 0.45)"
969.jpg,"(0.45, 0.45)"
1087.jpg,"(0.55, 0.70)"
1100.jpg,"(0.35, 0.45)"
1164.jpg,"(0.35, 0.45)"
1181.jpg,"(0.55, 0.60)"
1221.jpg,"(0.50, 0.60)"
1295.jpg,"(0.45, 0.70)"
1331.jpg,"(0.15, 0.25)"
1384.jpg,"(0.50, 0.45)"
1410.jpg,"(0.50, 0.60)"
1462.jpg,"(0.25, 0.80)"
1479.jpg,"(0.15, 0.85)"
1502.jpg,"(0.80, 0.95)"
1571.jpg,"(0.65, 0.45)"
1772.jpg,"(0.50, 0.35)"
1803.jpg,"(0.15, 0.45)"
1850.jpg,"(0.35, 0.45)"
1872.jpg,"(0.75, 0.45)"
1888.jpg,"(0.45, 0.60)"
1919.jpg,"(0.50, 0.45)"
1956.jpg,"(0.50, 0.50)"
1966.jpg,"(0.50, 0.50)"
2020.jpg,"(0.52, 0.48)"
2050.jpg,"(0.52, 0.64)"
2065.jpg,"(0.45, 0.65)"
2153.jpg,"(0.45, 0.65)"
2168.jpg,"(0.45, 0.60)"
2214.jpg,"(0.50, 0.60)"
2304.jpg,"(0.15, 0.85)"
2357.jpg,"(0.35, 0.45)"
2424.jpg,"(0.52, 0.48)"
2477.jpg,"(0.52, 0.63)"
2509.jpg,"(0.50, 0.50)"
2535.jpg,"(0.45, 0.50)"
2616.jpg,"(0.45, 0.60)"
2664.jpg,"(0.50, 0.60)"
