frame,gaze
123.jpg,"(0.35, 0.45)"
690.jpg,"(0.75, 0.15)"
754.jpg,"(0.65, 0.48)"
856.jpg,"(0.58, 0.62)"
884.jpg,"(0.45, 0.30)"
909.jpg,"(0.45, 0.30)"
1032.jpg,"(0.50, 0.30)"
1125.jpg,"(0.65, 0.45)"
1205.jpg,"(0.50, 0.10)"
1275.jpg,"(0.45, 0.35)"
1358.jpg,"(0.50, 0.75)"
1472.jpg,"(0.50, 0.20)"
1490.jpg,"(0.45, 0.10)"
1549.jpg,"(0.50, 0.05)"
1679.jpg,"(0.45, 0.70)"
1735.jpg,"(0.45, 0.65)"
1757.jpg,"(0.45, 0.65)"
1846.jpg,"(0.50, 0.60)"
1906.jpg,"(0.45, 0.65)"
1927.jpg,"(0.25, 0.45)"
1992.jpg,"(0.35, 0.45)"
2065.jpg,"(0.35, 0.40)"
2333.jpg,"(0.35, 0.60)"
2390.jpg,"(0.50, 0.45)"
2516.jpg,"(0.50, 0.60)"
2548.jpg,"(0.50, 0.45)"
2708.jpg,"(0.35, 0.65)"
2833.jpg,"(0.50, 0.60)"
2890.jpg,"(0.52, 0.60)"
2915.jpg,"(0.45, 0.65)"
2957.jpg,"(0.50, 0.60)"
2988.jpg,"(0.45, 0.32)"
3019.jpg,"(0.15, 0.40)"
3103.jpg,"(0.35, 0.45)"
3348.jpg,"(0.50, 0.65)"
3368.jpg,"(0.52, 0.48)"
3417.jpg,"(0.52, 0.68)"
3751.jpg,"(0.50, 0.65)"
3788.jpg,"(0.50, 0.60)"
3826.jpg,"(0.65, 0.45)"
3921.jpg,"(0.45, 0.60)"
3955.jpg,"(0.45, 0.45)"
4047.jpg,"(0.45, 0.60)"
4205.jpg,"(0.35, 0.60)"
4261.jpg,"(0.45, 0.60)"
4269.jpg,"(0.45, 0.65)"
4371.jpg,"(0.45, 0.60)"
4495.jpg,"(0.35, 0.65)"
4526.jpg,"(0.35, 0.45)"
4551.jpg,"(0.35, 0.55)"
4583.jpg,"(0.35, 0.65)"
4608.jpg,"(0.52, 0.68)"
4628.jpg,"(0.25, 0.15)"
4709.jpg,"(0.50, 0.60)"
4752.jpg,"(0.25, 0.30)"
4819.jpg,"(0.50, 0.50)"
