frame,gaze
8.jpg,"(0.35, 0.60)"
23.jpg,"(0.35, 0.60)"
181.jpg,"(0.65, 0.45)"
193.jpg,"(0.45, 0.60)"
212.jpg,"(0.45, 0.60)"
537.jpg,"(0.52, 0.48)"
942.jpg,"(0.55, 0.48)"
1380.jpg,"(0.45, 0.60)"
1462.jpg,"(0.45, 0.60)"
2544.jpg,"(0.55, 0.45)"
3941.jpg,"(0.65, 0.55)"
3950.jpg,"(0.65, 0.45)"
3996.jpg,"(0.65, 0.70)"
4020.jpg,"(0.35, 0.65)"
4133.jpg,"(0.35, 0.50)"
4453.jpg,"(0.52, 0.48)"
4626.jpg,"(0.55, 0.65)"
4638.jpg,"(0.52, 0.60)"
4670.jpg,"(0.52, 0.60)"
4687.jpg,"(0.65, 0.55)"
4759.jpg,"(0.58, 0.62)"
4800.jpg,"(0.50, 0.50)"
4894.jpg,"(0.55, 0.45)"
5222.jpg,"(0.52, 0.45)"
5705.jpg,"(0.45, 0.35)"
5757.jpg,"(0.55, 0.65)"
5806.jpg,"(0.50, 0.45)"
5844.jpg,"(0.50, 0.60)"
6038.jpg,"(0.45, 0.50)"
6191.jpg,"(0.52, 0.48)"
6292.jpg,"(0.50, 0.45)"
6400.jpg,"(0.45, 0.50)"
6998.jpg,"(0.65, 0.55)"
7201.jpg,"(0.65, 0.75)"
7309.jpg,"(0.50, 0.45)"
7764.jpg,"(0.45, 0.60)"
8045.jpg,"(0.95, 0.45)"
8116.jpg,"(0.15, 0.60)"
8222.jpg,"(0.45, 0.50)"
8312.jpg,"(0.50, 0.45)"
8511.jpg,"(0.35, 0.45)"
8763.jpg,"(0.52, 0.74)"
8866.jpg,"(0.45, 0.48)"
9062.jpg,"(0.60, 0.55)"
9127.jpg,"(0.45, 0.35)"
9180.jpg,"(0.52, 0.60)"
9225.jpg,"(0.45, 0.60)"
9295.jpg,"(0.35, 0.45)"
9337.jpg,"(0.52, 0.48)"
9419.jpg,"(0.45, 0.42)"
9638.jpg,"(0.35, 0.55)"
9732.jpg,"(0.55, 0.65)"
9761.jpg,"(0.52, 0.48)"
9829.jpg,"(0.45, 0.42)"
10319.jpg,"(0.45, 0.50)"
10339.jpg,"(0.35, 0.45)"
10431.jpg,"(0.55, 0.60)"
10647.jpg,"(0.35, 0.65)"
10722.jpg,"(0.55, 0.50)"
10889.jpg,"(0.45, 0.48)"
10896.jpg,"(0.45, 0.30)"
12500.jpg,"(0.25, 0.35)"
12516.jpg,"(0.35, 0.45)"
12578.jpg,"(0.52, 0.45)"
12796.jpg,"(0.52, 0.48)"
14125.jpg,"(0.45, 0.60)"
14149.jpg,"(0.45, 0.60)"
14279.jpg,"(0.35, 0.45)"
14466.jpg,"(0.75, 0.50)"
14537.jpg,"(0.35, 0.45)"
14721.jpg,"(0.35, 0.45)"
14852.jpg,"(0.35, 0.60)"
15112.jpg,"(0.35, 0.45)"
15374.jpg,"(0.35, 0.65)"
16586.jpg,"(0.45, 0.60)"
16708.jpg,"(0.35, 0.45)"
16908.jpg,"(0.55, 0.60)"
16936.jpg,"(0.35, 0.60)"
16974.jpg,"(0.55, 0.65)"
16988.jpg,"(0.50, 0.45)"
17055.jpg,"(0.52, 0.48)"
17069.jpg,"(0.50, 0.45)"
17467.jpg,"(0.45, 0.20)"
17526.jpg,"(0.55, 0.45)"
