frame,gaze
122.jpg,"(0.60, 0.62)"
289.jpg,"(0.58, 0.63)"
478.jpg,"(0.42, 0.65)"
514.jpg,"(0.50, 0.60)"
541.jpg,"(0.50, 0.45)"
568.jpg,"(0.35, 0.65)"
581.jpg,"(0.45, 0.65)"
598.jpg,"(0.45, 0.50)"
642.jpg,"(0.50, 0.60)"
709.jpg,"(0.45, 0.65)"
710.jpg,"(0.25, 0.60)"
751.jpg,"(0.50, 0.50)"
780.jpg,"(0.50, 0.60)"
851.jpg,"(0.45, 0.65)"
904.jpg,"(0.50, 0.60)"
959.jpg,"(0.45, 0.58)"
986.jpg,"(0.45, 0.65)"
1026.jpg,"(0.58, 0.27)"
1112.jpg,"(0.50, 0.60)"
1147.jpg,"(0.35, 0.60)"
1157.jpg,"(0.35, 0.55)"
1187.jpg,"(0.50, 0.80)"
1203.jpg,"(0.85, 0.15)"
1220.jpg,"(0.50, 0.40)"
1252.jpg,"(0.52, 0.68)"
1256.jpg,"(0.50, 0.60)"
1284.jpg,"(0.52, 0.64)"
1378.jpg,"(0.35, 0.65)"
1397.jpg,"(0.50, 0.60)"
1496.jpg,"(0.52, 0.74)"
1505.jpg,"(0.50, 0.60)"
1520.jpg,"(0.50, 0.60)"
1537.jpg,"(0.65, 0.25)"
1557.jpg,"(0.50, 0.60)"
1579.jpg,"(0.58, 0.72)"
1725.jpg,"(0.45, 0.60)"
1835.jpg,"(0.65, 0.52)"
1849.jpg,"(0.45, 0.65)"
1906.jpg,"(0.25, 0.65)"
1941.jpg,"(0.56, 0.72)"
2004.jpg,"(0.45, 0.75)"
2016.jpg,"(0.52, 0.64)"
2040.jpg,"(0.35, 0.75)"
2059.jpg,"(0.58, 0.64)"
2099.jpg,"(0.35, 0.48)"
2224.jpg,"(0.50, 0.70)"
2254.jpg,"(0.58, 0.67)"
2914.jpg,"(0.65, 0.70)"
2943.jpg,"(0.65, 0.45)"
2965.jpg,"(0.58, 0.74)"
2981.jpg,"(0.75, 0.55)"
2995.jpg,"(0.52, 0.64)"
3097.jpg,"(0.52, 0.78)"
3130.jpg,"(0.58, 0.72)"
3213.jpg,"(0.58, 0.64)"
3572.jpg,"(0.65, 0.60)"
3617.jpg,"(0.35, 0.75)"
3635.jpg,"(0.50, 0.65)"
3655.jpg,"(0.45, 0.60)"
3696.jpg,"(0.15, 0.75)"
3715.jpg,"(0.52, 0.64)"
3736.jpg,"(0.50, 0.60)"
3768.jpg,"(0.35, 0.65)"
3788.jpg,"(0.58, 0.76)"
3825.jpg,"(0.25, 0.85)"
3848.jpg,"(0.45, 0.65)"
3880.jpg,"(0.45, 0.65)"
3894.jpg,"(0.58, 0.72)"
3907.jpg,"(0.55, 0.65)"
3918.jpg,"(0.55, 0.65)"
3983.jpg,"(0.45, 0.75)"
4024.jpg,"(0.45, 0.60)"
4049.jpg,"(0.65, 0.70)"
4261.jpg,"(0.58, 0.62)"
4377.jpg,"(0.55, 0.65)"
4437.jpg,"(0.55, 0.70)"
4473.jpg,"(0.50, 0.60)"
4654.jpg,"(0.65, 0.70)"
4800.jpg,"(0.85, 0.25)"
4865.jpg,"(0.65, 0.70)"
4936.jpg,"(0.45, 0.60)"
4953.jpg,"(0.52, 0.65)"
4993.jpg,"(0.58, 0.64)"
5125.jpg,"(0.50, 0.60)"
5241.jpg,"(0.75, 0.65)"
5267.jpg,"(0.50, 0.65)"
5292.jpg,"(0.45, 0.60)"
5318.jpg,"(0.50, 0.60)"
5464.jpg,"(0.52, 0.60)"
5606.jpg,"(0.58, 0.72)"
5620.jpg,"(0.35, 0.70)"
5763.jpg,"(0.52, 0.64)"
5894.jpg,"(0.65, 0.75)"
5919.jpg,"(0.50, 0.60)"
5958.jpg,"(0.45, 0.60)"
6043.jpg,"(0.50, 0.60)"
6153.jpg,"(0.52, 0.60)"
6163.jpg,"(0.52, 0.60)"
6233.jpg,"(0.45, 0.63)"
6316.jpg,"(0.45, 0.65)"
6330.jpg,"(0.52, 0.68)"
6344.jpg,"(0.52, 0.68)"
6444.jpg,"(0.50, 0.60)"
6542.jpg,"(0.52, 0.64)"
6714.jpg,"(0.52, 0.64)"
6717.jpg,"(0.45, 0.65)"
6769.jpg,"(0.45, 0.75)"
6808.jpg,"(0.52, 0.64)"
6964.jpg,"(0.45, 0.65)"
6991.jpg,"(0.50, 0.60)"
7167.jpg,"(0.52, 0.63)"
7181.jpg,"(0.58, 0.62)"
7330.jpg,"(0.35, 0.65)"
7618.jpg,"(0.52, 0.64)"
7714.jpg,"(0.45, 0.60)"
7795.jpg,"(0.45, 0.65)"
7840.jpg,"(0.58, 0.64)"
7954.jpg,"(0.52, 0.64)"
7987.jpg,"(0.45, 0.65)"
8092.jpg,"(0.50, 0.60)"
8170.jpg,"(0.52, 0.74)"
8252.jpg,"(0.52, 0.48)"
8350.jpg,"(0.45, 0.50)"
8451.jpg,"(0.45, 0.65)"
8516.jpg,"(0.50, 0.60)"
8591.jpg,"(0.52, 0.60)"
8677.jpg,"(0.45, 0.60)"
8715.jpg,"(0.52, 0.60)"
8739.jpg,"(0.58, 0.62)"
8771.jpg,"(0.52, 0.60)"
8924.jpg,"(0.50, 0.45)"
8992.jpg,"(0.52, 0.65)"
9047.jpg,"(0.50, 0.60)"
9062.jpg,"(0.35, 0.60)"
9104.jpg,"(0.75, 0.80)"
9210.jpg,"(0.50, 0.50)"
9254.jpg,"(0.45, 0.35)"
9355.jpg,"(0.45, 0.60)"
9429.jpg,"(0.52, 0.65)"
9466.jpg,"(0.58, 0.62)"
9499.jpg,"(0.52, 0.60)"
9667.jpg,"(0.45, 0.60)"
9705.jpg,"(0.52, 0.54)"
9715.jpg,"(0.52, 0.54)"
9795.jpg,"(0.58, 0.64)"
9874.jpg,"(0.50, 0.30)"
9904.jpg,"(0.58, 0.62)"
10067.jpg,"(0.50, 0.60)"
10095.jpg,"(0.58, 0.49)"
10261.jpg,"(0.50, 0.70)"
10281.jpg,"(0.55, 0.65)"
10313.jpg,"(0.58, 0.62)"
10546.jpg,"(0.55, 0.75)"
10566.jpg,"(0.58, 0.64)"
10587.jpg,"(0.50, 0.60)"
10766.jpg,"(0.50, 0.60)"
10850.jpg,"(0.65, 0.70)"
10983.jpg,"(0.45, 0.55)"
11026.jpg,"(0.58, 0.36)"
11047.jpg,"(0.52, 0.60)"
11241.jpg,"(0.52, 0.65)"
11305.jpg,"(0.35, 0.65)"
11490.jpg,"(0.45, 0.65)"
11535.jpg,"(0.52, 0.54)"
11584.jpg,"(0.50, 0.30)"
11607.jpg,"(0.52, 0.60)"
11872.jpg,"(0.52, 0.64)"
12012.jpg,"(0.65, 0.45)"
12084.jpg,"(0.52, 0.60)"
12105.jpg,"(0.52, 0.60)"
12156.jpg,"(0.50, 0.60)"
12243.jpg,"(0.65, 0.70)"
12348.jpg,"(0.65, 0.70)"
12377.jpg,"(0.45, 0.65)"
12437.jpg,"(0.45, 0.35)"
12447.jpg,"(0.45, 0.60)"
12489.jpg,"(0.52, 0.68)"
12569.jpg,"(0.58, 0.49)"
12669.jpg,"(0.58, 0.64)"
12722.jpg,"(0.58, 0.76)"
12841.jpg,"(0.52, 0.64)"
13088.jpg,"(0.58, 0.62)"
13196.jpg,"(0.15, 0.75)"
13237.jpg,"(0.50, 0.60)"
13258.jpg,"(0.52, 0.64)"
13269.jpg,"(0.50, 0.60)"
13312.jpg,"(0.52, 0.63)"
13438.jpg,"(0.45, 0.60)"
13532.jpg,"(0.52, 0.60)"
13569.jpg,"(0.52, 0.60)"
13611.jpg,"(0.50, 0.60)"
13669.jpg,"(0.58, 0.62)"
13744.jpg,"(0.55, 0.65)"
13773.jpg,"(0.58, 0.47)"
13801.jpg,"(0.58, 0.62)"
13810.jpg,"(0.35, 0.45)"
13875.jpg,"(0.52, 0.63)"
13980.jpg,"(0.45, 0.65)"
14045.jpg,"(0.50, 0.60)"
14198.jpg,"(0.52, 0.64)"
14268.jpg,"(0.45, 0.65)"
14301.jpg,"(0.45, 0.65)"
14619.jpg,"(0.45, 0.50)"
14640.jpg,"(0.52, 0.68)"
14801.jpg,"(0.50, 0.60)"
14844.jpg,"(0.52, 0.48)"
14860.jpg,"(0.52, 0.64)"
14875.jpg,"(0.52, 0.63)"
14931.jpg,"(0.65, 0.70)"
15039.jpg,"(0.35, 0.45)"
15070.jpg,"(0.50, 0.60)"
15173.jpg,"(0.58, 0.62)"
15256.jpg,"(0.45, 0.65)"
15311.jpg,"(0.52, 0.60)"
15415.jpg,"(0.50, 0.60)"
15480.jpg,"(0.50, 0.60)"
15607.jpg,"(0.50, 0.60)"
15612.jpg,"(0.50, 0.60)"
15669.jpg,"(0.54, 0.63)"
15711.jpg,"(0.50, 0.65)"
15819.jpg,"(0.52, 0.48)"
15837.jpg,"(0.52, 0.64)"
15852.jpg,"(0.52, 0.48)"
15882.jpg,"(0.65, 0.70)"
15960.jpg,"(0.45, 0.65)"
15995.jpg,"(0.58, 0.49)"
16081.jpg,"(0.52, 0.43)"
16111.jpg,"(0.45, 0.60)"
16145.jpg,"(0.52, 0.64)"
16207.jpg,"(0.52, 0.64)"
16288.jpg,"(0.52, 0.64)"
16348.jpg,"(0.52, 0.48)"
16410.jpg,"(0.50, 0.65)"
16443.jpg,"(0.52, 0.64)"
16465.jpg,"(0.45, 0.45)"
16492.jpg,"(0.58, 0.64)"
16691.jpg,"(0.52, 0.60)"
16762.jpg,"(0.52, 0.60)"
16863.jpg,"(0.50, 0.60)"
16921.jpg,"(0.50, 0.45)"
16971.jpg,"(0.52, 0.60)"
17174.jpg,"(0.85, 0.83)"
17196.jpg,"(0.85, 0.15)"
17241.jpg,"(0.65, 0.65)"
17649.jpg,"(0.52, 0.48)"
17725.jpg,"(0.35, 0.65)"
17807.jpg,"(0.45, 0.65)"
17854.jpg,"(0.52, 0.63)"
17985.jpg,"(0.52, 0.58)"
