frame,gaze
534.jpg,"(0.65, 0.70)"
1083.jpg,"(0.65, 0.55)"
1266.jpg,"(0.58, 0.60)"
1579.jpg,"(0.45, 0.55)"
1852.jpg,"(0.58, 0.62)"
2003.jpg,"(0.52, 0.64)"
2177.jpg,"(0.52, 0.60)"
2249.jpg,"(0.52, 0.60)"
2426.jpg,"(0.52, 0.60)"
3033.jpg,"(0.50, 0.55)"
3313.jpg,"(0.65, 0.45)"
3485.jpg,"(0.52, 0.58)"
4385.jpg,"(0.65, 0.60)"
4421.jpg,"(0.65, 0.70)"
4587.jpg,"(0.50, 0.60)"
5018.jpg,"(0.50, 0.60)"
5362.jpg,"(0.45, 0.45)"
5390.jpg,"(0.45, 0.45)"
5713.jpg,"(0.50, 0.45)"
5729.jpg,"(0.45, 0.48)"
5775.jpg,"(0.50, 0.60)"
5901.jpg,"(0.52, 0.48)"
6073.jpg,"(0.52, 0.41)"
6577.jpg,"(0.50, 0.45)"
6731.jpg,"(0.65, 0.70)"
7098.jpg,"(0.50, 0.50)"
7308.jpg,"(0.58, 0.49)"
7435.jpg,"(0.50, 0.65)"
7655.jpg,"(0.50, 0.60)"
7806.jpg,"(0.52, 0.65)"
7971.jpg,"(0.52, 0.60)"
8196.jpg,"(0.65, 0.62)"
8442.jpg,"(0.50, 0.50)"
8760.jpg,"(0.56, 0.64)"
8842.jpg,"(0.45, 0.60)"
