frame,gaze
491.jpg,"(0.65, 0.65)"
708.jpg,"(0.50, 0.70)"
855.jpg,"(0.45, 0.60)"
1066.jpg,"(0.35, 0.45)"
1249.jpg,"(0.65, 0.60)"
1331.jpg,"(0.35, 0.65)"
1718.jpg,"(0.45, 0.45)"
1788.jpg,"(0.50, 0.60)"
2059.jpg,"(0.50, 0.45)"
2077.jpg,"(0.52, 0.60)"
2111.jpg,"(0.58, 0.65)"
4873.jpg,"(0.65, 0.45)"
5022.jpg,"(0.52, 0.54)"
5141.jpg,"(0.55, 0.60)"
5376.jpg,"(0.65, 0.45)"
5451.jpg,"(0.35, 0.65)"
5863.jpg,"(0.52, 0.65)"
6204.jpg,"(0.58, 0.64)"
6283.jpg,"(0.35, 0.60)"
6566.jpg,"(0.55, 0.68)"
8423.jpg,"(0.50, 0.60)"
8516.jpg,"(0.45, 0.65)"
