frame,gaze
1087.jpg,"(0.50, 0.50)"
1471.jpg,"(0.50, 0.60)"
2067.jpg,"(0.52, 0.70)"
2964.jpg,"(0.50, 0.65)"
3966.jpg,"(0.50, 0.65)"
4193.jpg,"(0.65, 0.75)"
4472.jpg,"(0.50, 0.60)"
5835.jpg,"(0.35, 0.75)"
6911.jpg,"(0.52, 0.76)"
7350.jpg,"(0.65, 0.85)"
9924.jpg,"(0.50, 0.70)"
10278.jpg,"(0.52, 0.68)"
10891.jpg,"(0.50, 0.60)"
12130.jpg,"(0.52, 0.68)"
12678.jpg,"(0.65, 0.75)"
13033.jpg,"(0.50, 0.60)"
13612.jpg,"(0.65, 0.70)"
14097.jpg,"(0.65, 0.85)"
14169.jpg,"(0.60, 0.85)"
14573.jpg,"(0.65, 0.70)"
14646.jpg,"(0.60, 0.75)"
14835.jpg,"(0.58, 0.49)"
15509.jpg,"(0.65, 0.78)"
15813.jpg,"(0.35, 0.65)"
16450.jpg,"(0.52, 0.74)"
16663.jpg,"(0.55, 0.60)"
16985.jpg,"(0.55, 0.60)"
17506.jpg,"(0.65, 0.68)"
17662.jpg,"(0.25, 0.65)"
18304.jpg,"(0.50, 0.60)"
19526.jpg,"(0.52, 0.76)"
19683.jpg,"(0.50, 0.45)"
