frame,gaze
394.jpg,"(0.50, 0.60)"
544.jpg,"(0.50, 0.65)"
581.jpg,"(0.50, 0.50)"
794.jpg,"(0.52, 0.86)"
836.jpg,"(0.52, 0.76)"
1027.jpg,"(0.65, 0.75)"
1074.jpg,"(0.54, 0.78)"
1499.jpg,"(0.35, 0.85)"
2089.jpg,"(0.65, 0.60)"
2175.jpg,"(0.35, 0.45)"
2521.jpg,"(0.45, 0.70)"
2601.jpg,"(0.45, 0.65)"
2775.jpg,"(0.45, 0.55)"
2914.jpg,"(0.55, 0.65)"
3471.jpg,"(0.45, 0.60)"
3748.jpg,"(0.75, 0.70)"
3926.jpg,"(0.50, 0.60)"
4047.jpg,"(0.75, 0.78)"
4072.jpg,"(0.65, 0.65)"
4375.jpg,"(0.50, 0.65)"
4391.jpg,"(0.52, 0.64)"
4803.jpg,"(0.75, 0.70)"
5632.jpg,"(0.52, 0.78)"
5730.jpg,"(0.45, 0.65)"
6063.jpg,"(0.65, 0.65)"
6657.jpg,"(0.65, 0.65)"
6959.jpg,"(0.50, 0.60)"
8169.jpg,"(0.45, 0.55)"
8241.jpg,"(0.45, 0.50)"
9378.jpg,"(0.45, 0.60)"
9466.jpg,"(0.58, 0.67)"
9722.jpg,"(0.48, 0.65)"
9953.jpg,"(0.52, 0.64)"
10196.jpg,"(0.65, 0.80)"
10241.jpg,"(0.50, 0.60)"
10464.jpg,"(0.45, 0.75)"
10725.jpg,"(0.50, 0.60)"
11179.jpg,"(0.45, 0.60)"
11220.jpg,"(0.45, 0.60)"
12159.jpg,"(0.45, 0.60)"
12236.jpg,"(0.50, 0.60)"
12402.jpg,"(0.50, 0.60)"
12730.jpg,"(0.50, 0.70)"
13038.jpg,"(0.45, 0.75)"
13153.jpg,"(0.65, 0.45)"
13235.jpg,"(0.58, 0.49)"
13337.jpg,"(0.75, 0.85)"
13763.jpg,"(0.45, 0.65)"
13911.jpg,"(0.65, 0.75)"
14165.jpg,"(0.65, 0.70)"
14511.jpg,"(0.35, 0.85)"
14666.jpg,"(0.48, 0.65)"
15390.jpg,"(0.35, 0.65)"
15493.jpg,"(0.48, 0.62)"
15574.jpg,"(0.48, 0.62)"
16012.jpg,"(0.50, 0.80)"
16470.jpg,"(0.50, 0.65)"
16536.jpg,"(0.50, 0.60)"
16690.jpg,"(0.75, 0.60)"
17041.jpg,"(0.65, 0.70)"
17460.jpg,"(0.35, 0.75)"
17696.jpg,"(0.45, 0.65)"
18081.jpg,"(0.50, 0.60)"
18296.jpg,"(0.58, 0.62)"
18383.jpg,"(0.45, 0.65)"
19554.jpg,"(0.45, 0.72)"
19844.jpg,"(0.52, 0.68)"
19963.jpg,"(0.50, 0.75)"
20276.jpg,"(0.48, 0.62)"
20358.jpg,"(0.65, 0.65)"
20379.jpg,"(0.65, 0.70)"
20408.jpg,"(0.48, 0.75)"
20576.jpg,"(0.35, 0.60)"
20922.jpg,"(0.35, 0.65)"
21022.jpg,"(0.45, 0.85)"
21212.jpg,"(0.35, 0.45)"
21240.jpg,"(0.58, 0.61)"
21360.jpg,"(0.25, 0.65)"
21418.jpg,"(0.50, 0.65)"
22214.jpg,"(0.48, 0.65)"
22329.jpg,"(0.52, 0.60)"
22805.jpg,"(0.35, 0.78)"
22921.jpg,"(0.45, 0.65)"
23112.jpg,"(0.58, 0.62)"
24320.jpg,"(0.65, 0.75)"
24393.jpg,"(0.65, 0.65)"
25039.jpg,"(0.50, 0.60)"
