frame,gaze
1905.jpg,"(0.52, 0.58)"
3442.jpg,"(0.45, 0.70)"
3643.jpg,"(0.45, 0.65)"
3934.jpg,"(0.45, 0.65)"
4051.jpg,"(0.50, 0.60)"
4338.jpg,"(0.45, 0.60)"
4751.jpg,"(0.50, 0.65)"
5193.jpg,"(0.35, 0.65)"
5659.jpg,"(0.45, 0.65)"
5927.jpg,"(0.45, 0.60)"
5992.jpg,"(0.45, 0.68)"
6179.jpg,"(0.45, 0.78)"
6190.jpg,"(0.45, 0.78)"
6419.jpg,"(0.52, 0.68)"
6526.jpg,"(0.45, 0.50)"
6599.jpg,"(0.45, 0.60)"
7137.jpg,"(0.50, 0.60)"
7313.jpg,"(0.50, 0.65)"
7443.jpg,"(0.45, 0.68)"
7866.jpg,"(0.35, 0.65)"
8055.jpg,"(0.45, 0.35)"
8426.jpg,"(0.45, 0.60)"
8731.jpg,"(0.35, 0.75)"
8911.jpg,"(0.45, 0.75)"
9328.jpg,"(0.50, 0.70)"
9486.jpg,"(0.45, 0.65)"
10479.jpg,"(0.52, 0.76)"
10597.jpg,"(0.52, 0.68)"
