frame,gaze
365.jpg,"(0.58, 0.62)"
427.jpg,"(0.52, 0.74)"
1037.jpg,"(0.50, 0.60)"
1126.jpg,"(0.45, 0.60)"
1234.jpg,"(0.52, 0.60)"
1596.jpg,"(0.65, 0.65)"
1906.jpg,"(0.58, 0.64)"
2052.jpg,"(0.50, 0.65)"
2499.jpg,"(0.35, 0.60)"
2672.jpg,"(0.52, 0.68)"
2716.jpg,"(0.52, 0.67)"
3799.jpg,"(0.50, 0.60)"
3842.jpg,"(0.52, 0.68)"
4127.jpg,"(0.50, 0.75)"
4360.jpg,"(0.45, 0.65)"
4420.jpg,"(0.45, 0.60)"
5151.jpg,"(0.48, 0.63)"
5350.jpg,"(0.42, 0.63)"
6273.jpg,"(0.52, 0.71)"
6364.jpg,"(0.35, 0.65)"
6749.jpg,"(0.50, 0.45)"
7206.jpg,"(0.50, 0.50)"
8221.jpg,"(0.50, 0.60)"
8572.jpg,"(0.50, 0.60)"
8630.jpg,"(0.45, 0.65)"
9320.jpg,"(0.45, 0.75)"
9378.jpg,"(0.52, 0.76)"
11534.jpg,"(0.25, 0.70)"
11568.jpg,"(0.52, 0.68)"
14099.jpg,"(0.65, 0.65)"
14297.jpg,"(0.50, 0.70)"
14376.jpg,"(0.45, 0.70)"
14652.jpg,"(0.65, 0.78)"
16638.jpg,"(0.48, 0.65)"
16920.jpg,"(0.35, 0.75)"
16981.jpg,"(0.58, 0.72)"
17280.jpg,"(0.52, 0.68)"
17307.jpg,"(0.52, 0.68)"
18174.jpg,"(0.48, 0.65)"
18428.jpg,"(0.45, 0.65)"
18533.jpg,"(0.48, 0.72)"
18726.jpg,"(0.55, 0.65)"
18860.jpg,"(0.65, 0.65)"
19124.jpg,"(0.45, 0.65)"
19224.jpg,"(0.50, 0.60)"
19392.jpg,"(0.35, 0.65)"
19549.jpg,"(0.50, 0.60)"
19952.jpg,"(0.58, 0.62)"
20180.jpg,"(0.45, 0.65)"
20280.jpg,"(0.45, 0.60)"
20690.jpg,"(0.45, 0.65)"
20993.jpg,"(0.50, 0.60)"
21752.jpg,"(0.45, 0.75)"
22086.jpg,"(0.52, 0.65)"
22355.jpg,"(0.45, 0.55)"
22414.jpg,"(0.42, 0.65)"
22770.jpg,"(0.52, 0.70)"
22970.jpg,"(0.48, 0.52)"
23103.jpg,"(0.58, 0.67)"
23182.jpg,"(0.42, 0.50)"
23294.jpg,"(0.35, 0.75)"
23673.jpg,"(0.75, 0.65)"
23716.jpg,"(0.45, 0.60)"
24081.jpg,"(0.50, 0.60)"
24203.jpg,"(0.50, 0.60)"
24309.jpg,"(0.65, 0.75)"
24738.jpg,"(0.25, 0.65)"
24988.jpg,"(0.50, 0.65)"
25301.jpg,"(0.45, 0.75)"
25345.jpg,"(0.52, 0.64)"
26264.jpg,"(0.50, 0.50)"
26474.jpg,"(0.45, 0.65)"
26658.jpg,"(0.52, 0.64)"
26772.jpg,"(0.55, 0.65)"
27863.jpg,"(0.65, 0.65)"
28000.jpg,"(0.58, 0.62)"
28978.jpg,"(0.45, 0.55)"
29065.jpg,"(0.50, 0.60)"
29451.jpg,"(0.65, 0.75)"
