frame,gaze
2130.jpg,"(0.45, 0.65)"
2529.jpg,"(0.35, 0.60)"
2869.jpg,"(0.50, 0.45)"
3288.jpg,"(0.50, 0.60)"
3769.jpg,"(0.45, 0.60)"
4028.jpg,"(0.54, 0.63)"
4614.jpg,"(0.35, 0.65)"
4944.jpg,"(0.58, 0.79)"
5025.jpg,"(0.52, 0.60)"
5468.jpg,"(0.50, 0.65)"
6004.jpg,"(0.50, 0.60)"
6291.jpg,"(0.52, 0.64)"
6464.jpg,"(0.52, 0.64)"
6850.jpg,"(0.52, 0.58)"
6916.jpg,"(0.48, 0.59)"
7161.jpg,"(0.48, 0.65)"
7384.jpg,"(0.48, 0.59)"
8608.jpg,"(0.52, 0.48)"
8808.jpg,"(0.48, 0.65)"
9319.jpg,"(0.15, 0.75)"
9654.jpg,"(0.85, 0.65)"
10142.jpg,"(0.58, 0.64)"
10352.jpg,"(0.65, 0.75)"
