frame,gaze
507.jpg,"(0.58, 0.65)"
632.jpg,"(0.55, 0.65)"
769.jpg,"(0.52, 0.64)"
856.jpg,"(0.45, 0.55)"
926.jpg,"(0.65, 0.68)"
1113.jpg,"(0.45, 0.65)"
1289.jpg,"(0.35, 0.65)"
1443.jpg,"(0.50, 0.65)"
2327.jpg,"(0.35, 0.75)"
2802.jpg,"(0.35, 0.68)"
3310.jpg,"(0.52, 0.87)"
3366.jpg,"(0.50, 0.45)"
3594.jpg,"(0.50, 0.45)"
3649.jpg,"(0.85, 0.65)"
4227.jpg,"(0.65, 0.62)"
4364.jpg,"(0.65, 0.70)"
4760.jpg,"(0.65, 0.65)"
4877.jpg,"(0.75, 0.75)"
5235.jpg,"(0.52, 0.68)"
5777.jpg,"(0.52, 0.74)"
