frame,gaze
327.jpg,"(0.52, 0.64)"
446.jpg,"(0.45, 0.60)"
1087.jpg,"(0.45, 0.55)"
1622.jpg,"(0.50, 0.60)"
2095.jpg,"(0.65, 0.75)"
4153.jpg,"(0.52, 0.61)"
4858.jpg,"(0.62, 0.78)"
5126.jpg,"(0.50, 0.50)"
5492.jpg,"(0.50, 0.60)"
5532.jpg,"(0.45, 0.75)"
6371.jpg,"(0.50, 0.60)"
6701.jpg,"(0.50, 0.60)"
7593.jpg,"(0.58, 0.72)"
8040.jpg,"(0.58, 0.79)"
8734.jpg,"(0.58, 0.64)"
9215.jpg,"(0.50, 0.45)"
9473.jpg,"(0.35, 0.75)"
9823.jpg,"(0.52, 0.64)"
10055.jpg,"(0.25, 0.60)"
10317.jpg,"(0.75, 0.48)"
