frame,gaze
197.jpg,"(0.45, 0.80)"
427.jpg,"(0.35, 0.25)"
659.jpg,"(0.50, 0.60)"
686.jpg,"(0.45, 0.70)"
700.jpg,"(0.35, 0.45)"
835.jpg,"(0.35, 0.45)"
1343.jpg,"(0.50, 0.60)"
1754.jpg,"(0.50, 0.60)"
1796.jpg,"(0.45, 0.75)"
1985.jpg,"(0.50, 0.45)"
2200.jpg,"(0.25, 0.45)"
2527.jpg,"(0.35, 0.45)"
3009.jpg,"(0.55, 0.25)"
3163.jpg,"(0.50, 0.60)"
3557.jpg,"(0.50, 0.60)"
3998.jpg,"(0.50, 0.45)"
5176.jpg,"(0.50, 0.45)"
5263.jpg,"(0.52, 0.65)"
5395.jpg,"(0.35, 0.25)"
5481.jpg,"(0.35, 0.45)"
5729.jpg,"(0.52, 0.35)"
6425.jpg,"(0.50, 0.60)"
6808.jpg,"(0.50, 0.50)"
6882.jpg,"(0.50, 0.50)"
7183.jpg,"(0.45, 0.45)"
7356.jpg,"(0.50, 0.30)"
7564.jpg,"(0.50, 0.50)"
7729.jpg,"(0.45, 0.65)"
7972.jpg,"(0.50, 0.60)"
8306.jpg,"(0.50, 0.10)"
8627.jpg,"(0.45, 0.38)"
8808.jpg,"(0.50, 0.45)"
9092.jpg,"(0.50, 0.45)"
9168.jpg,"(0.25, 0.45)"
9953.jpg,"(0.45, 0.50)"
10121.jpg,"(0.50, 0.50)"
10452.jpg,"(0.52, 0.58)"
10706.jpg,"(0.35, 0.48)"
