frame,gaze
317.jpg,"(0.35, 0.60)"
462.jpg,"(0.55, 0.55)"
636.jpg,"(0.45, 0.70)"
1191.jpg,"(0.52, 0.54)"
1574.jpg,"(0.45, 0.60)"
1757.jpg,"(0.52, 0.48)"
2387.jpg,"(0.52, 0.60)"
2840.jpg,"(0.45, 0.60)"
3431.jpg,"(0.45, 0.60)"
3822.jpg,"(0.45, 0.65)"
4103.jpg,"(0.42, 0.65)"
4199.jpg,"(0.45, 0.55)"
5919.jpg,"(0.54, 0.52)"
7816.jpg,"(0.45, 0.63)"
8017.jpg,"(0.54, 0.52)"
8751.jpg,"(0.52, 0.63)"
8876.jpg,"(0.52, 0.68)"
9031.jpg,"(0.48, 0.65)"
9583.jpg,"(0.35, 0.55)"
10018.jpg,"(0.43, 0.56)"
10631.jpg,"(0.45, 0.65)"
11722.jpg,"(0.45, 0.75)"
