frame,gaze
548.jpg,"(0.45, 0.65)"
728.jpg,"(0.58, 0.62)"
949.jpg,"(0.52, 0.64)"
1102.jpg,"(0.58, 0.62)"
1346.jpg,"(0.45, 0.65)"
2214.jpg,"(0.52, 0.63)"
2588.jpg,"(0.50, 0.50)"
2736.jpg,"(0.45, 0.50)"
3118.jpg,"(0.59, 0.64)"
9733.jpg,"(0.54, 0.81)"
10901.jpg,"(0.75, 0.65)"
11134.jpg,"(0.50, 0.75)"
11488.jpg,"(0.45, 0.68)"
11560.jpg,"(0.50, 0.60)"
11672.jpg,"(0.52, 0.64)"
14011.jpg,"(0.38, 0.75)"
15584.jpg,"(0.52, 0.60)"
16641.jpg,"(0.52, 0.81)"
17057.jpg,"(0.50, 0.60)"
17319.jpg,"(0.50, 0.50)"
18080.jpg,"(0.52, 0.74)"
18297.jpg,"(0.65, 0.68)"
18474.jpg,"(0.52, 0.68)"
18520.jpg,"(0.65, 0.70)"
18814.jpg,"(0.52, 0.64)"
19306.jpg,"(0.52, 0.76)"
19436.jpg,"(0.45, 0.65)"
19917.jpg,"(0.52, 0.74)"
19950.jpg,"(0.54, 0.63)"
20956.jpg,"(0.65, 0.72)"
21025.jpg,"(0.65, 0.62)"
21362.jpg,"(0.65, 0.55)"
21622.jpg,"(0.45, 0.60)"
22506.jpg,"(0.52, 0.64)"
22575.jpg,"(0.75, 0.68)"
25765.jpg,"(0.52, 0.56)"
26097.jpg,"(0.45, 0.65)"
26199.jpg,"(0.58, 0.69)"
26614.jpg,"(0.58, 0.64)"
27439.jpg,"(0.54, 0.62)"
27851.jpg,"(0.52, 0.64)"
28430.jpg,"(0.45, 0.55)"
29701.jpg,"(0.65, 0.70)"
30336.jpg,"(0.65, 0.62)"
31326.jpg,"(0.52, 0.74)"
31509.jpg,"(0.52, 0.74)"
32246.jpg,"(0.58, 0.72)"
32914.jpg,"(0.58, 0.67)"
33180.jpg,"(0.52, 0.68)"
33591.jpg,"(0.54, 0.63)"
34611.jpg,"(0.56, 0.67)"
34785.jpg,"(0.45, 0.78)"
