frame,gaze
165.jpg,"(0.58, 0.74)"
259.jpg,"(0.48, 0.65)"
592.jpg,"(0.50, 0.65)"
667.jpg,"(0.45, 0.60)"
709.jpg,"(0.65, 0.71)"
738.jpg,"(0.65, 0.45)"
850.jpg,"(0.52, 0.60)"
873.jpg,"(0.35, 0.60)"
1121.jpg,"(0.45, 0.48)"
1166.jpg,"(0.52, 0.54)"
1747.jpg,"(0.48, 0.62)"
1970.jpg,"(0.52, 0.49)"
2052.jpg,"(0.58, 0.62)"
2102.jpg,"(0.45, 0.60)"
2129.jpg,"(0.45, 0.65)"
2314.jpg,"(0.52, 0.63)"
2339.jpg,"(0.45, 0.55)"
2864.jpg,"(0.52, 0.64)"
2896.jpg,"(0.45, 0.75)"
3231.jpg,"(0.45, 0.55)"
3273.jpg,"(0.45, 0.52)"
3854.jpg,"(0.45, 0.50)"
4229.jpg,"(0.50, 0.60)"
4278.jpg,"(0.35, 0.55)"
5248.jpg,"(0.45, 0.60)"
5340.jpg,"(0.35, 0.45)"
5408.jpg,"(0.50, 0.65)"
5628.jpg,"(0.50, 0.50)"
5776.jpg,"(0.50, 0.70)"
5825.jpg,"(0.35, 0.80)"
5921.jpg,"(0.35, 0.45)"
6026.jpg,"(0.35, 0.60)"
6074.jpg,"(0.50, 0.60)"
6189.jpg,"(0.35, 0.55)"
6644.jpg,"(0.45, 0.60)"
6706.jpg,"(0.50, 0.60)"
6876.jpg,"(0.35, 0.55)"
6940.jpg,"(0.50, 0.60)"
7057.jpg,"(0.45, 0.50)"
7138.jpg,"(0.58, 0.57)"
7186.jpg,"(0.52, 0.54)"
7498.jpg,"(0.35, 0.60)"
7536.jpg,"(0.65, 0.70)"
7993.jpg,"(0.50, 0.60)"
8078.jpg,"(0.45, 0.55)"
8579.jpg,"(0.56, 0.72)"
8651.jpg,"(0.45, 0.65)"
8777.jpg,"(0.54, 0.62)"
8884.jpg,"(0.45, 0.65)"
8945.jpg,"(0.58, 0.64)"
9374.jpg,"(0.45, 0.60)"
9413.jpg,"(0.50, 0.65)"
9559.jpg,"(0.45, 0.55)"
9655.jpg,"(0.45, 0.55)"
9698.jpg,"(0.52, 0.60)"
9798.jpg,"(0.52, 0.54)"
10116.jpg,"(0.54, 0.63)"
