frame,gaze
596.jpg,"(0.35, 0.65)"
732.jpg,"(0.50, 0.60)"
899.jpg,"(0.65, 0.70)"
1087.jpg,"(0.75, 0.75)"
1136.jpg,"(0.50, 0.60)"
1236.jpg,"(0.45, 0.65)"
1328.jpg,"(0.52, 0.74)"
1491.jpg,"(0.58, 0.54)"
1513.jpg,"(0.35, 0.85)"
1882.jpg,"(0.75, 0.60)"
1953.jpg,"(0.25, 0.85)"
2285.jpg,"(0.35, 0.65)"
2327.jpg,"(0.50, 0.60)"
2521.jpg,"(0.65, 0.70)"
2617.jpg,"(0.45, 0.65)"
2706.jpg,"(0.54, 0.76)"
3511.jpg,"(0.40, 0.80)"
3554.jpg,"(0.58, 0.64)"
3723.jpg,"(0.35, 0.78)"
4005.jpg,"(0.75, 0.75)"
4229.jpg,"(0.35, 0.75)"
4277.jpg,"(0.65, 0.65)"
4583.jpg,"(0.45, 0.78)"
4852.jpg,"(0.52, 0.78)"
4964.jpg,"(0.48, 0.52)"
7205.jpg,"(0.50, 0.65)"
7556.jpg,"(0.54, 0.67)"
8028.jpg,"(0.45, 0.60)"
8648.jpg,"(0.58, 0.64)"
8671.jpg,"(0.58, 0.69)"
9454.jpg,"(0.48, 0.65)"
9724.jpg,"(0.48, 0.67)"
10667.jpg,"(0.48, 0.65)"
10815.jpg,"(0.52, 0.68)"
11340.jpg,"(0.52, 0.68)"
11457.jpg,"(0.52, 0.68)"
11724.jpg,"(0.48, 0.65)"
11818.jpg,"(0.52, 0.76)"
12240.jpg,"(0.50, 0.60)"
