frame,gaze
364.jpg,"(0.58, 0.52)"
414.jpg,"(0.35, 0.65)"
586.jpg,"(0.35, 0.65)"
763.jpg,"(0.65, 0.60)"
1005.jpg,"(0.45, 0.65)"
1246.jpg,"(0.65, 0.68)"
1503.jpg,"(0.52, 0.64)"
1589.jpg,"(0.35, 0.60)"
2189.jpg,"(0.35, 0.65)"
2272.jpg,"(0.50, 0.45)"
2318.jpg,"(0.50, 0.50)"
2507.jpg,"(0.50, 0.50)"
2531.jpg,"(0.50, 0.75)"
2696.jpg,"(0.52, 0.64)"
2762.jpg,"(0.65, 0.60)"
2942.jpg,"(0.65, 0.60)"
3001.jpg,"(0.52, 0.64)"
3134.jpg,"(0.65, 0.68)"
3259.jpg,"(0.35, 0.60)"
3545.jpg,"(0.35, 0.65)"
4103.jpg,"(0.45, 0.65)"
