frame,gaze
158.jpg,"(0.50, 0.60)"
438.jpg,"(0.52, 0.58)"
1330.jpg,"(0.45, 0.60)"
2138.jpg,"(0.35, 0.65)"
2230.jpg,"(0.50, 0.60)"
2627.jpg,"(0.52, 0.64)"
2779.jpg,"(0.35, 0.75)"
4229.jpg,"(0.35, 0.60)"
4442.jpg,"(0.50, 0.60)"
4789.jpg,"(0.35, 0.75)"
5147.jpg,"(0.50, 0.50)"
5184.jpg,"(0.50, 0.65)"
5354.jpg,"(0.35, 0.65)"
5459.jpg,"(0.45, 0.78)"
6355.jpg,"(0.35, 0.70)"
6722.jpg,"(0.50, 0.65)"
6950.jpg,"(0.45, 0.60)"
7465.jpg,"(0.50, 0.60)"
7679.jpg,"(0.45, 0.60)"
8233.jpg,"(0.50, 0.65)"
8294.jpg,"(0.52, 0.67)"
