frame,gaze
342.jpg,"(0.58, 0.60)"
733.jpg,"(0.45, 0.65)"
901.jpg,"(0.45, 0.68)"
1347.jpg,"(0.45, 0.75)"
1909.jpg,"(0.50, 0.50)"
2280.jpg,"(0.35, 0.65)"
3027.jpg,"(0.50, 0.60)"
3565.jpg,"(0.35, 0.65)"
4617.jpg,"(0.65, 0.60)"
4701.jpg,"(0.75, 0.60)"
4917.jpg,"(0.35, 0.50)"
5511.jpg,"(0.45, 0.65)"
6027.jpg,"(0.45, 0.55)"
6454.jpg,"(0.45, 0.65)"
6564.jpg,"(0.35, 0.42)"
6995.jpg,"(0.50, 0.45)"
7027.jpg,"(0.50, 0.50)"
7472.jpg,"(0.50, 0.70)"
7617.jpg,"(0.60, 0.45)"
7719.jpg,"(0.45, 0.35)"
9046.jpg,"(0.75, 0.35)"
9418.jpg,"(0.50, 0.45)"
10163.jpg,"(0.50, 0.50)"
10198.jpg,"(0.45, 0.50)"
10568.jpg,"(0.50, 0.60)"
11572.jpg,"(0.50, 0.50)"
11837.jpg,"(0.45, 0.40)"
11887.jpg,"(0.50, 0.50)"
13015.jpg,"(0.35, 0.45)"
13084.jpg,"(0.45, 0.45)"
14466.jpg,"(0.65, 0.35)"
15575.jpg,"(0.60, 0.50)"
15794.jpg,"(0.35, 0.45)"
16836.jpg,"(0.85, 0.65)"
17588.jpg,"(0.15, 0.68)"
