frame,gaze
1285.jpg,"(0.35, 0.85)"
1803.jpg,"(0.45, 0.55)"
2299.jpg,"(0.35, 0.65)"
2363.jpg,"(0.45, 0.85)"
2813.jpg,"(0.45, 0.65)"
3025.jpg,"(0.55, 0.65)"
3310.jpg,"(0.45, 0.60)"
3921.jpg,"(0.52, 0.68)"
4155.jpg,"(0.50, 0.75)"
7808.jpg,"(0.65, 0.60)"
8171.jpg,"(0.35, 0.55)"
8196.jpg,"(0.45, 0.55)"
8513.jpg,"(0.52, 0.64)"
9161.jpg,"(0.54, 0.76)"
9456.jpg,"(0.60, 0.65)"
9558.jpg,"(0.58, 0.67)"
9670.jpg,"(0.75, 0.65)"
9767.jpg,"(0.15, 0.25)"
9865.jpg,"(0.65, 0.68)"
10139.jpg,"(0.58, 0.67)"
10680.jpg,"(0.58, 0.67)"
11042.jpg,"(0.58, 0.72)"
11101.jpg,"(0.58, 0.69)"
11403.jpg,"(0.52, 0.60)"
11470.jpg,"(0.52, 0.74)"
11634.jpg,"(0.25, 0.35)"
12489.jpg,"(0.65, 0.70)"
