frame,gaze
553.jpg,"(0.52, 0.74)"
759.jpg,"(0.35, 0.85)"
944.jpg,"(0.52, 0.68)"
1247.jpg,"(0.50, 0.65)"
1355.jpg,"(0.35, 0.60)"
1835.jpg,"(0.45, 0.85)"
1916.jpg,"(0.50, 0.65)"
1984.jpg,"(0.35, 0.65)"
2152.jpg,"(0.60, 0.85)"
2332.jpg,"(0.52, 0.68)"
2615.jpg,"(0.45, 0.72)"
2765.jpg,"(0.45, 0.68)"
2823.jpg,"(0.50, 0.65)"
2983.jpg,"(0.50, 0.70)"
3003.jpg,"(0.50, 0.70)"
3176.jpg,"(0.45, 0.75)"
3371.jpg,"(0.45, 0.65)"
4152.jpg,"(0.35, 0.65)"
4290.jpg,"(0.45, 0.65)"
4621.jpg,"(0.35, 0.55)"
4936.jpg,"(0.35, 0.55)"
5287.jpg,"(0.45, 0.65)"
5513.jpg,"(0.35, 0.58)"
5671.jpg,"(0.50, 0.60)"
