frame,gaze
132.jpg,"(0.35, 0.80)"
204.jpg,"(0.35, 0.65)"
1135.jpg,"(0.45, 0.50)"
1294.jpg,"(0.52, 0.64)"
1551.jpg,"(0.45, 0.65)"
1613.jpg,"(0.35, 0.75)"
1642.jpg,"(0.35, 0.65)"
1731.jpg,"(0.45, 0.65)"
1783.jpg,"(0.45, 0.50)"
1816.jpg,"(0.35, 0.45)"
1907.jpg,"(0.45, 0.65)"
2016.jpg,"(0.35, 0.65)"
2403.jpg,"(0.45, 0.65)"
2769.jpg,"(0.45, 0.75)"
2979.jpg,"(0.65, 0.80)"
3103.jpg,"(0.58, 0.60)"
3319.jpg,"(0.65, 0.65)"
3409.jpg,"(0.45, 0.45)"
3525.jpg,"(0.35, 0.45)"
3795.jpg,"(0.35, 0.65)"
4024.jpg,"(0.52, 0.48)"
5141.jpg,"(0.65, 0.45)"
5217.jpg,"(0.45, 0.60)"
5316.jpg,"(0.35, 0.65)"
5414.jpg,"(0.45, 0.65)"
5499.jpg,"(0.65, 0.70)"
5686.jpg,"(0.45, 0.50)"
5863.jpg,"(0.35, 0.45)"
6350.jpg,"(0.35, 0.45)"
6568.jpg,"(0.35, 0.45)"
6639.jpg,"(0.35, 0.55)"
7000.jpg,"(0.45, 0.60)"
7120.jpg,"(0.52, 0.64)"
7165.jpg,"(0.35, 0.60)"
7323.jpg,"(0.45, 0.55)"
7376.jpg,"(0.45, 0.50)"
7434.jpg,"(0.65, 0.65)"
7798.jpg,"(0.58, 0.52)"
7978.jpg,"(0.58, 0.49)"
8166.jpg,"(0.52, 0.68)"
8249.jpg,"(0.50, 0.45)"
8612.jpg,"(0.65, 0.45)"
8689.jpg,"(0.45, 0.60)"
8854.jpg,"(0.55, 0.65)"
8984.jpg,"(0.65, 0.65)"
9126.jpg,"(0.65, 0.55)"
9280.jpg,"(0.45, 0.50)"
9461.jpg,"(0.45, 0.50)"
10530.jpg,"(0.42, 0.50)"
10573.jpg,"(0.52, 0.56)"
11016.jpg,"(0.50, 0.45)"
