frame,gaze
120.jpg,"(0.65, 0.70)"
567.jpg,"(0.35, 0.78)"
890.jpg,"(0.50, 0.60)"
1064.jpg,"(0.45, 0.35)"
1259.jpg,"(0.45, 0.60)"
1394.jpg,"(0.50, 0.60)"
1568.jpg,"(0.55, 0.65)"
1623.jpg,"(0.50, 0.60)"
1795.jpg,"(0.58, 0.64)"
1991.jpg,"(0.45, 0.70)"
2063.jpg,"(0.45, 0.65)"
2167.jpg,"(0.50, 0.65)"
2271.jpg,"(0.50, 0.65)"
2374.jpg,"(0.50, 0.70)"
7613.jpg,"(0.45, 0.60)"
7759.jpg,"(0.48, 0.65)"
9661.jpg,"(0.50, 0.60)"
9853.jpg,"(0.48, 0.65)"
10094.jpg,"(0.45, 0.65)"
10208.jpg,"(0.25, 0.45)"
