frame,gaze
169.jpg,"(0.50, 0.75)"
197.jpg,"(0.58, 0.64)"
245.jpg,"(0.54, 0.64)"
2549.jpg,"(0.50, 0.50)"
2691.jpg,"(0.50, 0.60)"
2962.jpg,"(0.45, 0.60)"
3071.jpg,"(0.65, 0.68)"
3231.jpg,"(0.45, 0.78)"
3314.jpg,"(0.52, 0.64)"
3579.jpg,"(0.35, 0.70)"
3638.jpg,"(0.50, 0.60)"
3845.jpg,"(0.25, 0.85)"
4221.jpg,"(0.58, 0.76)"
4241.jpg,"(0.35, 0.65)"
4326.jpg,"(0.35, 0.65)"
4438.jpg,"(0.58, 0.72)"
4509.jpg,"(0.65, 0.62)"
4651.jpg,"(0.65, 0.62)"
4724.jpg,"(0.45, 0.70)"
4772.jpg,"(0.58, 0.64)"
4872.jpg,"(0.75, 0.85)"
5296.jpg,"(0.65, 0.85)"
5480.jpg,"(0.45, 0.65)"
5802.jpg,"(0.35, 0.65)"
5883.jpg,"(0.54, 0.78)"
6024.jpg,"(0.45, 0.65)"
6123.jpg,"(0.52, 0.58)"
6267.jpg,"(0.25, 0.45)"
6391.jpg,"(0.52, 0.63)"
6524.jpg,"(0.50, 0.55)"
7403.jpg,"(0.65, 0.70)"
7624.jpg,"(0.50, 0.45)"
7707.jpg,"(0.52, 0.68)"
7913.jpg,"(0.35, 0.45)"
8084.jpg,"(0.45, 0.60)"
9700.jpg,"(0.25, 0.75)"
9743.jpg,"(0.48, 0.65)"
10449.jpg,"(0.45, 0.55)"
