frame,gaze
398.jpg,"(0.50, 0.60)"
1127.jpg,"(0.50, 0.60)"
1234.jpg,"(0.35, 0.65)"
1695.jpg,"(0.50, 0.60)"
2399.jpg,"(0.52, 0.64)"
2551.jpg,"(0.65, 0.70)"
2886.jpg,"(0.50, 0.70)"
3278.jpg,"(0.35, 0.75)"
3393.jpg,"(0.50, 0.50)"
3584.jpg,"(0.50, 0.80)"
3645.jpg,"(0.50, 0.60)"
4044.jpg,"(0.50, 0.70)"
4279.jpg,"(0.50, 0.75)"
5961.jpg,"(0.54, 0.62)"
6192.jpg,"(0.35, 0.65)"
6371.jpg,"(0.52, 0.74)"
7015.jpg,"(0.54, 0.76)"
7093.jpg,"(0.35, 0.80)"
7392.jpg,"(0.25, 0.65)"
8101.jpg,"(0.50, 0.60)"
