frame,gaze
292.jpg,"(0.65, 0.70)"
446.jpg,"(0.35, 0.65)"
633.jpg,"(0.52, 0.48)"
961.jpg,"(0.35, 0.65)"
1232.jpg,"(0.50, 0.50)"
1394.jpg,"(0.35, 0.60)"
1880.jpg,"(0.25, 0.60)"
2407.jpg,"(0.35, 0.65)"
2802.jpg,"(0.65, 0.45)"
3052.jpg,"(0.25, 0.75)"
3503.jpg,"(0.35, 0.75)"
3716.jpg,"(0.45, 0.55)"
4232.jpg,"(0.65, 0.75)"
4676.jpg,"(0.35, 0.58)"
4852.jpg,"(0.48, 0.62)"
5824.jpg,"(0.35, 0.45)"
5916.jpg,"(0.25, 0.30)"
6255.jpg,"(0.55, 0.75)"
6297.jpg,"(0.35, 0.28)"
6428.jpg,"(0.25, 0.65)"
6604.jpg,"(0.45, 0.50)"
7188.jpg,"(0.52, 0.64)"
7376.jpg,"(0.45, 0.78)"
7446.jpg,"(0.50, 0.60)"
