frame,gaze
544.jpg,"(0.50, 0.60)"
1314.jpg,"(0.45, 0.48)"
1521.jpg,"(0.50, 0.60)"
1947.jpg,"(0.52, 0.63)"
2318.jpg,"(0.52, 0.60)"
2453.jpg,"(0.52, 0.68)"
2799.jpg,"(0.52, 0.65)"
3264.jpg,"(0.58, 0.62)"
3718.jpg,"(0.45, 0.65)"
3756.jpg,"(0.52, 0.68)"
4021.jpg,"(0.52, 0.68)"
4032.jpg,"(0.52, 0.71)"
4194.jpg,"(0.52, 0.64)"
4210.jpg,"(0.35, 0.60)"
4358.jpg,"(0.35, 0.60)"
4434.jpg,"(0.58, 0.61)"
4704.jpg,"(0.52, 0.60)"
4835.jpg,"(0.58, 0.64)"
4995.jpg,"(0.52, 0.68)"
5232.jpg,"(0.45, 0.60)"
5900.jpg,"(0.45, 0.60)"
6294.jpg,"(0.52, 0.68)"
6514.jpg,"(0.35, 0.45)"
6710.jpg,"(0.52, 0.76)"
