frame,gaze
456.jpg,"(0.50, 0.60)"
770.jpg,"(0.65, 0.45)"
971.jpg,"(0.45, 0.78)"
1038.jpg,"(0.45, 0.55)"
1184.jpg,"(0.45, 0.55)"
1521.jpg,"(0.50, 0.45)"
1867.jpg,"(0.50, 0.65)"
2126.jpg,"(0.45, 0.65)"
2413.jpg,"(0.65, 0.35)"
2866.jpg,"(0.50, 0.60)"
3057.jpg,"(0.65, 0.70)"
3811.jpg,"(0.45, 0.65)"
4237.jpg,"(0.35, 0.60)"
5838.jpg,"(0.50, 0.60)"
6471.jpg,"(0.50, 0.45)"
6639.jpg,"(0.52, 0.74)"
6871.jpg,"(0.50, 0.60)"
6980.jpg,"(0.50, 0.45)"
7241.jpg,"(0.55, 0.65)"
7656.jpg,"(0.45, 0.60)"
8160.jpg,"(0.45, 0.65)"
9313.jpg,"(0.50, 0.45)"
10200.jpg,"(0.55, 0.45)"
10646.jpg,"(0.45, 0.60)"
11622.jpg,"(0.45, 0.65)"
12173.jpg,"(0.52, 0.68)"
12409.jpg,"(0.45, 0.60)"
