frame,gaze
294.jpg,"(0.45, 0.65)"
347.jpg,"(0.45, 0.75)"
873.jpg,"(0.45, 0.78)"
983.jpg,"(0.50, 0.40)"
1200.jpg,"(0.65, 0.70)"
1607.jpg,"(0.52, 0.74)"
2319.jpg,"(0.25, 0.75)"
2576.jpg,"(0.46, 0.78)"
2680.jpg,"(0.45, 0.65)"
2925.jpg,"(0.35, 0.65)"
3051.jpg,"(0.53, 0.74)"
4285.jpg,"(0.45, 0.72)"
5221.jpg,"(0.35, 0.48)"
5906.jpg,"(0.48, 0.75)"
7293.jpg,"(0.65, 0.78)"
7531.jpg,"(0.52, 0.68)"
7772.jpg,"(0.45, 0.75)"
8093.jpg,"(0.65, 0.80)"
8190.jpg,"(0.25, 0.45)"
8519.jpg,"(0.48, 0.82)"
8881.jpg,"(0.52, 0.76)"
8922.jpg,"(0.52, 0.76)"
9339.jpg,"(0.45, 0.75)"
9474.jpg,"(0.52, 0.78)"
9587.jpg,"(0.45, 0.85)"
9715.jpg,"(0.52, 0.68)"
10326.jpg,"(0.50, 0.40)"
10364.jpg,"(0.52, 0.68)"
10785.jpg,"(0.45, 0.75)"
11330.jpg,"(0.48, 0.75)"
