frame,gaze
377.jpg,"(0.50, 0.60)"
472.jpg,"(0.45, 0.60)"
613.jpg,"(0.35, 0.65)"
712.jpg,"(0.75, 0.45)"
1107.jpg,"(0.45, 0.65)"
1155.jpg,"(0.45, 0.60)"
4056.jpg,"(0.52, 0.60)"
4082.jpg,"(0.52, 0.60)"
4369.jpg,"(0.45, 0.60)"
4842.jpg,"(0.52, 0.60)"
5871.jpg,"(0.50, 0.50)"
6015.jpg,"(0.65, 0.55)"
6201.jpg,"(0.50, 0.50)"
6270.jpg,"(0.45, 0.80)"
6442.jpg,"(0.52, 0.64)"
7239.jpg,"(0.52, 0.60)"
7703.jpg,"(0.35, 0.65)"
7888.jpg,"(0.35, 0.55)"
8229.jpg,"(0.48, 0.65)"
9062.jpg,"(0.45, 0.65)"
9096.jpg,"(0.45, 0.50)"
9316.jpg,"(0.35, 0.60)"
9403.jpg,"(0.35, 0.55)"
9550.jpg,"(0.35, 0.60)"
9591.jpg,"(0.50, 0.45)"
9789.jpg,"(0.45, 0.42)"
9918.jpg,"(0.65, 0.72)"
9945.jpg,"(0.62, 0.64)"
10011.jpg,"(0.65, 0.67)"
10025.jpg,"(0.35, 0.72)"
10068.jpg,"(0.45, 0.65)"
10203.jpg,"(0.52, 0.63)"
10306.jpg,"(0.35, 0.65)"
10564.jpg,"(0.45, 0.65)"
10767.jpg,"(0.58, 0.62)"
10894.jpg,"(0.55, 0.75)"
11360.jpg,"(0.65, 0.78)"
11462.jpg,"(0.45, 0.65)"
11896.jpg,"(0.52, 0.60)"
12328.jpg,"(0.54, 0.58)"
