frame,gaze
426.jpg,"(0.52, 0.86)"
610.jpg,"(0.65, 0.78)"
1063.jpg,"(0.65, 0.85)"
1277.jpg,"(0.56, 0.32)"
2009.jpg,"(0.45, 0.80)"
2307.jpg,"(0.45, 0.65)"
2619.jpg,"(0.45, 0.65)"
2821.jpg,"(0.58, 0.72)"
5125.jpg,"(0.52, 0.68)"
5839.jpg,"(0.52, 0.61)"
6048.jpg,"(0.50, 0.60)"
6370.jpg,"(0.50, 0.65)"
6939.jpg,"(0.52, 0.74)"
8268.jpg,"(0.52, 0.71)"
8802.jpg,"(0.75, 0.75)"
9014.jpg,"(0.52, 0.65)"
9182.jpg,"(0.75, 0.85)"
9663.jpg,"(0.65, 0.60)"
10341.jpg,"(0.75, 0.60)"
10812.jpg,"(0.45, 0.80)"
10933.jpg,"(0.65, 0.75)"
