frame,gaze
106.jpg,"(0.50, 0.60)"
331.jpg,"(0.45, 0.55)"
369.jpg,"(0.52, 0.65)"
1171.jpg,"(0.45, 0.60)"
1257.jpg,"(0.45, 0.60)"
1628.jpg,"(0.45, 0.65)"
1688.jpg,"(0.45, 0.55)"
1738.jpg,"(0.52, 0.54)"
1774.jpg,"(0.50, 0.60)"
2035.jpg,"(0.50, 0.60)"
2936.jpg,"(0.45, 0.60)"
3012.jpg,"(0.50, 0.45)"
3255.jpg,"(0.50, 0.65)"
3553.jpg,"(0.50, 0.60)"
5577.jpg,"(0.50, 0.60)"
5675.jpg,"(0.50, 0.45)"
5912.jpg,"(0.50, 0.50)"
6583.jpg,"(0.35, 0.45)"
6650.jpg,"(0.50, 0.60)"
7128.jpg,"(0.52, 0.64)"
7260.jpg,"(0.52, 0.60)"
7514.jpg,"(0.50, 0.45)"
8067.jpg,"(0.35, 0.55)"
8235.jpg,"(0.15, 0.40)"
