frame,gaze
732.jpg,"(0.50, 0.65)"
1037.jpg,"(0.50, 0.60)"
1382.jpg,"(0.52, 0.78)"
1514.jpg,"(0.50, 0.70)"
1770.jpg,"(0.35, 0.85)"
2170.jpg,"(0.56, 0.72)"
2657.jpg,"(0.50, 0.50)"
2845.jpg,"(0.50, 0.45)"
2937.jpg,"(0.52, 0.89)"
3284.jpg,"(0.58, 0.82)"
3483.jpg,"(0.50, 0.65)"
3627.jpg,"(0.35, 0.85)"
3993.jpg,"(0.52, 0.65)"
4035.jpg,"(0.52, 0.68)"
4130.jpg,"(0.50, 0.70)"
4207.jpg,"(0.50, 0.45)"
4547.jpg,"(0.58, 0.72)"
4676.jpg,"(0.50, 0.65)"
5289.jpg,"(0.50, 0.60)"
5520.jpg,"(0.45, 0.75)"
5826.jpg,"(0.50, 0.60)"
5951.jpg,"(0.50, 0.60)"
6405.jpg,"(0.65, 0.60)"
6491.jpg,"(0.65, 0.70)"
6694.jpg,"(0.50, 0.70)"
6802.jpg,"(0.45, 0.65)"
6982.jpg,"(0.50, 0.60)"
7522.jpg,"(0.35, 0.65)"
7609.jpg,"(0.52, 0.60)"
7828.jpg,"(0.30, 0.65)"
8142.jpg,"(0.50, 0.60)"
8256.jpg,"(0.56, 0.82)"
8337.jpg,"(0.52, 0.65)"
8372.jpg,"(0.52, 0.80)"
8626.jpg,"(0.52, 0.81)"
8885.jpg,"(0.50, 0.40)"
8963.jpg,"(0.50, 0.60)"
