frame,gaze
2393.jpg,"(0.65, 0.70)"
2890.jpg,"(0.50, 0.60)"
3006.jpg,"(0.65, 0.55)"
3047.jpg,"(0.50, 0.65)"
3207.jpg,"(0.35, 0.60)"
3244.jpg,"(0.50, 0.60)"
3571.jpg,"(0.50, 0.60)"
3690.jpg,"(0.55, 0.68)"
4193.jpg,"(0.52, 0.64)"
4320.jpg,"(0.54, 0.64)"
4574.jpg,"(0.52, 0.68)"
4991.jpg,"(0.45, 0.65)"
5075.jpg,"(0.48, 0.65)"
5204.jpg,"(0.52, 0.64)"
5267.jpg,"(0.45, 0.65)"
5328.jpg,"(0.52, 0.65)"
5371.jpg,"(0.52, 0.68)"
5484.jpg,"(0.52, 0.64)"
5523.jpg,"(0.54, 0.62)"
5645.jpg,"(0.45, 0.65)"
5704.jpg,"(0.52, 0.68)"
5812.jpg,"(0.45, 0.65)"
5862.jpg,"(0.45, 0.65)"
5955.jpg,"(0.52, 0.68)"
6042.jpg,"(0.65, 0.65)"
6118.jpg,"(0.50, 0.75)"
6604.jpg,"(0.35, 0.85)"
7020.jpg,"(0.52, 0.68)"
7329.jpg,"(0.52, 0.68)"
7375.jpg,"(0.45, 0.72)"
7486.jpg,"(0.52, 0.68)"
7519.jpg,"(0.52, 0.60)"
7621.jpg,"(0.45, 0.65)"
7657.jpg,"(0.48, 0.69)"
8103.jpg,"(0.48, 0.67)"
8207.jpg,"(0.75, 0.70)"
8309.jpg,"(0.35, 0.78)"
8444.jpg,"(0.35, 0.65)"
8618.jpg,"(0.75, 0.80)"
8696.jpg,"(0.65, 0.65)"
8822.jpg,"(0.52, 0.63)"
9371.jpg,"(0.65, 0.75)"
9478.jpg,"(0.65, 0.75)"
9788.jpg,"(0.25, 0.65)"
9870.jpg,"(0.58, 0.62)"
9977.jpg,"(0.52, 0.65)"
10225.jpg,"(0.75, 0.75)"
10331.jpg,"(0.50, 0.75)"
10452.jpg,"(0.35, 0.85)"
10617.jpg,"(0.65, 0.70)"
11037.jpg,"(0.48, 0.76)"
11124.jpg,"(0.65, 0.70)"
11173.jpg,"(0.65, 0.55)"
11242.jpg,"(0.52, 0.60)"
11285.jpg,"(0.45, 0.75)"
11302.jpg,"(0.52, 0.68)"
11780.jpg,"(0.45, 0.65)"
11903.jpg,"(0.52, 0.64)"
12507.jpg,"(0.48, 0.67)"
12581.jpg,"(0.35, 0.75)"
12675.jpg,"(0.50, 0.65)"
12763.jpg,"(0.45, 0.75)"
13085.jpg,"(0.50, 0.50)"
13228.jpg,"(0.50, 0.60)"
13379.jpg,"(0.45, 0.60)"
13446.jpg,"(0.52, 0.68)"
13491.jpg,"(0.50, 0.60)"
13722.jpg,"(0.45, 0.68)"
13777.jpg,"(0.45, 0.60)"
13952.jpg,"(0.35, 0.65)"
14002.jpg,"(0.75, 0.85)"
14110.jpg,"(0.45, 0.50)"
14315.jpg,"(0.35, 0.65)"
14371.jpg,"(0.50, 0.60)"
14587.jpg,"(0.58, 0.56)"
14855.jpg,"(0.45, 0.65)"
14963.jpg,"(0.52, 0.54)"
15312.jpg,"(0.45, 0.60)"
15355.jpg,"(0.52, 0.54)"
15523.jpg,"(0.50, 0.60)"
15579.jpg,"(0.50, 0.60)"
16071.jpg,"(0.45, 0.55)"
16191.jpg,"(0.45, 0.65)"
16235.jpg,"(0.50, 0.65)"
16313.jpg,"(0.45, 0.65)"
16397.jpg,"(0.58, 0.76)"
16579.jpg,"(0.50, 0.60)"
16750.jpg,"(0.35, 0.78)"
16809.jpg,"(0.25, 0.65)"
17175.jpg,"(0.52, 0.60)"
17245.jpg,"(0.50, 0.60)"
17589.jpg,"(0.58, 0.62)"
18504.jpg,"(0.50, 0.60)"
18571.jpg,"(0.45, 0.60)"
18718.jpg,"(0.45, 0.60)"
18819.jpg,"(0.50, 0.60)"
18989.jpg,"(0.45, 0.60)"
19082.jpg,"(0.52, 0.60)"
19399.jpg,"(0.25, 0.65)"
19529.jpg,"(0.52, 0.60)"
19632.jpg,"(0.52, 0.64)"
19926.jpg,"(0.45, 0.52)"
20039.jpg,"(0.45, 0.58)"
20256.jpg,"(0.35, 0.65)"
20360.jpg,"(0.45, 0.58)"
21171.jpg,"(0.25, 0.65)"
21318.jpg,"(0.52, 0.68)"
21654.jpg,"(0.50, 0.70)"
21819.jpg,"(0.45, 0.55)"
21990.jpg,"(0.48, 0.62)"
22126.jpg,"(0.45, 0.55)"
23050.jpg,"(0.58, 0.69)"
23144.jpg,"(0.45, 0.65)"
23310.jpg,"(0.45, 0.65)"
23701.jpg,"(0.54, 0.58)"
24722.jpg,"(0.35, 0.65)"
24844.jpg,"(0.48, 0.65)"
25001.jpg,"(0.65, 0.60)"
25157.jpg,"(0.45, 0.60)"
25257.jpg,"(0.25, 0.65)"
25425.jpg,"(0.50, 0.65)"
25499.jpg,"(0.45, 0.60)"
25610.jpg,"(0.35, 0.60)"
26303.jpg,"(0.54, 0.76)"
26500.jpg,"(0.52, 0.64)"
26777.jpg,"(0.35, 0.55)"
28041.jpg,"(0.35, 0.60)"
28341.jpg,"(0.35, 0.65)"
28595.jpg,"(0.65, 0.70)"
