frame,gaze
301.jpg,"(0.35, 0.80)"
361.jpg,"(0.65, 0.70)"
596.jpg,"(0.50, 0.45)"
721.jpg,"(0.65, 0.70)"
887.jpg,"(0.56, 0.64)"
1220.jpg,"(0.48, 0.65)"
1272.jpg,"(0.52, 0.64)"
1349.jpg,"(0.52, 0.60)"
1412.jpg,"(0.58, 0.64)"
1497.jpg,"(0.75, 0.60)"
1893.jpg,"(0.35, 0.60)"
1975.jpg,"(0.75, 0.75)"
2133.jpg,"(0.75, 0.63)"
2262.jpg,"(0.25, 0.75)"
2485.jpg,"(0.25, 0.70)"
2748.jpg,"(0.50, 0.60)"
3373.jpg,"(0.52, 0.60)"
4093.jpg,"(0.58, 0.64)"
4608.jpg,"(0.65, 0.70)"
4677.jpg,"(0.52, 0.63)"
6271.jpg,"(0.35, 0.60)"
6314.jpg,"(0.52, 0.64)"
6702.jpg,"(0.45, 0.45)"
6959.jpg,"(0.45, 0.65)"
7545.jpg,"(0.50, 0.50)"
