frame,gaze
204.jpg,"(0.45, 0.65)"
420.jpg,"(0.45, 0.60)"
622.jpg,"(0.45, 0.55)"
822.jpg,"(0.45, 0.55)"
1062.jpg,"(0.45, 0.65)"
1900.jpg,"(0.50, 0.45)"
2057.jpg,"(0.45, 0.55)"
4084.jpg,"(0.50, 0.60)"
4422.jpg,"(0.35, 0.65)"
4881.jpg,"(0.50, 0.50)"
4942.jpg,"(0.48, 0.75)"
5241.jpg,"(0.50, 0.45)"
5331.jpg,"(0.65, 0.65)"
5515.jpg,"(0.75, 0.65)"
5756.jpg,"(0.58, 0.56)"
5952.jpg,"(0.50, 0.50)"
6556.jpg,"(0.50, 0.65)"
6996.jpg,"(0.52, 0.65)"
7174.jpg,"(0.45, 0.65)"
7589.jpg,"(0.65, 0.65)"
7879.jpg,"(0.45, 0.65)"
8508.jpg,"(0.25, 0.65)"
8818.jpg,"(0.45, 0.70)"
9503.jpg,"(0.50, 0.60)"
9677.jpg,"(0.35, 0.45)"
