frame,gaze
355.jpg,"(0.65, 0.45)"
820.jpg,"(0.50, 0.70)"
959.jpg,"(0.35, 0.92)"
1464.jpg,"(0.50, 0.70)"
1512.jpg,"(0.50, 0.65)"
2254.jpg,"(0.35, 0.75)"
2902.jpg,"(0.50, 0.60)"
3028.jpg,"(0.35, 0.65)"
3390.jpg,"(0.50, 0.75)"
3559.jpg,"(0.50, 0.45)"
3716.jpg,"(0.50, 0.50)"
4320.jpg,"(0.50, 0.45)"
4585.jpg,"(0.50, 0.65)"
5100.jpg,"(0.54, 0.78)"
5555.jpg,"(0.35, 0.85)"
5889.jpg,"(0.65, 0.75)"
7132.jpg,"(0.50, 0.60)"
7387.jpg,"(0.50, 0.60)"
7578.jpg,"(0.50, 0.45)"
8449.jpg,"(0.50, 0.60)"
8574.jpg,"(0.50, 0.60)"
8748.jpg,"(0.50, 0.60)"
8805.jpg,"(0.50, 0.60)"
8919.jpg,"(0.35, 0.65)"
9865.jpg,"(0.65, 0.80)"
10008.jpg,"(0.15, 0.65)"
11018.jpg,"(0.35, 0.45)"
11683.jpg,"(0.45, 0.65)"
12556.jpg,"(0.45, 0.75)"
12688.jpg,"(0.50, 0.60)"
12990.jpg,"(0.55, 0.75)"
13200.jpg,"(0.65, 0.70)"
14752.jpg,"(0.52, 0.74)"
15388.jpg,"(0.45, 0.75)"
15684.jpg,"(0.50, 0.70)"
16020.jpg,"(0.35, 0.75)"
16215.jpg,"(0.52, 0.76)"
16696.jpg,"(0.50, 0.50)"
19441.jpg,"(0.45, 0.75)"
19793.jpg,"(0.35, 0.65)"
20730.jpg,"(0.58, 0.76)"
20893.jpg,"(0.54, 0.76)"
21009.jpg,"(0.54, 0.78)"
21174.jpg,"(0.58, 0.72)"
21760.jpg,"(0.58, 0.72)"
22042.jpg,"(0.58, 0.76)"
22202.jpg,"(0.52, 0.74)"
22452.jpg,"(0.45, 0.75)"
23370.jpg,"(0.35, 0.75)"
25292.jpg,"(0.52, 0.78)"
25504.jpg,"(0.50, 0.60)"
26351.jpg,"(0.52, 0.78)"
27052.jpg,"(0.50, 0.70)"
27634.jpg,"(0.58, 0.72)"
27882.jpg,"(0.45, 0.75)"
28282.jpg,"(0.54, 0.76)"
28589.jpg,"(0.15, 0.75)"
28878.jpg,"(0.35, 0.80)"
29282.jpg,"(0.45, 0.75)"
