frame,gaze
404.jpg,"(0.35, 0.45)"
728.jpg,"(0.35, 0.55)"
787.jpg,"(0.65, 0.70)"
867.jpg,"(0.52, 0.63)"
1127.jpg,"(0.35, 0.75)"
1366.jpg,"(0.58, 0.52)"
1454.jpg,"(0.45, 0.65)"
1491.jpg,"(0.65, 0.65)"
1586.jpg,"(0.45, 0.75)"
1713.jpg,"(0.52, 0.68)"
2535.jpg,"(0.65, 0.58)"
2638.jpg,"(0.58, 0.72)"
2757.jpg,"(0.45, 0.55)"
2813.jpg,"(0.35, 0.65)"
2863.jpg,"(0.50, 0.60)"
3439.jpg,"(0.45, 0.45)"
3544.jpg,"(0.45, 0.45)"
3851.jpg,"(0.45, 0.60)"
3926.jpg,"(0.45, 0.40)"
4438.jpg,"(0.45, 0.45)"
4778.jpg,"(0.50, 0.50)"
5076.jpg,"(0.35, 0.55)"
5158.jpg,"(0.52, 0.78)"
5362.jpg,"(0.54, 0.48)"
5419.jpg,"(0.55, 0.65)"
5788.jpg,"(0.58, 0.62)"
5955.jpg,"(0.25, 0.65)"
6419.jpg,"(0.60, 0.65)"
6633.jpg,"(0.52, 0.58)"
7041.jpg,"(0.35, 0.65)"
7145.jpg,"(0.52, 0.60)"
7230.jpg,"(0.52, 0.60)"
7408.jpg,"(0.52, 0.64)"
7587.jpg,"(0.35, 0.60)"
7988.jpg,"(0.52, 0.60)"
8043.jpg,"(0.52, 0.64)"
8199.jpg,"(0.52, 0.54)"
8442.jpg,"(0.52, 0.64)"
8667.jpg,"(0.50, 0.60)"
9082.jpg,"(0.50, 0.60)"
9155.jpg,"(0.52, 0.60)"
9224.jpg,"(0.52, 0.60)"
9274.jpg,"(0.35, 0.65)"
9549.jpg,"(0.52, 0.61)"
9700.jpg,"(0.52, 0.64)"
9973.jpg,"(0.50, 0.60)"
10355.jpg,"(0.45, 0.65)"
10561.jpg,"(0.52, 0.64)"
10945.jpg,"(0.35, 0.65)"
11156.jpg,"(0.58, 0.57)"
11419.jpg,"(0.35, 0.60)"
11482.jpg,"(0.52, 0.64)"
11527.jpg,"(0.65, 0.75)"
11680.jpg,"(0.50, 0.45)"
11861.jpg,"(0.58, 0.56)"
12267.jpg,"(0.45, 0.60)"
12374.jpg,"(0.58, 0.62)"
12409.jpg,"(0.45, 0.50)"
12871.jpg,"(0.45, 0.50)"
