frame,gaze
338.jpg,"(0.50, 0.60)"
546.jpg,"(0.25, 0.45)"
652.jpg,"(0.75, 0.65)"
1011.jpg,"(0.45, 0.65)"
1140.jpg,"(0.56, 0.64)"
1298.jpg,"(0.54, 0.62)"
1540.jpg,"(0.85, 0.40)"
1608.jpg,"(0.54, 0.67)"
1827.jpg,"(0.58, 0.64)"
1972.jpg,"(0.45, 0.55)"
2208.jpg,"(0.15, 0.65)"
2286.jpg,"(0.50, 0.45)"
2547.jpg,"(0.50, 0.60)"
2803.jpg,"(0.52, 0.65)"
3549.jpg,"(0.58, 0.62)"
3800.jpg,"(0.62, 0.59)"
4145.jpg,"(0.45, 0.65)"
4422.jpg,"(0.65, 0.65)"
4598.jpg,"(0.35, 0.70)"
5091.jpg,"(0.58, 0.46)"
5325.jpg,"(0.65, 0.48)"
5421.jpg,"(0.50, 0.70)"
5698.jpg,"(0.50, 0.60)"
5784.jpg,"(0.52, 0.64)"
7408.jpg,"(0.35, 0.58)"
7619.jpg,"(0.52, 0.58)"
7888.jpg,"(0.48, 0.72)"
8004.jpg,"(0.45, 0.48)"
8052.jpg,"(0.65, 0.70)"
8124.jpg,"(0.58, 0.60)"
10044.jpg,"(0.58, 0.60)"
10070.jpg,"(0.55, 0.58)"
15247.jpg,"(0.45, 0.55)"
15269.jpg,"(0.45, 0.60)"
15539.jpg,"(0.75, 0.78)"
15831.jpg,"(0.52, 0.68)"
16700.jpg,"(0.60, 0.70)"
16906.jpg,"(0.45, 0.65)"
